Intraembryonic mesoderm (IEM) is derived from three sources: the Primitive streak the Notochord and the,Primitive node,Epiblast,Hypoblast,Neural tube,A
The Intraembryonic mesoderm is absent in which of the following regions,Oropharyngeal membrane,Cloacal membrane,Midline of the embryonic disc,All of the above,D
Cells of the IEM migrate between which two germ layers,Ectoderm and endoderm,Ectoderm and hypoblast,Endoderm and yolk sac,Primitive streak and notochord,A
Cells migrating cranially to the prechordal plate form which structure,The future heart,The septum transversum,The cloacal membrane,The oropharyngeal membrane,A
The septum transversum is the future derivative of which structure,Diaphragm,Liver,Spleen,Kidney,A
The Intraembryonic mesoderm (IEM) on each side of the notochord is divided into three parallel masses: Paraxial mesoderm Intermediate cell mass and,Sclerotome,Lateral plate mesoderm,Dermatome,Somite,B
The Paraxial mesoderm is divided into paired masses called,Somatopleure,Splanchnopleure,Somites,Sclerotomes,C
The first pairs of somites appear around which day of development,15th day,20th day,25th day,30th day,B
How many pairs of occipital somites are typically identified,4,8,5,12,A
The somite is divided obliquely into a ventro-medial part called the sclerotome and a dorso-lateral part called the,Somatopleure,Notochord,Dermo-myotome,Splanchnopleure,C
The Sclerotome surrounds the neural tube and notochord to form the,Striated muscles,Dermis of the skin,Vertebral column,Genitourinary system,C
The Dermo-myotome further divides into the dermatome and the,Somatopleure,Myotome,Sclerotome,Splanchnopleure,B
The Dermatome forms which derivative,Striated muscles,Vertebral column,Dermis of the skin,Appendicular skeleton,C
The Myotome forms which derivative,Connective tissue,Striated muscles,Dermis of the skin,Peritoneal cavity,B
Which occipital somite typically disappears,The 1st,The 2nd,The 3rd,The 4th,A
The 2nd 3rd and 4th sclerotomes form most of the bone of the,Upper limb,Vertebral column,Occipital,Genitourinary system,C
The 2nd 3rd and 4th myotomes form muscles of the,Limbs,Trunk,Tongue,Neck,C
The Intermediate cell mass is called the,Somite,Sclerotome,Nephrogenic cord,Septum transversum,C
The Intermediate cell mass gives rise to most of the,Skeletal muscle system,Central nervous system,Genitourinary system,Digestive system,C
The Lateral plate mesoderm develops a cavity that fuses to form an inverted horseshoe-shaped cavity called the,Pericardial cavity,Pleural cavity,Intraembryonic coelom,Peritoneal cavity,C
The Intraembryonic coelom (I.E.C.) gives rise to which of the following cavities,Pericardial cavity,Right and left pleural cavities,Peritoneal cavity,All of the above,D
The Intraembryonic coelom divides the lateral plate mesoderm into two layers: the Somatic layer and the,Dermatome,Sclerotome,Intermediate cell mass,Splanchnic layer,D
The Somatic or parietal layer of the lateral plate mesoderm is called the,Splanchnopleure,Somatopleure,Dermo-myotome,Nephrogenic cord,B
