Question, Option1, Option2, Option3, Option4, Correct Answer
What is the largest organ forming the external coat of the human body, Skin, Liver, Brain, Heart, A
Which cells are the main factor determining skin color, Keratinocytes, Melanocytes, Langerhans cells, Fibroblasts, B
The outermost epithelial layer of skin is the, Dermis, Hypodermis, Epidermis, Subcutis, C
Which layer of the skin is devoid of blood vessels, Dermis, Epidermis, Papillary layer, Reticular layer, B
The dermis is composed of which type of tissue, Epithelial tissue, Connective tissue, Muscular tissue, Nervous tissue, B
The outer layer of the dermis characterized by ridges is the, Reticular layer, Papillary layer, Basal layer, Granular layer, B
The inner layer of the dermis with dense collagen fibers is the, Papillary layer, Reticular layer, Stratum corneum, Stratum basale, B
Fingerprints are formed by patterns in which layer, Epidermis, Papillary ridges, Reticular layer, Hypodermis, B
The three patterns of fingerprints are, Loops whorls and arches, Lines circles and curves, Ridges furrows and dots, Primary secondary and tertiary, A
Thick skin is found on the, Face and neck, Palms and soles, Back and abdomen, Arms and legs, B
Flexure lines of skin are produced by firm attachment to the, Muscle, Bone, Deep fascia, Subcutaneous fat, C
Skin appendages are specialized derivatives of which layer, Dermis, Hypodermis, Epidermis, Fascia, C
Sweat glands are absent from all of these EXCEPT, Tympanic membranes, Lip margins, Palms, Glans penis, C
Apocrine glands are a type of modified sweat gland found in the, Palms and soles, Axillae and areolae, Face and neck, Back and chest, B
Sebaceous glands open into the side of, Sweat glands, Hair follicles, Nail beds, Blood vessels, B
Sebaceous glands are absent in the, Face, Scalp, Palms and soles, Axillae, C
Hair is formed from the hair matrix a region of, Dermal cells, Epidermal cells, Muscle cells, Nerve cells, B
Nails are keratinized plates on which surfaces of the digits, Anterior, Posterior, Medial, Lateral, B
Fascia lying immediately beneath the skin is divided into, Deep and subcutaneous, Superficial and deep, Muscular and fibrous, Loose and dense, B
Superficial fascia is a mixture of which tissues, Dense regular and adipose, Loose areolar and adipose, Elastic and reticular, Fibrous and cartilage, B
Superficial fascia is more distinct on the, Anterior abdominal wall, Back of the hand, Top of the foot, Scalp, A
Which is NOT a function of superficial fascia, Facilitates skin movement, Contains nerves and vessels, Acts as a heat insulator, Provides muscle attachment, D
Deep fascia is described as a, Elastic dense membrane, Non-elastic dense membrane, Loose areolar tissue, Adipose tissue layer, B
Deep fascia lies underneath which layer, Muscle, Bone, Superficial fascia, Epidermis, C
Deep fascia is entirely absent in the, Palm of hand, Sole of foot, Face, Thigh, C
An example of deep fascia is, Subcutaneous bursa, Intermuscular septa, Hair follicle, Sweat gland, B
Investing fascia covers the surface of, Bones, Nerves, Muscles, Blood vessels, C
Retinacula are thickenings around which joints, Shoulder and hip, Elbow and knee, Wrist and ankle, Fingers and toes, C
Sheaths of deep fascia enclose which structures, Small nerves only, Big neurovascular structures, Superficial fat, Skin appendages, B
Which structure is found within the dermis, Epidermal ridges, Stratum corneum, Sebaceous glands, Subcutaneous fat, C
The papillary layer of the dermis has greater what compared to the reticular layer, Thickness and fat content, Cellularity and vascularization, Elasticity and strength, Pigmentation and glands, B
The hypodermis is another term for, Epidermis, Dermis, Superficial fascia, Deep fascia, C
Which skin type has an extremely thick epidermis, Thin skin, Thick skin, Hairy skin, Glabrous skin, B
Skin creases are linear furrows lying opposite, Muscles, Nerves, Joints, Blood vessels, C
The site of skin creases includes the, Back and chest, Palm and digits, Scalp and face, Abdomen and thighs, B
The structure of a sweat gland is best described as, Simple branched acinar, Coiled tubular, Compound tubular, Simple alveolar, B
The greatest concentration of sweat glands is found on the, Back, Thighs, Palms and soles, Chest, C
Hair follicles extend deeply into which layer, Epidermis, Dermis, Hypodermis, Muscle, B
The subcutaneous tissue of the scalp contains which type of fascia, Deep fascia, Superficial fascia, Investing fascia, Intermuscular septa, B
Which of these is a function of the skin, Blood cell production, Mineral storage, Protective barrier, Digestion, C
The skin plays an integral role in, Thermoregulation, Respiration, Hormone production, Bone growth, A
Neurons in the skin detect what type of input, Hormonal, Sensory, Motor, Metabolic, B
The basal layer of the epidermis contains, Melanocytes, Osteocytes, Chondrocytes, Adipocytes, A
The reticular layer of the dermis consists chiefly of, Elastic fibers, Collagen fibers, Reticular fibers, Muscle fibers, B
Dermatoglyphic refers to the study of, Skin diseases, Hair growth, Fingerprints, Nail structure, C
The tympanic membrane is a site where sweat glands are, Highly concentrated, Absent, Modified into apocrine glands, Connected to hair follicles, B
The glans penis is a site where sweat glands are, Numerous, Absent, Only apocrine type, Connected to sebaceous glands, B
The labia minora is a site where sweat glands are, Present and active, Absent, Modified into sebaceous glands, Connected to nails, B
The areolae of breasts contain which type of gland, Sebaceous glands, Eccrine sweat glands, Apocrine sweat glands, Mammary glands, C
Perianal regions contain which type of gland, Sebaceous glands, Eccrine sweat glands, Apocrine sweat glands, Ceruminous glands, C
