Question, Option1, Option2, Option3, Option4, Correct Answer
Arthrology is the study of, Bones, Muscles, Joints, Nerves, C
A joint is the point where two or more bones, Fuse together, Lay adjacent to each other, Develop from, Are covered by cartilage, B
Fibrous joints are characterized by being, Highly mobile, Slightly mobile, Immobile, Multi-axial, C
Fibrous joints are found in how many areas of the body, 2, 3, 4, 5, B
Sutures of the skull are an example of which joint, Cartilaginous, Synovial, Fibrous, Synostosis, C
A syndesmosis is a type of, Fibrous joint, Cartilaginous joint, Synovial joint, Bony joint, A
The joint between the lower ends of the tibia and fibula is a, Suture, Syndesmosis, Gomphosis, Symphysis, B
A gomphosis joint is found between, Two skull bones, Tibia and fibula, Root of tooth and socket, Vertebral bodies, C
Cartilaginous joints are connected by, Fibrous tissue, Cartilaginous tissue, Synovial fluid, Ligaments, B
A primary cartilaginous joint is also called, Symphysis, Synchondrosis, Synovial, Suture, B
Primary cartilaginous joints are formed of, Fibrocartilage, Hyaline cartilage, Elastic cartilage, Dense fibrosis, B
An example of a primary cartilaginous joint is, Intervertebral disc, Symphysis pubis, Epiphyseal plates, Shoulder joint, C
Primary cartilaginous joints are, Mobile, Immobile, Slightly mobile, Multi-axial, B
Primary cartilaginous joints are, Permanent, Temporary, Both A and B, Neither, B
Secondary cartilaginous joints are formed of, Hyaline cartilage, Fibrocartilage, Elastic cartilage, Bone, B
An example of a secondary cartilaginous joint is, Epiphyseal plate, Costochondral joint, Intervertebral disc, Knee joint, C
Secondary cartilaginous joints allow, No movement, Free movement, Limited movement, Multi-axial movement, C
Secondary cartilaginous joints are, Temporary, Permanent, Both A and B, Neither, B
The intervertebral disc has an outer ring called, Nucleus pulposus, Annulus fibrosus, Vertebral body, Cartilage endplate, B
The inner gel-like center of an intervertebral disc is the, Annulus fibrosus, Nucleus pulposus, Vertebral foramen, Spinal cord, B
Synovial joints are defined by the presence of a, Fibrous capsule, Bony fusion, Joint cavity with fluid, Cartilaginous disc, C
In a synovial joint bone ends are covered by, Fibrocartilage, Elastic cartilage, Hyaline cartilage, Periosteum, C
The articular cartilage in synovial joints has, Many blood vessels, Many nerves, A smooth surface with no vessels or nerves, A rough surface, C
The fibrous capsule of a synovial joint is a, Muscular sac, Fibrous sac, Serous sac, Cartilaginous sac, B
The synovial membrane secretes, Mucus, Synovial fluid, Hormones, Enzymes, B
Synovial fluid functions to, Strengthen the joint, Lubricate and minimize friction, Provide nutrients to bone, Absorb shock, B
Ligaments in synovial joints are, Elastic bands, Muscular bands, Fibrous bands connecting bones, Synovial folds, C
An articular disc in a synovial joint is formed of, Hyaline cartilage, Elastic cartilage, Fibrocartilage, Bone, C
The function of an articular disc includes, Blood cell production, Shock absorbance and minimize friction, Muscle attachment, Nerve conduction, B
Examples of joints with articular discs are, Elbow and ankle, Temporomandibular and knee, Shoulder and hip, Wrist and finger, B
Intra-articular ligaments are found, Outside the joint capsule, Inside the joint cavity, In the muscle belly, In the subcutaneous tissue, B
An example of an intra-articular ligament is, Medial collateral ligament, Lateral collateral ligament, Cruciate ligaments, Coracoclavicular ligament, C
A muscle tendon inside a synovial joint is found in the, Elbow joint, Knee joint, Shoulder joint, Ankle joint, C
Plane joints have articular surfaces that are, Curved, Flat, Concave, Convex, B
Plane joints allow which type of movement, Flexion and extension, Rotation, Gliding movement, Circumduction, C
An example of a plane joint is, Elbow joint, Hip joint, Inter-carpal joint, Radioulnar joint, C
Uni-axial joints allow movement around how many axes, One, Two, Three, Four, A
A hinge joint is a type of, Uni-axial joint, Bi-axial joint, Multi-axial joint, Plane joint, A
A hinge joint has a axis, Longitudinal, Vertical, Transverse, Oblique, C
An example of a hinge joint is, Shoulder joint, Elbow joint, Wrist joint, Thumb joint, B
A pivot joint is a type of, Uni-axial joint, Bi-axial joint, Multi-axial joint, Plane joint, A
A pivot joint has a axis, Transverse, Longitudinal, Vertical, Sagittal, B
An example of a pivot joint is, Elbow joint, Radioulnar joint, Wrist joint, Knee joint, B
Bi-axial joints allow movement around how many axes, One, Two, Three, Four, B
An ellipsoid joint is a type of, Uni-axial joint, Bi-axial joint, Multi-axial joint, Plane joint, B
An ellipsoid joint has an oval convexity fitting into a, Circular cavity, Elliptical concavity, Flat surface, Saddle shape, B
An example of an ellipsoid joint is, Elbow joint, Wrist joint, Hip joint, Thumb joint, B
A saddle joint is a type of, Uni-axial joint, Bi-axial joint, Multi-axial joint, Plane joint, B
A saddle joint has surfaces that are, Flat, Concavo-convex, Convexo-concave, Spherical, B
An example of a saddle joint is, Wrist joint, Carpo-metacarpal joint of thumb, Elbow joint, Shoulder joint, B
Multi-axial joints allow, Movement in one plane, Movement in two planes, Free movement, No movement, C
Ball and socket joints are examples of, Uni-axial joints, Bi-axial joints, Multi-axial joints, Plane joints, C
Examples of ball and socket joints are, Elbow and knee, Hip and shoulder, Wrist and ankle, Intercarpal joints, B
