Question, Option1, Option2, Option3, Option4, Correct Answer
The skeletal system consists of bones and, Muscles, Nerves, Cartilage, Blood vessels, C
The skeleton is a framework of the body composed of, Bone and muscle, Bone and cartilage, Cartilage and ligament, Muscle and tendon, B
The skeleton consists of how many single and paired bones, 22 single 86 paired, 34 single 86 paired, 80 single 126 paired, 206 total bones, B
The axial skeleton includes which bones, Limb bones, Skull hyoid vertebrae ribs sternum, Pectoral and pelvic girdles, Carpals and tarsals, B
The appendicular skeleton includes bones of the, Skull and vertebrae, Upper and lower limbs, Ribs and sternum, Hyoid and clavicle, B
The skull is a bony structure that supports the, Thorax, Face and protects the brain, Abdomen, Limbs, B
The skull is comprised of how many bones, 14, 22, 28, 33, B
The bones of the skull are joined by, Cartilage, Muscles, Sutures, Ligaments, C
The bones of the skull can be divided into, Cranial and facial bones, Axial and appendicular, Long and short bones, Compact and spongy, A
The hyoid bone is located, In the thorax, In the cranial cavity, Above the larynx in the neck, In the abdominal wall, C
The hyoid bone articulates directly with, The skull, The thyroid cartilage, The sternum, No other bones, D
The hyoid bone is shaped like a, V, U, Circle, Square, B
The hyoid bone has a central, Head, Body, Horn, Process, B
The hyoid bone has how many lesser and greater horns, 1 lesser 1 greater, 2 lesser 2 greater, 3 lesser 3 greater, 4 lesser 4 greater, B
The vertebral column consists of how many vertebrae, 26, 31, 33, 35, C
Vertebrae are separated by, Discs of hyaline cartilage, Intervertebral discs, Ligaments, Muscles, B
Each vertebra is classified as a, Long bone, Short bone, Flat bone, Irregular bone, D
The vertebral column is subdivided into, 3 regions, 4 regions, 5 regions, 6 regions, C
The cervical vertebrae number, 5, 7, 12, 5, B
The thoracic vertebrae number, 7, 12, 5, 4, B
The lumbar vertebrae number, 5, 7, 12, 4, A
The sacrum is formed by fusion of, 3 vertebrae, 4 vertebrae, 5 vertebrae, 6 vertebrae, C
The coccyx is formed by fusion of, 3 small vertebrae, 4 small vertebrae, 5 small vertebrae, 6 small vertebrae, B
A function of the vertebral column is, Blood cell production, Protection of the spinal cord, Digestion, Respiration, B
The thoracic cage encloses which body part, The head, The abdomen, The thorax, The pelvis, C
The thoracic cage is formed by, The sternum only, The ribs only, Thoracic vertebrae ribs and sternum, The clavicle and scapula, C
The thoracic vertebrae are how many in number, 7, 12, 5, 4, B
The thoracic vertebrae are classified as, Long bones, Short bones, Flat bones, Irregular bones, D
How many pairs of ribs are there, 10, 11, 12, 13, C
Ribs are classified as, Long bones, Short bones, Flat bones, Irregular bones, C
The gap between two ribs is called the, Intercostal space, Intervertebral foramen, Costal groove, Thoracic inlet, A
The first seven ribs are called, False ribs, Floating ribs, True ribs, Vertebrochondral ribs, C
True ribs articulate with the sternum via their, Muscles, Ligaments, Costal cartilages, Synovial joints, C
Ribs 8 9 and 10 are called, True ribs, False ribs, Floating ribs, Sternal ribs, B
False ribs articulate with the costal cartilage of the, 6th rib, 7th rib, 8th rib, Sternum, B
Ribs 11 and 12 are called, True ribs, False ribs, Floating ribs, Fixed ribs, C
The sternum is a bone, Paired, Unpaired, Irregular, Short, B
The sternum consists of how many parts, 2, 3, 4, 5, B
The uppermost part of the sternum is the, Body, Xiphoid process, Manubrium, Clavicular notch, C
The middle part of the sternum is the, Manubrium, Body, Xiphoid process, Costal cartilage, B
The smallest part of the sternum is the, Manubrium, Body, Xiphoid process, Sternal angle, C
The main function of the thoracic cage is to, Protect abdominal organs, Support thorax and protect vital structures, Allow limb movement, Store calcium, B
The appendicular skeleton is composed of how many bones, 80, 126, 206, 64, B
The appendicular skeleton includes bones of the, Skull and vertebrae, Upper limb lower limb shoulder and pelvic girdles, Ribs and sternum, Hyoid and ear ossicles, B
The shoulder girdle consists of, Humerus and scapula, Clavicle and scapula, Clavicle and humerus, Sternum and clavicle, B
The arm is formed by a single bone called the, Radius, Ulna, Humerus, Scapula, C
The forearm is composed of, Humerus and radius, Radius and ulna, Ulna and carpals, Radius only, B
The lateral bone of the forearm is the, Ulna, Radius, Humerus, Scapula, B
The medial bone of the forearm is the, Radius, Ulna, Humerus, Clavicle, B
The hand consists of, Carpals metacarpals and phalanges, Tarsals metatarsals and phalanges, Radius ulna and humerus, Scapula and clavicle, A
Carpal bones are how many in number, 5, 7, 8, 10, C
Carpal bones are classified as, Long bones, Short bones, Flat bones, Irregular bones, B
Metacarpals are bones, Long, Short, Flat, Irregular, A
Metacarpals are numbered from, The thumb side as 1 to 5, The little finger side as 1 to 5, The wrist to fingers, The palm to wrist, A
The first metacarpal is the most, Medial and longest, Lateral shortest and thickest, Proximal and thinnest, Distal and flattest, B
When the fist is clenched the heads of the metacarpals form the, Knuckles, Palm, Wrist, Fingers, A
Phalanges are the bones of the, Wrist, Ankle, Fingers, Skull, C
Each finger has how many phalanges except the thumb, 2, 3, 4, 5, B
The thumb has how many phalanges, 1, 2, 3, 4, B
