Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
Which chamber of the heart propels blood to the lungs for oxygenation?,Right atrium,Right ventricle,Left atrium,Left ventricle,B
The heart layer that forms the muscular wall and is responsible for contractions is called:,Epicardium,Myocardium,Endocardium,Pericardium,B
Where is the heart located within the thoracic cavity?,Anterior mediastinum,Middle mediastinum,Posterior mediastinum,Superior mediastinum,B
Which pericardial layer is adherent to the heart surface and also called the epicardium?,Fibrous pericardium,Parietal layer,Visceral layer,Serous layer,C
The pericardial cavity contains what type of fluid for lubrication?,Blood,Lymph,Synovial fluid,Serous fluid,D
Which surface of the heart faces the inner surface of the sternum and ribs?,Diaphragmatic surface,Sternocostal surface,Base,Apex,B
The cardiac apex is formed exclusively by which chamber?,Right atrium,Right ventricle,Left atrium,Left ventricle,D
The cardiac base is formed mainly by which heart chambers?,Both ventricles,Both atria mainly left,Right atrium and ventricle,Left ventricle and atrium,B
The vertical ridge that separates the rough anterior from smooth posterior part in right atrium is called:,Pectinate muscles,Crista terminalis,Fossa ovalis,Coronary sinus,B
Which structure in the right atrium is an oval depression in the interatrial septum?,Coronary sinus,Crista terminalis,Fossa ovalis,Pectinate muscles,C
How many papillary muscles are typically found in the right ventricle?,1,2,3,4,C
The smooth outflowing part of the right ventricle is called:,Aortic vestibule,Infundibulum,Coronary sinus,Trabeculae carneae,B
Which valve guards the right atrioventricular orifice?,Bicuspid valve,Tricuspid valve,Pulmonary valve,Aortic valve,B
The left ventricle is approximately how many times thicker than the right ventricle?,2 times,3 times,4 times,5 times,B
How many papillary muscles are typically found in the left ventricle?,1,2,3,4,B
The smooth outflowing part of the left ventricle is called:,Infundibulum,Aortic vestibule,Pulmonary trunk,Coronary sinus,B
Which circulation begins with blood pumping from the right ventricle to the pulmonary trunk?,Systemic circulation,Pulmonary circulation,Coronary circulation,Lymphatic circulation,B
Oxygenated blood returns to the left atrium through how many pulmonary veins?,2,4,6,8,B
The main venous channel of the heart that drains into the right atrium is called:,Superior vena cava,Inferior vena cava,Coronary sinus,Pulmonary vein,C
Which characteristic is NOT typical of arteries?,Thick-walled,Elastic,Valveless,Bluish color,D
Communication between arterial branches is called:,Plexus,Anastomosis,Sinusoids,Shunts,B
The smallest arteries that end in capillaries are called:,Venules,Arterioles,Capillaries,Sinusoids,B
Which characteristic is typical of veins?,Thick-walled,Pulsating,Reddish,Contain valves,D
Connections between veins typically form a:,Anastomosis,Plexus,Shunt,Sinusoid,B
The smallest blood vessels with walls of only flattened endothelial cells are:,Arterioles,Venules,Capillaries,Sinusoids,C
Which structure is devoid of blood capillaries?,Liver,Spleen,Cornea of eye,Bone marrow,C
Wide capillaries with fenestrated endothelium found in liver and spleen are called:,Arterioles,Venules,Anastomoses,Sinusoids,D
Direct connections between terminal arterioles and primary venules are called:,Anastomoses,Plexuses,Arteriovenous shunts,Sinusoids,C
Lymph is characterized by all EXCEPT:,Clear colorless fluid,Contains erythrocytes,Less proteins than plasma,More WBCs than blood,B
Lymph capillaries have what distinctive feature compared to blood capillaries?,Smaller diameter,Thicker walls,Blind ends and wide pores,Contain valves,C
Which vessels carry lymph toward lymph nodes?,Efferent vessels,Afferent vessels,Lymph trunks,Lymph ducts,B
After filtration in lymph nodes, lymph is carried away by:,Afferent vessels,Efferent vessels,Lymph trunks,Lymph ducts,B
The right lymphatic duct drains lymph from which areas?,Left upper limb,Right hemi-thorax,Left side of head,Lower body,B
The thoracic duct ends by draining into which vein?,Right innominate vein,Left innominate vein,Superior vena cava,Inferior vena cava,B
Primary lymphoid tissues are concerned with:,Filtering antigens,Trapping pathogens,Production and maturation of lymphocytes,Blood filtration,C
Which is NOT a primary lymphoid organ?,Bone marrow,Thymus,Lymph nodes,Both A and B,C
The largest lymphoid organ that filters blood is the:,Thymus,Spleen,Lymph nodes,Tonsils,B
Waldeyer's peri pharyngeal lymphoid ring includes all EXCEPT:,Palatine tonsils,Lingual tonsils,Nasopharyngeal tonsils,Peyer's patches,D
Peyer's patches are located in which part of the digestive system?,Stomach,Duodenum,Jejunum,Ileum,D
The sternocostal surface of the heart is formed mainly by:,Left ventricle,Both atria,Right ventricle,Left atrium,C
The diaphragmatic surface of the heart faces which structure?,Sternum,Ribs,Vertebral column,Diaphragm,D
