Question, Option1, Option2, Option3, Option4, Correct Answer
Karyotyping is a laboratory procedure to examine human, Tissues, Organs, Cell chromosomes, Blood cells, C
A normal chromosome is formed of two chromatids attached at the, Telomere, Centromere, Arm, Satellite, B
A metacentric chromosome has a centromere that is, At the end, Near the end, Near the center, Central, D
A submetacentric chromosome has a centromere that is, Central, Near the center, Near the end, At the end, B
An acrocentric chromosome has a centromere that is, Central, Near the center, Near the end, At the end, C
A telocentric chromosome has a centromere that is, At the end, Near the end, Near the center, Central, A
The short arm of a chromosome is the, q arm, p arm, r arm, s arm, B
The long arm of a chromosome is the, p arm, q arm, r arm, s arm, B
The diploid number of chromosomes in a somatic cell is, 23, 46, 69, 92, B
The haploid number of chromosomes in a gamete cell is, 23, 46, 69, 92, A
A somatic cell contains how many pairs of somatic chromosomes, 22, 23, 24, 25, A
A somatic cell contains how many pairs of sex chromosomes, 1, 2, 3, 4, A
A gamete cell contains how many somatic chromosomes, 22, 23, 44, 46, A
A gamete cell contains how many sex chromosomes, 1, 2, 3, 4, A
Human chromosomes are grouped into how many groups based on size and centromere position, 5, 6, 7, 8, C
Group A chromosomes include pairs, 1 2 3, 4 5, 6-12, 13-15, A
Group B chromosomes include pairs, 1-3, 4 5, 6-12, 13-15, B
Group C chromosomes include pairs, 1-3, 4-5, 6-12 and X, 13-15, C
Group D chromosomes include pairs, 6-12, 13 14 15, 16-18, 19-20, B
Group E chromosomes include pairs, 13-15, 16 17 18, 19-20, 21-22, B
Group F chromosomes include pairs, 16-18, 19 20, 21 22, 13-15, B
Group G chromosomes include pairs, 19-20, 21 22 and Y, 13-15, 16-18, B
A structural chromosome anomaly involving loss of a piece is, Deletion, Translocation, Inversion, Duplication, A
A structural anomaly involving adding an extra piece is, Deletion, Translocation, Inversion, Ring formation, B
A structural anomaly with reciprocal reattachment is, Deletion, Translocation, Inversion, Isochromosome, C
A ring chromosome results from, Deletion, Fusion of chromatid tips, Transverse separation, Duplication, B
An isochromosome results from, Deletion, Translocation, Transverse separation of centromere, Fusion, C
A numerical anomaly with three copies of a chromosome is, Monosomy, Trisomy, Triploidy, Tetraploidy, B
A numerical anomaly with one copy of a chromosome is, Trisomy, Monosomy, Triploidy, Tetraploidy, B
Triploidy refers to how many sets of chromosomes, 1, 2, 3, 4, C
Tetraploidy refers to how many sets of chromosomes, 2, 3, 4, 5, C
Nondisjunction is the failed separation of chromatids during, Prophase, Metaphase, Anaphase, Telophase, C
Nondisjunction results in one daughter cell with how many copies, 1, 2, 3, 4, C
Down syndrome is also known as, Trisomy 13, Trisomy 18, Trisomy 21, Monosomy X, C
The genetic structure in Down syndrome is, 45 + XX, 46 + XY, 47 + XX or XY, 45 + X, C
Down syndrome features include, Tall stature, Low birth weight, Advanced mental capacity, Normal hand creases, B
Flattening of the occiput is a feature of, Turner syndrome, Klinefelter syndrome, Down syndrome, Cri du chat, C
Upward slanting of the lateral eye angle is seen in, Down syndrome, Turner syndrome, Klinefelter syndrome, Patau syndrome, A
Mental retardation is a feature of, Down syndrome, Turner syndrome, Klinefelter syndrome, All of the above, D
Abnormal hand creases are found in, Turner syndrome, Klinefelter syndrome, Down syndrome, Edwards syndrome, C
Klinefelter syndrome is found only in, Females, Males, Both sexes, Neither, B
Klinefelter syndrome is usually detected at, Birth, Puberty, Adulthood, Old age, B
Features of Klinefelter syndrome include, Fertility, Testicular atrophy, Tall stature with normal proportions, Absent gynecomastia, B
The cells in Klinefelter syndrome have how many chromosomes, 45, 46, 47, 48, C
The sex chromosomal complement in Klinefelter syndrome is, XXY, XYY, XXX, XO, A
The most common cause of Klinefelter syndrome is, Maternal age, Nondisjunction of XX homologues, Radiation, Infection, B
Turner syndrome has a karyotype of, 46 XX, 46 XY, 45 X, 47 XXY, C
Turner syndrome is the only monosomy compatible with, Normal life, Life, Death in utero, Death at birth, B
What percentage of Turner syndrome fetuses are spontaneously aborted, 50%, 75%, 90%, 98%, D
Survivors with Turner syndrome are, Male in appearance, Female in appearance, Hermaphrodite, Indeterminate, B
Features of Turner syndrome include, Presence of ovaries, Tall stature, Absence of ovaries, Normal fertility, C
Short stature is a feature of, Down syndrome, Klinefelter syndrome, Turner syndrome, Patau syndrome, C
A webbed neck is found in, Down syndrome, Turner syndrome, Klinefelter syndrome, Edwards syndrome, B
A broad chest with widely spaced nipples is seen in, Klinefelter syndrome, Turner syndrome, Down syndrome, All of the above, B
Skeletal deformities are associated with, Down syndrome, Turner syndrome, Klinefelter syndrome, None of the above, B
Hyperthyroidism is a feature of, Down syndrome, Turner syndrome, Klinefelter syndrome, No specific syndrome, D
Numerous moles are seen in, Down syndrome, Turner syndrome, Klinefelter syndrome, Patau syndrome, B
Low-set ears are a feature of, Turner syndrome, Down syndrome, Klinefelter syndrome, All of the above, A
A small jawbone is found in, Turner syndrome, Down syndrome, Klinefelter syndrome, Edwards syndrome, A
Cardiac problems are associated with, Turner syndrome, Down syndrome, Both A and B, Neither, C
Swollen hands and feet are a feature of, Klinefelter syndrome, Turner syndrome, Down syndrome, Patau syndrome, B
Problems in the lymph system are seen in, Down syndrome, Turner syndrome, Klinefelter syndrome, Edwards syndrome, B
