Question, Option1, Option2, Option3, Option4, Correct Answer
The ectoderm is the germ layer that gives off structures reacting with the, Internal environment, External environment, Blood, Lymph, B
Surface ectoderm gives rise to the epidermis of the skin and, Internal organs, Skin appendages, Bones, Muscles, B
Skin appendages derived from surface ectoderm include hair nails and, Sweat and sebaceous glands, Liver and pancreas, Heart and lungs, Kidneys and bladder, A
The lower half of the anal canal is derived from, Endoderm, Surface ectoderm, Mesoderm, Neural crest, B
The mouth vestibule and parotid gland are derived from, Mesoderm, Surface ectoderm, Endoderm, Neural tube, B
The external and internal ears are derived from, Endoderm, Surface ectoderm, Mesoderm, Neural crest, B
The cornea conjunctiva and eye lens are derived from, Neural ectoderm, Surface ectoderm, Mesoderm, Endoderm, B
The retina is derived from, Surface ectoderm, Neuroectoderm, Mesoderm, Endoderm, B
The muscles of the iris are derived from, Endoderm, Surface ectoderm, Neuroectoderm, Mesoderm, B
The neuroectoderm gives rise to the, Skin, Neural tube and neural crest, Digestive lining, Heart, B
The neural tube gives rise to the, Peripheral nerves, Brain and spinal cord, Sensory organs, Glands, B
Neural crest cells give rise to connective tissue and bones of the, Limbs, Face and skull, Thorax, Abdomen, B
Cranial nerve ganglia are derived from, Surface ectoderm, Neural crest, Mesoderm, Endoderm, B
C-cells of the thyroid gland are derived from, Surface ectoderm, Neural crest, Mesoderm, Endoderm, B
The conotruncal septum in the heart is derived from, Endoderm, Neural crest, Mesoderm, Surface ectoderm, B
Odontoblasts are derived from, Mesoderm, Neural crest, Endoderm, Surface ectoderm, B
Dermis in the face and neck is derived from, Surface ectoderm, Neural crest, Mesoderm, Endoderm, B
Spinal dorsal root ganglia are derived from, Neural tube, Neural crest, Mesoderm, Endoderm, B
The sympathetic chain and preaortic ganglia are derived from, Endoderm, Neural crest, Mesoderm, Surface ectoderm, B
Parasympathetic ganglia of the gastrointestinal tract are derived from, Mesoderm, Neural crest, Endoderm, Surface ectoderm, B
The adrenal medulla is derived from, Endoderm, Neural crest, Mesoderm, Surface ectoderm, B
Schwann cells are derived from, Neural tube, Neural crest, Mesoderm, Endoderm, B
Glial cells are derived from, Surface ectoderm, Neural crest, Mesoderm, Endoderm, B
Arachnoid and pia mater are derived from, Endoderm, Neural crest, Mesoderm, Surface ectoderm, B
Melanocytes are derived from, Mesoderm, Neural crest, Endoderm, Surface ectoderm, B
The entire nervous system develops from, Surface ectoderm, Neuroectoderm, Mesoderm, Endoderm, B
The epidermis of the skin is derived from, Endoderm, Surface ectoderm, Mesoderm, Neural crest, B
Hair follicles are derived from, Mesoderm, Surface ectoderm, Endoderm, Neural crest, B
Nail beds are derived from, Endoderm, Surface ectoderm, Mesoderm, Neural crest, B
Sweat glands are derived from, Neural crest, Surface ectoderm, Mesoderm, Endoderm, B
Sebaceous glands are derived from, Mesoderm, Surface ectoderm, Endoderm, Neural crest, B
The lining of the lower anal canal is from, Endoderm, Surface ectoderm, Mesoderm, Neural crest, B
The parotid gland duct and vestibule are from, Endoderm, Surface ectoderm, Mesoderm, Neural crest, B
The external ear auricle is from, Endoderm, Surface ectoderm, Mesoderm, Neural crest, B
The middle ear cavity is from, Surface ectoderm, Endoderm, Mesoderm, Neural crest, B
The inner ear is from, Surface ectoderm, Endoderm, Mesoderm, Neural crest, A
The cornea is from, Neural crest, Surface ectoderm, Mesoderm, Endoderm, B
The conjunctiva is from, Mesoderm, Surface ectoderm, Endoderm, Neural crest, B
The lens is from, Endoderm, Surface ectoderm, Mesoderm, Neural crest, B
The retina is from, Surface ectoderm, Neuroectoderm, Mesoderm, Endoderm, B
The optic nerve is from, Surface ectoderm, Neuroectoderm, Mesoderm, Endoderm, B
The brain develops from the, Neural tube, Neural crest, Surface ectoderm, Endoderm, A
The spinal cord develops from the, Neural crest, Neural tube, Surface ectoderm, Endoderm, B
Peripheral sensory neurons are from, Neural tube, Neural crest, Surface ectoderm, Endoderm, B
Autonomic motor neurons are from, Endoderm, Neural crest, Surface ectoderm, Neural tube, B
Enteric nervous system is from, Mesoderm, Neural crest, Endoderm, Surface ectoderm, B
The adrenal cortex is from, Endoderm, Neural crest, Mesoderm, Surface ectoderm, C
The adrenal medulla is from, Mesoderm, Neural crest, Endoderm, Surface ectoderm, B
Pigment cells of the skin are from, Surface ectoderm, Neural crest, Mesoderm, Endoderm, B
Cartilage of the pharyngeal arches is from, Endoderm, Neural crest, Mesoderm, Surface ectoderm, B
The dentine of teeth is from, Surface ectoderm, Neural crest, Mesoderm, Endoderm, B
The periodontal ligament is from, Neural crest, Mesoderm, Endoderm, Surface ectoderm, B
The meninges dura mater is from, Neural crest, Mesoderm, Endoderm, Surface ectoderm, B
The meninges arachnoid and pia are from, Mesoderm, Neural crest, Endoderm, Surface ectoderm, B
The ectoderm is one of the germ layers formed during, Fertilization, Gastrulation, Implantation, Cleavage, B
The neural crest is sometimes called the fourth germ layer due to its, Location, Importance and derivatives, Size, Color, B
Ectodermal dysplasia affects structures derived from, Mesoderm, Ectoderm, Endoderm, Trophoblast, B
The ectoderm forms the interface between the embryo and the, Mother, External world, Blood, Amniotic fluid, B
The surface ectoderm is the source of the, Nervous system, Epidermis and its derivatives, Digestive tract, Circulatory system, B
The neuroectoderm is induced by the, Endoderm, Notochord and prechordal mesoderm, Trophoblast, Amnion, B
Neurulation is the process of forming the, Skin, Neural tube, Heart, Liver, B
The neural crest arises from the, Neural tube, Neural folds, Neural plate, Neural groove, B
Ectodermal derivatives include the most specialized structures like the, Liver, Brain and sense organs, Heart, Kidneys, B
