Question, Option1, Option2, Option3, Option4, Correct Answer
The placenta is the functional unit of exchange between, Mother and father, Fetus and mother, Fetus and amniotic fluid, Mother and uterus, B
By the fourth month the placenta has a fetal portion and a portion, Maternal, Paternal, Amniotic, Chorionic, A
The fetal portion of the placenta is formed by the, Decidua basalis, Chorion frondosum, Amnion, Yolk sac, B
The maternal portion of the placenta is formed by the, Chorion frondosum, Decidua basalis, Amnion, Chorion laeve, B
Chorionic villi are finger-like projections from the, Decidua, Trophoblast, Amnion, Yolk sac, B
Primary chorionic villi consist of, Cytotrophoblast only, Syncytiotrophoblast only, Cytotrophoblast core covered by syncytium, Mesoderm core, C
Secondary chorionic villi have a core of, Cytotrophoblast, Extraembryonic mesoderm, Syncytiotrophoblast, Decidua, B
Tertiary chorionic villi have in their core, Blood cells and vessels, Nerves, Muscle, Bone, A
Chorion laeve is the villi facing the, Decidua basalis, Decidua capsularis, Decidua parietalis, Myometrium, B
Chorion frondosum is the villi facing the, Decidua capsularis, Decidua basalis, Decidua parietalis, Amnion, B
Chorion laeve villi become, Branched, Degenerated, Highly vascular, Invasive, B
Chorion frondosum villi become, Atrophic, Branched and complex, Degenerated, Avascular, B
Anchoring villi extend to the, Decidua basalis, Amniotic cavity, Yolk sac, Chorionic cavity, A
Anchoring villi become adherent by the, Syncytiotrophoblast, Cytotrophoblast shell, Decidua, Amnion, B
Absorbing villi are for, Fixation, Exchange, Protection, Nutrition, B
Absorbing villi arise from the, Stem villi, Decidua, Amnion, Yolk sac, A
The full-term placenta is shaped, Round, Discoid, Oval, Square, B
The diameter of the full-term placenta is, 10-15 cm, 15-20 cm, 20-25 cm, 25-30 cm, B
The weight of the full-term placenta is about, 300 gm, 500 gm, 700 gm, 900 gm, B
The thickness of the placenta is greatest at the, Periphery, Center, Edge, Base, B
The maternal surface is covered by, Chorion, Decidua basalis, Amnion, Yolk sac, B
The maternal surface is divided into lobes called, Villi, Cotyledons, Segments, Lobes, B
The number of cotyledons is, 5-10, 10-15, 15-20, 20-25, C
The placenta functions in gas exchange via, Active transport, Simple diffusion, Osmosis, Facilitated diffusion, B
Nutrients and electrolytes are exchanged across the, Umbilical cord, Placental barrier, Amniotic fluid, Yolk sac, B
Maternal antibodies are transmitted through the, Yolk sac, Placenta, Amnion, Chorion, B
Excretion of urea and creatinine occurs through the, Fetal kidneys, Placenta, Amniotic fluid, Yolk sac, B
Hormones are synthesized in the, Cytotrophoblast, Syncytial trophoblast, Decidua, Amnion, B
Estrogen and progesterone are produced by the, Fetus, Placenta, Mother, Ovary, B
Human chorionic gonadotropin is produced by the, Decidua, Syncytiotrophoblast, Cytotrophoblast, Amnion, B
Somatomammotropin is produced by the, Fetus, Placenta, Mother, Ovary, B
The placental barrier initially has how many layers, 1, 2, 3, 4, D
The layers are syncytiotrophoblast cytotrophoblast mesoderm and, Decidua, Fetal capillary endothelium, Maternal epithelium, Amnion, B
After the 4th month the barrier has only layers, 1, 2, 3, 4, B
The two layers are syncytiotrophoblast and, Cytotrophoblast, Fetal capillary endothelium, Mesoderm, Decidua, B
Spiral arteries pierce the decidual plate and enter the, Villi, Intervillous spaces, Amniotic cavity, Yolk sac, B
Blood pressure in the intervillous space is, Low, High, Variable, Absent, B
Blood flows back into the maternal circulation through, Spiral arteries, Endometrial veins, Umbilical veins, Fetal arteries, B
A bipartite placenta has how many lobes, 1, 2, 3, 4, B
A tripartite placenta has how many lobes, 1, 2, 3, 4, C
Placenta succenturiate has a small, Accessory lobe, Large lobe, No lobe, Degenerated lobe, A
Multiple pregnancies have how many placentas, One, More than one, None, Variable, B
Placenta previa is when the placenta is in the, Upper uterine segment, Lower uterine segment, Cervix, Tube, B
Placenta previa centralis means the placenta, Is beside the internal os, Completely covers the internal os, Is near the internal os, Is away from the os, B
Placenta previa marginalis means the placenta, Covers the internal os, Is at the margin of the internal os, Is away from the os, Is on the side, B
Placenta previa parietalis means the placenta is, Over the internal os, Beside the internal os, Away from the os, In the cervix, B
Battledore placenta has attachment, Central, Marginal, Velamentous, Basal, B
Velamentous attachment is when the cord attaches to the, Placenta directly, Chorion some distance from placenta, Amnion, Yolk sac, B
Placenta increta is invasion into the, Myometrium, Endometrium, Perimetrium, Cervix, B
The placenta is expelled after, Fertilization, Birth, Implantation, Gastrulation, B
The placenta is also called the, Afterbirth, Beforebirth, During birth, Prebirth, A
The umbilical cord connects the fetus to the, Mother, Placenta, Uterus, Amniotic fluid, B
The placenta allows the fetus to, Move freely, Exchange materials with the mother, Digest food, Breathe air, B
The placenta is a temporary organ that exists only during, Life, Pregnancy, Childhood, Adulthood, B
