Question, Option1, Option2, Option3, Option4, Correct Answer
The amniotic cavity lies dorsal to the, Hypoblast, Epiblast, Trophoblast, Decidua, B
The amniotic cavity appears by day, 5, 7, 9, 11, C
At the chorionic vesicle stage the amniotic cavity is surrounded by, Trophoblast, Extraembryonic mesoderm, Decidua, Yolk sac, B
After folding the amniotic cavity surrounds the, Yolk sac, Entire embryo, Trophoblast, Decidua, B
By the 20th week the amniotic cavity obliterates the, Yolk sac, Chorionic cavity, Allantois, Decidua, B
The amniotic cavity is filled with, Blood, Clear watery fluid, Cells, Mucus, B
Amniotic fluid is produced by, Amniotic cells and maternal blood, Fetal urine only, Placenta only, Yolk sac only, A
After the 5th month the main source of amniotic fluid is, Maternal blood, Fetal urine, Amniotic cells, Placenta, B
The volume of amniotic fluid is replaced every, 1 hour, 3 hours, 6 hours, 12 hours, B
From the fifth month the fetus swallows about how much amniotic fluid per day, 100 ml, 200 ml, 400 ml, 600 ml, C
Amniotic fluid is absorbed by the, Fetal lungs, Fetal gut epithelium, Fetal skin, Placenta, B
Excess fluid is passed through the, Umbilical cord, Placenta, Yolk sac, Allantois, B
The normal volume of amniotic fluid at term is about, 500 cc, 1000 cc, 1500 cc, 2000 cc, B
Amniotic fluid acts as a cushion for, Maternal organs, Fetal protection, Placenta, Umbilical cord, B
Amniotic fluid prevents adherence of the fetus to the, Placenta, Amniotic membrane, Umbilical cord, Yolk sac, B
Amniotic fluid helps maintain constant, Fetal body temperature, Maternal temperature, Room temperature, Placental temperature, A
Amniotic fluid allows free fetal movement for development, Musculo-skeletal, Neural, Cardiac, Digestive, A
Amniotic fluid helps dilate the during labor, Cervix, Uterus, Vagina, Placenta, A
Polyhydramnios is defined as amniotic fluid volume greater than, 1000 cc, 1500 cc, 2000 cc, 2500 cc, C
Polyhydramnios can be caused by idiopathic factors maternal diabetes and, Fetal swallowing, Gastrointestinal defects, Normal development, Small fetus, B
Oligohydramnios is defined as amniotic fluid volume less than, 200 cc, 400 cc, 600 cc, 800 cc, B
Oligohydramnios may result from, Fetal diabetes, Renal agenesis, Polyuria, Normal kidneys, B
Amniotic band syndrome involves abnormal bands from the, Umbilical cord, Amniotic membrane, Chorion, Yolk sac, B
Amniotic bands can cause, Improved growth, Limb amputation, Better development, No effect, B
Premature rupture of the amnion is a common cause of, Post-term labor, Preterm labor, Normal labor, No labor, B
Premature rupture occurs in about of pregnancies, 5%, 10%, 15%, 20%, B
Amniocentesis is the aspiration of for study, Blood, Amniotic fluid, Urine, Tissue, B
Amniocentesis is used for prenatal diagnosis of, Maternal health, Birth defects, Placental size, Umbilical length, B
Amniocentesis is usually performed transabdominally guided by, X-ray, Ultrasound, MRI, CT scan, B
Approximately how much fluid is withdrawn during amniocentesis, 10 ml, 20 ml, 30 ml, 40 ml, C
Amniotic fluid contains, Fetal cells, Maternal cells only, No cells, Bacteria, A
Amniotic fluid analysis can detect, Fetal sex, Maternal age, Paternal traits, Grandparent genes, A
Amniotic fluid levels of alpha-fetoprotein are high in, Down syndrome, Neural tube defects, Turner syndrome, Klinefelter syndrome, B
Amniotic fluid levels of alpha-fetoprotein are low in, Spina bifida, Anencephaly, Down syndrome, Normal fetus, C
The amniotic membrane is derived from the, Trophoblast, Epiblast, Hypoblast, Decidua, B
The amnion and chorion fuse to form the, Placenta, Membranous sac, Yolk sac, Allantois, B
The amniotic cavity is initially located, Ventral to the embryo, Dorsal to the embryo, Lateral to the embryo, Caudal to the embryo, B
As the amnion expands it covers the, Yolk sac, Umbilical cord, Both A and B, Neither, C
The amniotic fluid is, Static, Dynamically circulated, Absorbed only, Produced only, B
Fetal breathing movements help circulate the, Blood, Amniotic fluid, Urine, Bile, B
The pH of amniotic fluid is, Acidic, Alkaline, Neutral, Variable, B
Amniotic fluid volume peaks around, 20 weeks, 30 weeks, 36 weeks, 40 weeks, C
Too much amniotic fluid can cause maternal, Hypotension, Hypertension, Respiratory distress, Diabetes, C
Too little amniotic fluid can cause fetal, Macrosomia, Compression deformities, Improved growth, Better mobility, B
Amniotic fluid embolism is a rare but serious, Maternal complication, Fetal complication, Placental issue, Umbilical problem, A
The amnion is avascular and receives nutrients from the, Fetal blood, Amniotic fluid, Maternal blood, Chorion, B
The amniotic fluid provides a medium for fetal, Digestion, Movement and growth, Respiration, Neural development, B
Amniotic fluid volume is an indicator of, Fetal well-being, Maternal age, Paternal health, Placental size, A
The amnion is the inner membrane that forms the, Chorion, Amniotic sac, Yolk sac, Allantois, B
The amniotic sac normally ruptures during, Implantation, Labor, Fertilization, Gastrulation, B
The color of normal amniotic fluid is, Clear, Green, Yellow, Red, A
Meconium in amniotic fluid can indicate, Fetal health, Fetal distress, Normal digestion, Maternal diet, B
Amniotic fluid volume is regulated by, Fetal swallowing and urination, Maternal diet, Placental size, Umbilical flow, A
The amnion can be used for, Fetal surgery, Maternal surgery, Placental repair, Umbilical repair, A
Amniotic fluid has properties, Antibacterial, Toxic, Nutritive, Hormonal, A
The study of amniotic fluid is called, Amniology, Amniocentesis, Amnioscopy, Amniotomy, A
