Question,Option A,Option B,Option C,Option D,Correct Answer
A 22-year-old medical student is studying anatomical position. Which description correctly defines this position?,Standing erect with palms facing backward,Standing erect with palms facing forward,Sitting with arms at sides,Lying down with arms extended,B
During a physical examination a physician notes a skin lesion on the patient's palm. This area has:,Thin skin with few sweat glands,Thick skin with numerous sweat glands,Thin skin with sebaceous glands,Thick skin with hair follicles,B
A patient presents with muscle weakness. The physician explains that skeletal muscle has all these properties EXCEPT:,Excitability,Contractibility,Elasticity,Involuntary action,D
A 45-year-old construction worker fractures his femur. Which type of bone is the femur?,Short bone,Long bone,Flat bone,Irregular bone,B
During anatomy lab students examine a joint between skull bones. This immobile joint is called:,Symphysis,Synchondrosis,Suture,Synovial joint,C
A trauma patient has multiple rib fractures. Which part of the skeletal system contains the ribs?,Appendicular skeleton,Axial skeleton,Pectoral girdle,Pelvic girdle,B
A 60-year-old patient has difficulty swallowing. Which part of the digestive system is directly involved in swallowing?,Esophagus,Pharynx,Stomach,Duodenum,B
A smoker presents with chronic cough. The respiratory epithelium lining his airways is:,Simple squamous,Pseudostratified ciliated columnar,Stratified squamous,Transitional epithelium,B
A patient with head injury shows neurological deficits. The brain and spinal cord comprise the:,Peripheral nervous system,Central nervous system,Autonomic nervous system,Somatic nervous system,B
A cardiac patient has blocked coronary arteries. These arteries supply blood to:,Lungs,Liver,Brain,Heart,D
A 35-year-old female has urinary tract infection. The kidneys are located in which position?,Intraperitoneal,Retroperitoneal,Subcutaneous,Intrathoracic,B
During embryonic development which germ layer gives rise to the nervous system?,Ectoderm,Mesoderm,Endoderm,Neuroectoderm,A
Which anatomical plane divides the body into anterior and posterior portions?,Sagittal plane,Coronal plane,Transverse plane,Median plane,B
The skin layer that contains melanocytes and provides waterproof barrier is:,Dermis,Hypodermis,Epidermis,Subcutaneous tissue,C
A muscle that has a spindle-shaped belly with extended fibers is classified as:,Strap muscle,Fusiform muscle,Quadrilateral muscle,Pennate muscle,B
Bone cells responsible for bone resorption are:,Osteoblasts,Osteocytes,Osteoclasts,Chondrocytes,C
The most common type of cartilage found in ribs and trachea is:,Elastic cartilage,Fibrocartilage,Hyaline cartilage,Articular cartilage,C
Joints between vertebrae that contain fibrocartilage are classified as:,Fibrous joints,Primary cartilaginous joints,Secondary cartilaginous joints,Synovial joints,C
The skeletal system component that consists of 126 bones is:,Axial skeleton,Appendicular skeleton,Thoracic cage,Vertebral column,B
The first part of alimentary canal that contains hard and soft palate is:,Pharynx,Esophagus,Mouth,Stomach,C
The liver receives blood vessels and ducts at the:,Porta hepatis,Gall bladder fossa,Bare area,Falciform ligament,A
Gas exchange in lungs occurs in the:,Bronchi,Bronchioles,Alveoli,Trachea,C
The part of brain responsible for coordination and balance is:,Cerebrum,Cerebellum,Brainstem,Diencephalon,B
Blood vessels that carry blood away from the heart are:,Veins,Venules,Arteries,Capillaries,C
Lymphatic vessels are absent in all these EXCEPT:,Brain,Cornea,Cartilage,Liver,D
During second week of development the process of implantation occurs in:,Ovary,Fallopian tube,Uterus,Cervix,C
The study of normal structure of organs by naked eye is called:,Histology,Macroscopic anatomy,Developmental anatomy,Applied anatomy,B
Movement that decreases angle between two structures is:,Extension,Flexion,Abduction,Adduction,B
The body cavity that contains heart and lungs is:,Cranial cavity,Abdominal cavity,Thoracic cavity,Pelvic cavity,C
The layer of skin that contains papillae forming fingerprints is:,Epidermis,Papillary dermis,Reticular dermis,Hypodermis,B
Sweat glands that are confined to axillae and genital regions are:,Eccrine glands,Apocrine glands,Sebaceous glands,Ceruminous glands,B
Deep fascia is characterized by all EXCEPT:,Non-elastic,Dense fibrous tissue,Absent in face,Contains adipose tissue,D
Cardiac muscle is characterized by:,Voluntary action,Multinucleated cells,Branched striated fibers,Spindle-shaped cells,C
The connective tissue that surrounds entire muscle is:,Endomysium,Perimysium,Epimysium,Superficial fascia,C
The smallest functional unit of skeletal muscle is:,Myofibril,Sarcomere,Sarcolemma,Sarcoplasm,B
Muscles where fascicles insert into only one side of tendon are:,Unipennate,Bipennate,Multipennate,Circumpennate,A
The muscle that performs desired movement is called:,Antagonist,Prime mover,Synergist,Fixator,B
A closed fibrous sac lined by synovial membrane that prevents rubbing is:,Synovial sheath,Tendon,Aponeurosis,Synovial bursa,D
Bone matrix contains organic materials and:,Inorganic salts,Water,Lipids,Proteins,A
The outer surface of bones is covered by:,Endosteum,Periosteum,Articular cartilage,Medullary cavity,B
Red bone marrow is primarily found in:,Shaft of long bones,Medullary cavity,Ends of long bones,Compact bone,C
Bones developed by intramembranous ossification include:,Femur,Humerus,Skull vault,Vertebrae,C
The growing end of diaphysis in long bones is called:,Epiphysis,Metaphysis,Articular cartilage,Periosteum,B
Blood supply to inner 2/3 of bone cortex comes from:,Periosteal vessels,Nutrient vessels,Metaphyseal vessels,Epiphyseal vessels,B
Small nodular bones inside tendons that prevent friction are:,Short bones,Flat bones,Sesamoid bones,Irregular bones,C
Cartilage that contains yellow elastic fibers is found in:,Intervertebral discs,Epiglottis,Articular surfaces,Epiphyseal plates,B
Joints held together by very short interconnecting fibers are:,Syndesmosis,Suture,Gomphosis,Symphysis,B
The joint between tooth and its socket is classified as:,Suture,Syndesmosis,Gomphosis,Synchondrosis,C
Temporary cartilaginous joints in long bones are:,Symphysis,Synchondrosis,Syndesmosis,Suture,B
Structures found inside synovial joints include all EXCEPT:,Articular disc,Intra-articular ligaments,Muscle tendon,Articular cartilage,D
Joints that allow movement around single axis are:,Plane joints,Uni-axial joints,Bi-axial joints,Multi-axial joints,B
The shoulder joint is an example of:,Hinge joint,Pivot joint,Ball and socket joint,Saddle joint,C
The skull contains how many bones?,206 bones,22 bones,33 bones,126 bones,B
The only bone that does not articulate with other bones is:,Mandible,Hyoid bone,Ethmoid bone,Sphenoid bone,B
The vertebral column typically contains how many vertebrae?,22 vertebrae,31 vertebrae,33 vertebrae,26 vertebrae,C
Ribs that articulate directly with sternum are called:,False ribs,Floating ribs,True ribs,Vertebral ribs,C
The longest and strongest bone in human body is:,Humerus,Femur,Tibia,Fibula,B
Bones of the wrist are classified as:,Long bones,Short bones,Flat bones,Irregular bones,B
