Question,Option A,Option B,Option C,Option D,Correct Answer
A 28-year-old patient has a deep cut that extends to the reticular layer of dermis. This layer primarily contains:,Adipose tissue,Loose areolar tissue,Dense irregular collagen,Elastic fibers,C
During muscle biopsy tissue shows fascicles attaching obliquely to a central tendon from opposite sides. This muscle architecture is:,Unipennate,Bipennate,Multipennate,Circumpennate,B
A child with growth disorder has impaired function of the epiphyseal plate. This structure is composed of:,Fibrocartilage,Hyaline cartilage,Elastic cartilage,Dense connective tissue,B
A patient with joint inflammation has excess synovial fluid. This fluid is secreted by the:,Articular cartilage,Fibrous capsule,Synovial membrane,Ligaments,C
The axial skeleton component that does not articulate with any other bone is:,Mandible,Hyoid bone,Atlas,Axis,B
A patient with indigestion has problems in the most dilated part of alimentary tract. This is the:,Esophagus,Stomach,Duodenum,Jejunum,B
The liver structure that contains portal vein hepatic artery and ducts is:,Gall bladder fossa,Porta hepatis,Bare area,Falciform ligament,B
A patient with voice changes has inflammation in the part of respiratory system containing thyroid cartilage. This is the:,Pharynx,Larynx,Trachea,Bronchi,B
The brain part that contains thalamus and hypothalamus is:,Cerebrum,Cerebellum,Diencephalon,Brainstem,C
A patient with immune deficiency has impaired function of the largest lymphoid organ. This is the:,Thymus,Spleen,Lymph nodes,Tonsils,B
Movement that increases angle between two structures is:,Flexion,Extension,Abduction,Adduction,B
The skin type found on palms and soles is characterized by:,Thin epidermis with hair follicles,Thick epidermis without hair follicles,Thin epidermis with sebaceous glands,Thick epidermis with sweat glands,B
Muscles that are controlled by somatic nerves are:,Skeletal muscles only,Cardiac muscles only,Smooth muscles only,All muscle types,A
The connective tissue that surrounds individual muscle fibers is:,Epimysium,Perimysium,Endomysium,Deep fascia,C
A muscle with triangular shape and wide origin is classified as:,Parallel muscle,Pennate muscle,Convergent muscle,Circular muscle,C
Bones that contain red bone marrow in adults include:,Shaft of long bones,Ends of long bones,All bones equally,No bones in adults,B
The type of ossification where bone forms directly in membrane is:,Endochondral ossification,Intramembranous ossification,Both types,Neither type,B
Joints that allow movement around two axes are:,Uni-axial joints,Bi-axial joints,Multi-axial joints,All synovial joints,B
The skull bone that forms the base of cranium is:,Frontal bone,Parietal bone,Occipital bone,Temporal bone,C
The vertebrae that articulate with ribs are:,Cervical vertebrae,Thoracic vertebrae,Lumbar vertebrae,All vertebrae,B
The part of sternum that is broadest and uppermost is:,Manubrium,Body,Xiphoid process,All parts equally,A
The bone that forms the medial aspect of forearm is:,Radius,Ulna,Both equally,Neither bone,B
The part of large intestine with vermiform appendix is:,Cecum,Ascending colon,Transverse colon,Descending colon,A
The salivary gland located below and in front of ear is:,Submandibular gland,Sublingual gland,Parotid gland,All glands,C
The stomach opening that communicates with esophagus is:,Pyloric orifice,Cardiac orifice,Both orifices,Neither orifice,B
The part of small intestine that forms proximal 2/5 is:,Duodenum,Jejunum,Ileum,All parts equally,B
The liver lobe that is related to stomach is:,Right lobe,Left lobe,Caudate lobe,Quadrate lobe,B
The pancreas part that lies anterior to abdominal aorta is:,Head,Neck,Body,Tail,C
The nasal region that is lined by respiratory epithelium is:,Nasal vestibule only,Respiratory part only,Olfactory part only,All parts,B
