Question,Option1,Option2,Option3,Option4,Correct Answer
What is the primary meaning of the term Anatomy?,The study of body functions,The study of disease processes,The study of psychological functions,Cutting up for studying the normal structure of organs in living,Cutting up for studying the normal structure of organs in living
Which type of anatomy involves studying the normal structure of cells under a microscope?,Macroscopic anatomy,Developmental anatomy,Microscopic anatomy,Surface anatomy,Microscopic anatomy
A student identifies the borders of the liver on a patient's skin. This is an application of which anatomical field?,Radiographic anatomy,Surface anatomy,Applied anatomy,Developmental anatomy,Surface anatomy
Studying the intrauterine development of a fetus falls under which category of anatomy?,Microscopic anatomy,Developmental anatomy,Macroscopic anatomy,Applied anatomy,Developmental anatomy
In the standard anatomical position the palms of the hands are facing...,Backward,Forward,Medially,Toward the body,Forward
A vertical plane that divides the body into anterior and posterior portions is known as the...,Sagittal plane,Transverse plane,Midsagittal plane,Coronal plane,Coronal plane
Which anatomical plane divides the body into upper and lower parts and is at a right angle to the sagittal plane?,Coronal plane,Median plane,Transverse plane,Frontal plane,Transverse plane
The term that means "front of" or "in the front" is...,Posterior,Anterior,Inferior,Superior,Anterior
If a structure is described as being closer to the head it is said to be...,Inferior,Superior,Medial,Lateral,Superior
A structure located away from the body's midline is described as...,Medial,Lateral,Intermediate,Proximal,Lateral
The term that means "nearest to the point of attachment of a limb to the trunk" is...,Distal,Superficial,Proximal,Deep,Proximal
A skin rash is described as a _______ condition.,Deep,Superficial,Internal,Proximal,Superficial
Which term describes a movement that decreases the angle between two structures?,Extension,Flexion,Abduction,Adduction,Flexion
Moving a limb away from the median plane of the body is called...,Adduction,Abduction,Circumduction,Flexion,Abduction
The multi-axial movement that is a sequence of flexion abduction extension and adduction is called...,Rotation,Circumduction,Supination,Inversion,Circumduction
Lateral rotation of the forearm that results in the palm facing forward is called...,Pronation,Supination,Inversion,Eversion,Supination
Turning the sole of the foot inward medially is a movement known as...,Eversion,Inversion,Dorsiflexion,Plantarflexion,Inversion
Lifting the foot so the toes are closer to the front of the leg is an action called...,Plantarflexion,Dorsiflexion,Eversion,Inversion,Dorsiflexion
Depressing the foot and pointing the toes is an action called...,Dorsiflexion,Plantarflexion,Inversion,Eversion,Plantarflexion
Moving a body part downwards is referred to as...,Elevation,Protraction,Retraction,Depression,Depression
Which body cavity is lined by serous membranes and contains the lungs and heart?,Dorsal body cavity,Ventral body cavity,Cranial cavity,Spinal cavity,Ventral body cavity
The cranial cavity and vertebral canal are both part of the...,Ventral body cavity,Dorsal body cavity,Thoracic cavity,Abdominopelvic cavity,Dorsal body cavity
The cranial cavity houses the...,Spinal cord,Lungs,Heart,Brain,Brain
Which cavity houses the spinal cord?,Cranial cavity,Vertebral canal,Thoracic cavity,Abdominal cavity,Vertebral canal
A patient presents with pain in the ventral body cavity. Which structure is LEAST likely to be the source?,Heart,Liver,Lungs,Spinal cord,Spinal cord
During a physical exam a doctor taps on the anterior chest wall. Which cavity is she assessing?,Cranial cavity,Spinal cavity,Thoracic cavity,Vertebral canal,Thoracic cavity
A surgeon makes an incision along the median plane. This plane is also called the...,Coronal plane,Frontal plane,Midsagittal plane,Transverse plane,Midsagittal plane
In anatomical terminology the opposite of proximal is...,Superficial,Medial,Distal,Deep,Distal
The nose is _______ to the mouth.,Inferior,Lateral,Superior,Deep,Superior
The big toe is _______ to the little toe.,Medial,Lateral,Proximal,Superficial,Medial
The elbow is _______ to the wrist.,Distal,Proximal,Inferior,Superficial,Proximal
The skin is _______ to the muscles.,Deep,Superficial,Internal,Proximal,Superficial
A movement that involves moving a body part forward is called...,Retraction,Protraction,Depression,Elevation,Protraction
A movement that involves moving a body part backward is called...,Protraction,Retraction,Elevation,Depression,Retraction
The movement of shrugging your shoulders involves _______ of the scapulae.,Depression,Elevation,Protraction,Retraction,Elevation
Which term describes a structure that is between two other structures?,Lateral,Medial,Intermediate,Superior,Intermediate
The diaphragm separates the _______ cavity from the _______ cavity.,Thoracic; Abdominopelvic,Cranial; Spinal,Dorsal; Ventral,Abdominal; Pelvic,Thoracic; Abdominopelvic
The abdominal and pelvic cavities are subdivisions of the...,Dorsal body cavity,Thoracic cavity,Ventral body cavity,Cranial cavity,Ventral body cavity
The heart is located in the _______ cavity which is within the _______ cavity.,Abdominal; Ventral,Thoracic; Ventral,Cranial; Dorsal,Spinal; Dorsal,Thoracic; Ventral
A patient is lying flat on their back. This position is known as...,Anatomical position,Prone position,Supine position,Lateral position,Supine position
Imaging techniques like CT and MRI are primarily used in which field of anatomy?,Surface anatomy,Developmental anatomy,Radiographic anatomy,Macroscopic anatomy,Radiographic anatomy
Applying anatomical knowledge to a surgical procedure is an example of...,Developmental anatomy,Applied anatomy,Microscopic anatomy,Surface anatomy,Applied anatomy
Which of the following is NOT a feature of the anatomical position?,Arms hanging by the side,Head facing forward,Feet spaced slightly apart,Palms facing backward,Palms facing backward
The plane that creates equal right and left halves is the...,Parasagittal plane,Coronal plane,Midsagittal plane,Transverse plane,Midsagittal plane
The wrist is _______ to the shoulder.,Proximal,Distal,Superior,Deep,Distal
The term "caudal" is a synonym for...,Superior,Cranial,Inferior,Anterior,Inferior
The movement of pronation results in the palm facing...,Forward,Backward,Medially,Laterally,Backward
The movement of eversion involves turning the sole of the foot...,Inward,Outward,Upward,Downward,Outward
A patient cannot perform plantarflexion. This would most difficulty with...,Standing on their toes,Lifting their toes,Lifting their heel,Turning their foot inward,Standing on their toes
The ventral body cavity is subdivided into the...,Cranial and spinal cavities,Thoracic and abdominopelvic cavities,Dorsal and ventral cavities,Abdominal and pelvic cavities,Thoracic and abdominopelvic cavities
