Question, Option1, Option2, Option3, Option4, Correct Answer
Myology is the study of which body system, Bones, Nerves, Muscles, Glands, C
Which of these is NOT a main property of muscle tissue, Excitability, Contractibility, Elasticity, Porosity, D
The muscular system function includes production of, Blood cells, Force and movement, Hormones, Urine, B
Support of body stature and position is a function of the, Skeletal system, Muscular system, Nervous system, Digestive system, B
Stability of joints is a function provided by, Ligaments only, Muscles only, Bones only, Muscles and ligaments, D
Production of body heat is a function of which system, Integumentary, Muscular, Nervous, Endocrine, B
Skeletal muscles are characterized by, Involuntary action, Attachment to skeleton, Presence in the viscera, Non-striated appearance, B
How many muscles are approximately in the human body, 206, 650, 1000, 78, B
Skeletal muscles are controlled by, Autonomic nerves, Somatic nerves, Sensory nerves, Cranial nerves only, B
Skeletal muscle tissue is composed of long cells called, Myofibrils, Sarcomeres, Muscle fibers, Sarcolemmas, C
Cardiac muscle is present in the, Intestine, Blood vessels, Myocardium of the heart, Skeleton, C
Cardiac muscle has which type of action, Voluntary, Involuntary, Both voluntary and involuntary, Reflexive, B
Cardiac muscle is supplied by which nerves, Somatic nerves, Autonomic nerves, Sensory nerves, Spinal nerves, B
Cardiac muscle cells have a appearance, Branched and striated, Spindle-shaped, Flat and squamous, Cuboidal and glandular, A
Smooth muscle is present in the, Heart, Skeleton, Viscera, Brain, C
Smooth muscle has which type of action, Voluntary, Involuntary, Both A and B, None of the above, B
Smooth muscle innervation is by, Somatic nerves, Autonomic nerves, Cranial nerves only, Spinal nerves only, B
Smooth muscle consists of cells that are, Long and unbranched, Short and branched, Narrow and spindle-shaped, Flat and irregular, C
The proximal fixed end of a muscle is the, Insertion, Origin, Belly, Tendon, B
The distal mobile end of a muscle is the, Origin, Insertion, Belly, Aponeurosis, B
The central main bulk of a muscle is the, Origin, Insertion, Fleshy belly, Tendon, C
The connective tissue surrounding individual muscle fibers is, Perimysium, Epimysium, Endomysium, Sarcolemma, C
The connective tissue surrounding muscle bundles is, Endomysium, Perimysium, Epimysium, Deep fascia, B
The connective tissue enveloping the entire muscle is, Endomysium, Perimysium, Epimysium, Superficial fascia, C
The plasma membrane of a muscle fiber is the, Sarcoplasm, Sarcolemma, Sarcomere, Myofibril, B
The cytoplasm of a muscle fiber is the, Sarcolemma, Sarcoplasm, Sarcomere, Myofibril, B
Organelles within muscle fibers containing sarcomeres are, Myofibrils, Mitochondria, Sarcoplasmic reticulum, T-tubules, A
The smallest functional unit of a skeletal muscle fiber is the, Myofibril, Sarcomere, Sarcolemma, Sarcoplasm, B
Muscle attachment to bone by a cord-like structure is a, Fleshy attachment, Aponeurosis, Muscle tendon, Ligament, C
An expanded sheet for wide muscle attachment is an, Aponeurosis, Tendon, Ligament, Fascia, A
Muscle form describes the relationship between, Blood supply and nerve supply, Line of pull and fiber arrangement, Origin and insertion, Belly size and tendon length, B
In parallel form muscle fibers are, Oblique to each other, Parallel to each other, Spiral in arrangement, Circular in arrangement, B
A quadrilateral muscle is a type of, Oblique form muscle, Parallel form muscle, Convergent muscle, Circular muscle, B
An example of a quadrilateral muscle is, Sartorius, Biceps, Pronator quadratus, Deltoid, C
A strap muscle is a type of, Parallel form muscle, Oblique form muscle, Convergent muscle, Segmented muscle, A
An example of a strap muscle is, Pronator quadratus, Biceps, Sartorius, Temporalis, C
A fusiform muscle is, Spindle-shaped, Flat and wide, Triangular, Circular, A
An example of a fusiform muscle is, Sartorius, Pronator quadratus, Biceps, Rectus abdominis, C
In a pennate pattern fascicles attach obliquely to a, Bone, Central tendon, Ligament, Aponeurosis, B
A unipennate muscle has fascicles inserting into, Both sides of a tendon, One side of a tendon, A central raphe, A bony surface, B
An example of a unipennate muscle is, Rectus femoris, Deltoid, Tibialis anterior, Flexor pollicis, D
A bipennate muscle resembles a, Half feather, Full feather, Many feathers, Circle, B
An example of a bipennate muscle is, Flexor pollicis, Deltoid, Rectus femoris, Supinator, C
A multipennate muscle looks like, One feather, Half a feather, Many feathers side by side, A triangle, C
An example of a multipennate muscle is, Rectus femoris, Flexor pollicis, Deltoid, Supinator, C
A circum-pennate muscle has fibers arranged towards a, Superficial aponeurosis, Central buried tendon, Bony prominence, Ligamentous band, B
An example of a circum-pennate muscle is, Deltoid, Tibialis anterior, Rectus femoris, Flexor pollicis, B
A convergent muscle is, Fan-shaped, Strap-like, Fusiform, Quadrilateral, A
An example of a convergent muscle is, Sartorius, Biceps, Temporalis, Pronator quadratus, C
A circular muscle is, Spindle-shaped, Triangular, Sphincter-like, Segmented, C
An example of a circular muscle is, Temporalis, Orbicularis oris, Biceps, Deltoid, B
