Question, Option1, Option2, Option3, Option4, Correct Answer
Osteology is the study of, Muscles, Nerves, Bones, Cartilage, C
Bone is a type of which tissue, Epithelial tissue, Muscular tissue, Vascularized connective tissue, Nervous tissue, C
The adult human skeleton typically has how many bones, 126, 206, 300, 60, B
The outer surface of bones is covered by, Endosteum, Periosteum, Marrow, Cartilage, B
The periosteum is strongly attached to, Muscles tendons and ligaments, Nerves and blood vessels, Synovial membrane, Articular cartilage, A
The periosteum does NOT cover, Muscle attachments, Tendon attachments, Articulating surfaces in synovial joints, Ligament attachments, C
The inner surface of bones is lined by, Periosteum, Endosteum, Marrow, Cartilage, B
The endosteum is described as, Osteogenic, Avascular, Non-cellular, Elastic, A
The inner core of bones is the, Cortex, Periosteum, Endosteum, Medullary cavity, D
Red bone marrow is the primary site for, Fat storage, Calcium storage, Hematopoiesis, Cartilage production, C
Yellow bone marrow is filled with, Blood cells, Adipose tissue, Cartilage cells, Nerve tissue, B
Mature bone cells are called, Osteoblasts, Osteocytes, Osteoclasts, Chondrocytes, B
Immature bone cells are called, Osteocytes, Osteoblasts, Osteoclasts, Stem cells, B
Phagocytic cells for bone remodeling are, Osteocytes, Osteoblasts, Osteoclasts, Macrophages, C
Which is a function of bone, Protection of vital organs, Production of digestive enzymes, Filtration of blood, Transmission of nerve impulses, A
Compact bone is found on the, Ends of long bones, Surface cortex of the shaft, Inside short bones, Center of flat bones, B
Spongy bone resembles a, Dense ivory, Solid block, Sponge-work of trabeculae, Smooth plate, C
Spongy bone is found in the, Shaft of long bones, Ends of long bones, Skull vault, Ribs, B
Intra-membranous ossification involves bone laid down in a, Cartilage model, Fibrous membrane, Fluid-filled sac, Muscle tissue, B
An example of intra-membranous ossification is, Femur, Humerus, Skull vault, Vertebrae, C
Intra-cartilaginous ossification is preceded by a, Fibrous model, Cartilaginous model, Muscular model, Fluid model, B
Most of the skeleton is formed by which ossification, Intra-membranous, Intra-cartilaginous, Both equally, Neither, B
A long bone has a shaft called the, Epiphysis, Diaphysis, Metaphysis, Apophysis, B
The ends of a long bone are the, Diaphyses, Epiphyses, Metaphyses, Apophyses, B
Long bones develop by which ossification, Intra-membranous, Intra-cartilaginous, Both, Neither, B
Primary centers of ossification appear in the shaft by the, 4th week, 8th week, 12th week, 16th week, B
The ends of a long bone remain cartilaginous until, Birth, Puberty, Adulthood, Old age, A
Secondary ossification centers appear in the, Shaft, Epiphyses, Metaphyses, Periosteum, B
The growing end of the diaphysis is the, Epiphysis, Metaphysis, Diaphysis, Apophysis, B
The epiphyseal plate is located between, Diaphysis and metaphysis, Epiphysis and diaphysis, Two epiphyses, Shaft and periosteum, B
The epiphyseal plate persists until, Birth, Puberty, Ossification is complete, Old age, C
Nutrient vessels of a long bone supply the, Outer 1/3 of cortex, Medullary canal and inner 2/3 of cortex, Epiphyses only, Articular cartilage, B
Periosteal vessels supply the, Inner 2/3 of cortex, Medullary canal, Outer 1/3 of cortex, Epiphyses, C
Metaphyseal vessels directly supply the, Diaphysis, Epiphyses, Metaphyses, Articular cartilage, C
Epiphyseal vessels directly supply the, Diaphysis, Metaphyses, Epiphyses, Shaft, C
Short bones are described as, Long and cylindrical, Small and cubical, Flat and wide, Irregular, B
Examples of short bones are, Femur and humerus, Skull bones, Carpal and tarsal bones, Vertebrae, C
Flat bones have wide surfaces for, Movement, Protection and muscle attachment, Blood cell production, Fat storage, B
Examples of flat bones are, Vertebrae, Femur, Skull vault and scapula, Carpal bones, C
Irregular bones have a, Regular configuration, Irregular configuration, Cubical shape, Long shape, B
An example of an irregular bone is, Scapula, Sternum, Vertebra, Patella, C
Sesamoid bones are found inside, Joint cavities, Muscles, Tendons, Ligaments, C
The function of sesamoid bones is to, Increase muscle strength, Prevent friction of tendons, Store calcium, Produce blood cells, B
An example of a sesamoid bone is, Scapula, Patella, Vertebra, Carpal bone, B
Pneumatic bones are, Filled with marrow, Filled with air, Solid bone, Cartilaginous, B
Pneumatic bones communicate with, Joint cavities, Nasal cavities, The ear, The mouth, B
An example of a pneumatic bone is, Femur, Humerus, Para-nasal sinuses, Vertebra, C
Cartilage is a type of, Epithelial tissue, Connective tissue, Muscular tissue, Nervous tissue, B
Cartilage is devoid of, Cells, Matrix, Nerves and blood vessels, Fibers, C
The most common type of cartilage is, Elastic cartilage, Fibrocartilage, Hyaline cartilage, Reticular cartilage, C
Hyaline cartilage has a appearance, Opaque white, Glossy translucent, Yellow and elastic, Fibrous and tough, B
Hyaline cartilage is found in the, Intervertebral discs, Outer ear, Ribs nose and trachea, Menisci of the knee, C
The strongest type of cartilage is, Hyaline cartilage, Elastic cartilage, Fibrocartilage, All are equally strong, C
Fibrocartilage is found in, The outer ear, The epiglottis, Intervertebral discs, The nose, C
Elastic cartilage contains an abundance of, Collagen fibers, Elastic fibers, Reticular fibers, Muscle fibers, B
Elastic cartilage is found in the, Intervertebral discs, Outer ear and epiglottis, Ribs and nose, Menisci, B
