Question,Option1,Option2,Option3,Option4,Correct Answer
What is the study of joints called?,Osteology,Myology,Arthrology,Neurology,Arthrology
Which type of joint is characterized by bones connected by an intervening connective tissue and is immobile?,Fibrous joint,Cartilaginous joint,Synovial joint,All of the above,Fibrous joint
Sutures of the skull are an example of which joint type?,Fibrous,Cartilaginous,Synovial,Plane,Fibrous
A syndesmosis is a type of fibrous joint found between the...,Root of a tooth and its socket,Lower ends of the tibia and fibula,Two pubic bones,Two vertebral bodies,Lower ends of the tibia and fibula
The joint between the root of a tooth and its socket is a...,Suture,Syndesmosis,Gomphosis,Synchondrosis,Gomphosis
Which type of cartilaginous joint is formed of hyaline cartilage and is temporary?,Symphysis,Synchondrosis,Suture,Syndesmosis,Synchondrosis
The epiphyseal plates of long bones are examples of...,Symphysis,Synchondrosis,Suture,Syndesmosis,Synchondrosis
A secondary cartilaginous joint symphysis is formed of...,Hyaline cartilage,Fibrocartilage,Elastic cartilage,Dense fibrous tissue,Fibrocartilage
The intervertebral disc and symphysis pubis are examples of...,Synchondrosis,Symphysis,Suture,Syndesmosis,Symphysis
Which type of joint is characterized by a joint cavity filled with synovial fluid?,Fibrous joint,Cartilaginous joint,Synovial joint,Both A and B,Synovial joint
In a synovial joint the bone ends are covered by...,Fibrocartilage,Hyaline cartilage,Elastic cartilage,Dense fibrous tissue,Hyaline cartilage
The fibrous sac enclosing the synovial joint cavity is the...,Synovial membrane,Articular disc,Fibrous capsule,Ligament,Fibrous capsule
Which structure in a synovial joint secretes synovial fluid?,Fibrous capsule,Synovial membrane,Articular cartilage,Ligament,Synovial membrane
Strong fibrous bands connecting bones together in a synovial joint are called...,Tendons,Ligaments,Aponeuroses,Retinacula,Ligaments
An articular disc formed of fibrocartilage for shock absorption is found in the...,Elbow joint,Hip joint,Knee joint,Shoulder joint,Knee joint
Ligaments found inside the joint cavity such as the cruciate ligaments are called...,Capsular ligaments,Extracapsular ligaments,Intra-articular ligaments,Accessory ligaments,Intra-articular ligaments
Which of the following is a feature of a typical synovial joint?,Bones connected by fibrous tissue,Presence of a joint cavity,Immobile,Formed of synchondrosis,Presence of a joint cavity
Flat articular surfaces that allow minimal gliding movement are characteristic of...,Plane joints,Hinge joints,Pivot joints,Saddle joints,Plane joints
A hinge joint allows movement around a...,Longitudinal axis,Vertical axis,Transverse axis,Multi-axes,Transverse axis
The elbow joint is an example of a...,Plane joint,Hinge joint,Pivot joint,Saddle joint,Hinge joint
A pivot joint allows movement around a...,Transverse axis,Longitudinal axis,Vertical axis,Coronal axis,Longitudinal axis
The radioulnar joints are examples of...,Hinge joints,Pivot joints,Ellipsoid joints,Saddle joints,Pivot joints
