Question,Option1,Option2,Option3,Option4,Correct Answer
The skeletal system consists of bones and cartilage connected by...,Muscles,Tendons,Joints,Ligaments,Joints
How many single bones are in the human skeleton?,34,86,126,206,34
How many paired bones are in the human skeleton?,34,86,126,206,86
The axial skeleton includes all of the following EXCEPT...,Skull,Hyoid bone,Vertebrae,Clavicle,Clavicle
The appendicular skeleton includes the bones of the...,Skull and vertebral column,Upper and lower limbs,Ribs and sternum,Hyoid bone,Upper and lower limbs
The skull is comprised of how many bones?,14,22,28,33,22
The bones of the skull are joined together by immobile joints called...,Symphyses,Synchondroses,Sutures,Syndesmoses,Sutures
The skull cap and skull base are parts of the...,Face,Cranium,Orbit,Nasal cavity,Cranium
The only bone located above the larynx in the anterior neck that does not articulate with any other bone is the...,Thyroid cartilage,Cricoid cartilage,Hyoid bone,First cervical vertebra,Hyoid bone
The hyoid bone is...,V-shaped,T-shaped,U-shaped,L-shaped,U-shaped
The vertebral column consists of how many vertebrae in total?,26,31,33,34,33
Vertebrae are separated by...,Synovial discs,Intervertebral discs,Articular cartilage,Ligaments,Intervertebral discs
How many cervical vertebrae are there?,5,7,12,5,7
How many thoracic vertebrae are there?,7,12,5,4,12
How many lumbar vertebrae are there?,5,7,12,4,5
The sacrum is formed by the fusion of how many vertebrae?,3,4,5,6,5
The coccyx or tailbone is formed by the fusion of how many small vertebrae?,3,4,5,6,4
A function of the vertebral column is...,Production of blood cells,Transmission of body weight,Storage of minerals,All of the above,Transmission of body weight
The thoracic cage is formed by all of the following EXCEPT...,Thoracic vertebrae,Ribs,Sternum,Lumbar vertebrae,Lumbar vertebrae
How many pairs of ribs are there?,7,10,12,14,12
The gap between two ribs is called the...,Costal groove,Intercostal space,Costal margin,Intervertebral foramen,Intercostal space
The first seven ribs that articulate directly with the sternum are called...,False ribs,Floating ribs,True ribs,Vertebrochondral ribs,True ribs
Ribs 8 9 and 10 are called...,True ribs,False ribs,Floating ribs,Vertebral ribs,False ribs
The 11th and 12th ribs are called...,True ribs,False ribs,Floating ribs,Vertebrosternal ribs,Floating ribs
The sternum is a flat unpaired bone consisting of how many parts?,2,3,4,5,3
The broader uppermost part of the sternum is the...,Manubrium,Body,Xiphoid process,Jugular notch,Manubrium
The long middle part of the sternum is the...,Manubrium,Body,Xiphoid process,Costal notch,Body
The smallest and most inferior part of the sternum is the...,Manubrium,Body,Xiphoid process,Angle of Louis,Xiphoid process
The main function of the thoracic cage is to...,Protect the brain,Support the thorax and protect vital structures,Allow for locomotion,Store calcium,Support the thorax and protect vital structures
The appendicular skeleton is composed of how many bones?,80,126,134,206,126
The bones of the shoulder girdle are the...,Humerus and scapula,Clavicle and scapula,Clavicle and sternum,Scapula and ribs,Clavicle and scapula
The arm is formed by a single long bone the...,Radius,Ulna,Humerus,Femur,Humerus
The lateral bone of the forearm is the...,Radius,Ulna,Humerus,Scapula,Radius
The medial bone of the forearm is the...,Radius,Ulna,Humerus,Scapula,Ulna
How many carpal bones are in the wrist?,5,7,8,14,8
Carpal bones are classified as...,Long bones,Short bones,Flat bones,Irregular bones,Short bones
The bones of the palm of the hand are the...,Carpals,Metacarpals,Phalanges,Tarsals,Metacarpals
How many metacarpal bones are there?,5,7,8,14,5
The knuckles are formed by the heads of the...,Carpals,Metacarpals,Phalanges,Metatarsals,Metacarpals
The bones of the fingers are the...,Carpals,Metacarpals,Phalanges,Tarsals,Phalanges
How many phalanges are in each finger except the thumb?,1,2,3,4,3
The pelvic girdle is formed by two hip bones the sacrum and the...,Femur,Coccyx,Lumbar vertebrae,Tibia,Coccyx
The heaviest strongest and longest bone in the body is the...,Humerus,Femur,Tibia,Fibula,Femur
The patella is a sesamoid bone located in front of the...,Hip joint,Knee joint,Ankle joint,Shoulder joint,Knee joint
The medial bone of the leg is the...,Femur,Tibia,Fibula,Patella,Tibia
The lateral bone of the leg is the...,Femur,Tibia,Fibula,Patella,Fibula
The tibia and fibula are connected along their length by a(n),Interosseous membrane,Syndesmosis,Symphysis,Synovial joint,Interosseous membrane
The foot skeleton is composed of 7 tarsals 5 metatarsals and how many phalanges?,7,14,14,19,14
The bones in the foot are arranged to form how many strong arches?,1,2,3,4,3
The skull's primary function is to...,Facilitate movement,Support the face and form a protective cavity for the brain,Produce blood cells,Store minerals,Support the face and form a protective cavity for the brain
A patient fractures their "funny bone." Which bone is injured?,Radius,Ulna,Humerus,Scapula,Humerus
The bone that forms the heel is the...,Talus,Calcaneus,Navicular,Cuboid,Calcaneus
The bone that articulates with the acetabulum to form the hip joint is the...,Femur,Tibia,Fibula,Patella,Femur
The bone that contains the foramen magnum is the...,Parietal bone,Frontal bone,Occipital bone,Temporal bone,Occipital bone
The mandible is a bone of the...,Cranium,Face,Thorax,Vertebral column,Face
