Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
Which structure marks the boundary between the anterior two-thirds and posterior one-third of the tongue?,Sulcus terminalis,Frenulum,Hard palate,Uvula,A
A patient presents with difficulty swallowing and reflux symptoms. Which esophageal structure is most likely dysfunctional in preventing gastric acid reflux?,Pyloric sphincter,Cardiac sphincter,Upper esophageal sphincter,Ileocecal valve,B
Which part of the stomach is dome-shaped and located below the left diaphragm?,Body,Fundus,Pylorus,Cardia,B
The common bile duct and main pancreatic duct unite to form which structure before opening into the duodenum?,Porta hepatis,Ampulla of Vater,Duodenal papilla,Hepatic duct,B
Which part of the small intestine contains Peyer's patches and forms the distal three-fifths?,Duodenum,Jejunum,Ileum,Colon,C
What are the three characteristic features of the colon wall?,Villi microvilli and crypts,Tacniæ coli sacculations and appendices epiploicae,Haustra plicae circularis and rugae,Mucosa submucosa and muscularis,B
Which salivary gland duct opens into the vestibule of the mouth opposite the upper second molar tooth?,Submandibular gland,Sublingual gland,Parotid gland,Thyroid gland,C
The transpyloric plane (L1) serves as a surface marking guide for which abdominal organ?,Liver,Stomach,Pancreas,Spleen,C
Which liver structure contains the portal vein hepatic artery and hepatic ducts?,Gall bladder fossa,Porta hepatis,Bare area,Falciform ligament,B
A patient with abdominal pain has an inflamed blind-ending tube located in the retrocecal position. Which structure is affected?,Appendix,Cecum,Sigmoid colon,Duodenum,A
Which part of the alimentary canal is approximately 25 cm long and makes a reverse S-shape in front of the vertebral column?,Pharynx,Esophagus,Duodenum,Jejunum,B
The soft palate gives rise to how many arches total?,2,4,6,8,B
Which teeth begin to erupt at 6 months and are completed by 24 months?,Permanent teeth,Deciduous teeth,Wisdom teeth,Canine teeth,B
What prevents food from entering the nasopharynx during swallowing?,Epiglottis closure,Uvula elevation,Soft palate elevation,Tongue retraction,C
Which part of the stomach is funnel-shaped and ends at the pyloric sphincter?,Fundus,Body,Cardia,Pylorus,D
The lesser curvature forms which border of the stomach?,Left border,Right border,Superior border,Inferior border,B
Which structure is NOT part of the stomach bed?,Pancreas,Spleen,Left kidney,Right lobe of liver,D
The duodenum is described as having what shape?,J-shaped,S-shaped,C-shaped,U-shaped,C
Which part of the duodenum receives the common bile duct and main pancreatic duct?,Superior part,Descending part,Horizontal part,Ascending part,B
What distinguishes the jejunum from the ileum?,Thicker walls and wider lumen,Presence of Peyer's patches,Narrower lumen and thinner walls,More vascular and longer villi,A
The ileocecal junction connects the ileum to which part of the large intestine?,Appendix,Cecum,Ascending colon,Transverse colon,B
Which position is most common for the vermiform appendix?,Pelvic,Subcecal,Pre-ileal,Retrocecal,D
The right colic flexure is also known as which type of flexure?,Splenic,Hepatic,Sigmoid,Duodenal,B
Which part of the colon extends from the splenic flexure to the pelvic inlet?,Transverse colon,Descending colon,Sigmoid colon,Ascending colon,B
