Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
Which structural division of the respiratory system includes the larynx trachea bronchi and lungs?,Upper respiratory system,Lower respiratory system,Conducting zone,Respiratory zone,B
The most anterior part of the nasal cavity lined by skin and hairs is called:,Olfactory part,Respiratory part,Nasal vestibule,Nasal conchae,C
What is the primary function of the paranasal sinuses regarding inhaled air?,Filter particles,Humidify and warm,Exchange gases,Produce mucus,B
Which pharyngeal part contains the pharyngeal tonsils and receives the opening of the auditory tube?,Nasopharynx,Oropharynx,Laryngopharynx,All three,A
A patient presents with a foreign body aspiration. Based on anatomical differences which main bronchus is most likely affected?,Left main bronchus,Right main bronchus,Both equally,Neither only trachea affected,B
The larynx is located between which two structures and at which vertebral levels?,Pharynx and trachea at C3-C5,Pharynx and esophagus at C5-C7,Pharynx and trachea at C4-C6,Trachea and bronchi at C7-T1,C
Which cartilage forms the Adam's Apple prominence in the neck?,Cricoid cartilage,Thyroid cartilage,Epiglottic cartilage,Arytenoid cartilage,B
What is the function of the epiglottis during swallowing?,Produce sound,Vibrate for speech,Prevent food entry into airways,Close nasal passages,C
How many C-shaped tracheal rings typically form the tracheal framework?,10-12,12-14,16-20,22-24,C
At which anatomical landmark does the trachea bifurcate into main bronchi?,Sternal angle,Cricoid cartilage,Thyroid cartilage,Xiphoid process,A
Which main bronchus is shorter wider and more vertical making it more susceptible to foreign body aspiration?,Left main bronchus,Right main bronchus,Both are similar,Neither bronchus only bronchioles,B
Where does the right main bronchus give off its upper lobar bronchus relative to the lung hilum?,Within the hilum,Outside the hilum,At the carina,At the segmental level,B
How many segmental (tertiary) bronchi are typically present in the human bronchial tree?,5,8,10,12,C
What is the functional unit of the lung consisting of subdivisions of lung lobes?,Alveoli,Bronchopulmonary segments,Lobes,Lobules,B
Which lung surface is smooth convex and related to the chest wall?,Medial surface,Lateral surface,Base,Apex,B
What structures collectively form the lung root that suspends the lung from the mediastinum?,Bronchus pulmonary artery pulmonary veins,Bronchus pulmonary artery azygos vein,Bronchus pulmonary vein superior vena cava,Bronchus aorta pulmonary vein,A
Which mediastinal structure is NOT found in the midline space between the lungs?,Heart,Trachea,Esophagus,Descending aorta,D
What type of membrane is the pleura and what does its visceral layer do?,Mucous membrane lines thoracic wall,Serous membrane invests lung surface,Fibrous membrane covers diaphragm,Synovial membrane lubricates ribs,B
Why is the right lung larger and shorter than the left?,Heart compression,Elevated right diaphragm due to liver,Smaller thoracic cavity on right,More segments on right,B
How many lobes and fissures does the right lung have?,2 lobes 1 fissure,2 lobes 2 fissures,3 lobes 1 fissure,3 lobes 2 fissures,D
What distinctive feature is found at the anterior border of the left lung?,Horizontal fissure,Cardiac notch and lingula,Oblique fissure,Larger hilum,B
How many broncho-pulmonary segments are typically present in the left lung?,8,10,12,14,A
Which part of the nasal cavity is concerned with smell sensation?,Nasal vestibule,Respiratory part,Olfactory part,Nasal conchae,C
What are the bony shelves projecting from the lateral wall of the nasal cavity called?,Nasal septum,Nasal conchae,Nasal turbinates,Nasal fossae,B
Which bone does NOT contain a paranasal sinus?,Frontal bone,Ethmoid bone,Sphenoid bone,Parietal bone,D
Which pharyngeal part lies behind the oral cavity and contains palatine tonsils?,Nasopharynx,Oropharynx,Laryngopharynx,All three,B
The laryngopharynx leads directly to which structure?,Esophagus,Trachea,Laryngeal inlet,Nasal cavity,C
Which laryngeal cartilage is described as ring-like and located below the thyroid cartilage?,Arytenoid,Cricoid,Epiglottic,Corniculate,B
Which paired laryngeal cartilages are attached to the vocal cords?,Thyroid and cricoid,Corniculate and cuneiform,Arytenoid and corniculate,Arytenoid only,D
At which vertebral level does the trachea begin?,C4,C5,C6,C7,C
The posterior aspect of the tracheal rings is closed by which structure?,Trachealis muscle,Esophagus,Thyroid gland,Hyoid bone,A
Which main bronchus is approximately 5 cm long longer narrower and more horizontal?,Right main bronchus,Left main bronchus,Both are similar,Neither varies individually,B
The lobar bronchi are also known as:,Primary bronchi,Secondary bronchi,Tertiary bronchi,Terminal bronchi,B
Bronchopulmonary segments are supplied by:,Segmental bronchi,Lobar bronchi,Main bronchi,Terminal bronchioles,A
The progression from bronchi to alveoli includes which sequence?,Bronchioles terminal bronchioles respiratory bronchioles alveolar ducts,Terminal bronchioles bronchioles respiratory bronchioles alveolar ducts,Bronchioles respiratory bronchioles terminal bronchioles alveolar ducts,Respiratory bronchioles bronchioles terminal bronchioles alveolar ducts,A
The lung apex projects into which anatomical region?,Mediastinum,Diaphragm,Root of neck,Thoracic wall,C
Which lung border is thin sharp and lies behind the sternum?,Anterior border,Posterior border,Inferior border,Medial border,A
The medial lung surface is related to:,Chest wall,Diaphragm,Mediastinum,Vertebral column,C
The lung hilum contains all EXCEPT:,Bronchus,Pulmonary artery,Pulmonary veins,Aorta,D
The pleural cavity normally contains:,Air,Blood,A thin film of serous fluid,Connective tissue,C
What causes the left lung to be thinner and taller than the right?,Liver position,Heart shift to left,Diaphragm shape,Rib cage structure,B
How many bronchi are typically found in the hilum of the right lung?,One,Two,Three,Four,B
How many bronchial arteries are typically found in the hilum of the left lung?,One,Two,Three,Four,B
The olfactory part of the nasal cavity is located:,In the nasal vestibule,In the respiratory region,In the roof of nasal cavity,In the lateral wall,C
The nasal cavity is divided into right and left halves by:,Nasal conchae,Nasal septum,Nasal vestibule,Choanae,B
The posterior nasal apertures that communicate with the nasopharynx are called:,Nares,Choanae,Conchae,Sinuses,B
Which paranasal sinus is NOT correctly paired with its bone?,Frontal sinus - Frontal bone,Maxillary sinus - Maxilla,Sphenoidal sinus - Sphenoid bone,Ethmoidal sinus - Temporal bone,D
The nasopharynx lies behind which structure?,Oral cavity,Larynx,Nasal cavity,Esophagus,C
The oropharynx contains which tonsils on its side walls?,Pharyngeal tonsils,Palatine tonsils,Lingual tonsils,Tubal tonsils,B
Which laryngeal cartilage is leaf-shaped and composed of elastic cartilage?,Thyroid,Cricoid,Epiglottis,Arytenoid,C
The trachea extends from C6 to which thoracic vertebral level?,T1,T3,T5,T7,C
The trachea bifurcates at the level of the:,Thyroid cartilage,Cricoid cartilage,Sternal angle,Xiphoid process,C
The right main bronchus is more vertical than the left due to:,Position of heart,Position of liver,Position of aorta,Position of esophagus,A
The right main bronchus divides within the hilum into:,Upper and middle lobe bronchi,Middle and lower lobe bronchi,Upper and lower lobe bronchi,Segmental bronchi only,B
The left main bronchus divides within the hilum into:,Upper and lower lobar bronchi,Three lobar bronchi,Segmental bronchi directly,Upper middle and lower lobe bronchi,A
Each bronchopulmonary segment is supplied by its own:,Pulmonary vein,Bronchial artery,Segmental bronchus,Lymphatic vessel,C
The total number of bronchopulmonary segments in both lungs is typically:,18,20,22,24,A
The lung base is described as:,Convex upward,Concave and on diaphragm,Sharp anteriorly,Rounded posteriorly,B
The costal surface of the lung is related to:,Mediastinum,Vertebral column,Chest wall,Diaphragm,C
The lung root includes all EXCEPT:,Bronchus,Pulmonary artery,Pulmonary veins,Phrenic nerve,D
The mediastinum contains all EXCEPT:,Heart,Trachea,Esophagus,Lungs,D
The visceral pleura:,Lines thoracic wall,Invests lung surface,Covers diaphragm,Forms mediastinum,B
The right lung has how many lobes and fissures?,2 lobes 1 fissure,3 lobes 2 fissures,2 lobes 2 fissures,3 lobes 3 fissures,B
The cardiac notch is a feature of which lung?,Right lung,Left lung,Both lungs,Neither lung,B
The lingula is part of which lung?,Right upper lobe,Right middle lobe,Left upper lobe,Left lower lobe,C
How many bronchopulmonary segments does the right lung have?,8,10,12,14,B
The nasal vestibule is lined by:,Respiratory epithelium,Olfactory epithelium,Skin and hairs,Mucous membrane,C
