Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
Which division of the nervous system is composed of cranial and spinal nerves and their associated ganglia?,Central nervous system,Peripheral nervous system,Somatic nervous system,Autonomic nervous system,B
What is the structural and functional unit of the nervous system consisting of cell body dendrites and axon?,Nucleus,Ganglion,Neuron,Synapse,C
A collection of nerve cells in the peripheral nervous system with specific function is called:,Nucleus,Ganglion,Neuron,Synapse,B
Which part of the brain has the lateral ventricle as its cavity?,Cerebrum,Diencephalon,Midbrain,Hindbrain,A
The third ventricle is the cavity of which brain structure?,Cerebrum,Diencephalon,Midbrain,Cerebellum,B
Which brain structure contains the cerebral aqueduct as its central canal?,Cerebrum,Diencephalon,Midbrain,Medulla oblongata,C
The brainstem is formed by which three structures?,Cerebrum diencephalon midbrain,Midbrain pons medulla oblongata,Pons medulla cerebellum,Thalamus hypothalamus pituitary gland,B
What is the largest part of the brain that lies inside the cranial cavity?,Cerebellum,Brainstem,Cerebrum,Diencephalon,C
The two cerebral hemispheres are connected by which structure?,Corpus callosum,Cerebral aqueduct,Fourth ventricle,Brainstem,A
How many lobes does the cerebrum consist of?,2,3,4,5,C
The outer layer of the cerebrum composed of neuronal cell bodies is called:,White matter,Grey matter,Myelinated matter,Neural matter,B
What are the irregular elevations on the cerebral cortex called?,Sulci,Gyri,Fissures,Ventricles,B
How many protective membranes cover the brain and what are they collectively called?,2 meninges,3 meninges,4 meninges,5 meninges,B
Cerebrospinal fluid circulates in the ventricles and in which space?,Subdural space,Epidural space,Subarachnoid space,Subpial space,C
Which brain structure is located at the back of the brain behind the pons and medulla oblongata?,Cerebrum,Diencephalon,Cerebellum,Brainstem,C
The cerebellum is primarily concerned with:,Sensory processing,Motor planning and coordination,Memory formation,Autonomic functions,B
Which part of the brain connects the cerebrum and diencephalon with the spinal cord?,Cerebellum,Brainstem,Basal ganglia,Limbic system,B
The brainstem extends downward to which vertebral level?,Atlas C1,Axis C2,C7,T1,A
Which cranial nerves arise from the midbrain?,III and IV,V VI VII and VIII,IX X XI and XII,I and II,A
The largest part of the brainstem that gives rise to cranial nerves V-VIII is the:,Midbrain,Pons,Medulla oblongata,Cerebellum,B
Which part of the brainstem is continuous with the spinal cord and gives rise to cranial nerves IX-XII?,Midbrain,Pons,Medulla oblongata,Cerebellum,C
Where does the spinal cord begin?,C1 vertebra,C7 vertebra,T1 vertebra,L1 vertebra,A
The spinal cord ends at which vertebral level as the conus medullaris?,C7,T12,L1,L5,C
How many segments does the spinal cord possess?,28,29,30,31,D
Which type of matter in the spinal cord contains cell bodies and is H-shaped?,White matter,Grey matter,Myelinated matter,Neural matter,B
The posterior horns of the spinal cord grey matter have primarily what function?,Motor,Sensory,Autonomic,Integrative,B
The anterior horns of the spinal cord contain cells with what function?,Sensory,Motor,Autonomic,Integrative,B
Lateral horns found in certain segments contain cells with what function?,Sensory,Motor,Autonomic,Integrative,C
How many pairs of cranial nerves arise directly from the brain?,10,12,31,33,B
The first two cranial nerves arise from which brain structure?,Brainstem,Cerebellum,Cerebrum,Diencephalon,C
Cranial nerves are numbered based on:,Their size,Their function,Their brainstem location and exit order,Their length,C
Which cranial nerves are attached to the midbrain?,I and II,III and IV,V VI VII and VIII,IX X XI and XII,B
The middle four cranial nerves are attached to which brain structure?,Midbrain,Pons,Medulla oblongata,Cerebellum,B
The last four cranial nerves are attached to which brain structure?,Midbrain,Pons,Medulla oblongata,Cerebellum,C
Which cranial nerve is responsible for olfaction?,Optic nerve,Olfactory nerve,Trigeminal nerve,Facial nerve,B
Vision is primarily mediated by which cranial nerve?,Oculomotor,Optic,Trochlear,Abducens,B
Which cranial nerve provides motor function to muscles of mastication?,Trigeminal nerve,Facial nerve,Glossopharyngeal nerve,Hypoglossal nerve,A
Eye movement is controlled by which three cranial nerves?,III IV and VI,III V and VII,IV V and VI,II III and IV,A
The facial nerve primarily provides motor function to:,Muscles of mastication,Facial muscles,Tongue muscles,Neck muscles,B
Hearing and equilibrium are functions of which cranial nerve?,Trigeminal nerve,Facial nerve,Vestibulocochlear nerve,Glossopharyngeal nerve,C
Taste sensation is primarily mediated by which cranial nerve?,Facial nerve,Glossopharyngeal nerve,Vagus nerve,Hypoglossal nerve,B
Which cranial nerve has the most extensive distribution including parasympathetic to heart respiratory and GIT?,Glossopharyngeal nerve,Vagus nerve,Accessory nerve,Hypoglossal nerve,B
Motor function to muscles of soft palate and larynx is provided by:,Facial nerve,Glossopharyngeal nerve,Vagus nerve,Accessory nerve,D
Motor function to tongue muscles is provided by which cranial nerve?,Facial nerve,Glossopharyngeal nerve,Vagus nerve,Hypoglossal nerve,D
How many pairs of spinal nerves are there in total?,12,28,31,33,C
Which region has the most spinal nerve pairs?,Cervical,Thoracic,Lumbar,Sacral,B
Each spinal nerve is formed by the union of:,Two anterior roots,Two posterior roots,Anterior and posterior roots,Rami and ganglia,C
The anterior root of spinal nerves contains what type of fibers?,Sensory fibers,Motor fibers,Both sensory and motor,Autonomic only,B
The posterior root of spinal nerves contains what type of fibers?,Sensory fibers,Motor fibers,Both sensory and motor,Autonomic only,A
After formation the spinal nerve trunk divides into:,Two equal rami,Larger anterior and smaller posterior rami,Smaller anterior and larger posterior rami,Multiple small branches,B
Which rami supply the skin and muscles of the back of the trunk?,Anterior rami,Posterior rami,Both equally,Neither only plexuses,B
Networks of anterior rami in certain regions form:,Ganglia,Nuclei,Plexuses,Tracts,C
The autonomic nervous system controls:,Skeletal muscles,Sensory organs,Involuntary functions like heart and glands,Conscious thought,C
The sympathetic division arises from lateral horn cells of:,All thoracic and first two lumbar segments,All lumbar and sacral segments,Cranial nerves only,Brainstem only,A
The parasympathetic division arises from:,Thoracic segments only,Lumbar segments only,Cranial nerves III VII IX X and sacral segments S2-4,Brainstem only,C
Which brain structure is immediately inferior to the occipital and temporal lobes?,Brainstem,Cerebellum,Diencephalon,Basal ganglia,B
The cerebral aqueduct is also known as the aqueduct of:,Monro,Sylvius,Magendie,Luschka,B
The fourth ventricle is associated with which brain structures?,Cerebrum and diencephalon,Midbrain only,Pons medulla and cerebellum,Spinal cord only,C
The spinal cord occupies what portion of the vertebral canal?,Upper 1/3,Upper 2/3,Lower 1/2,Entire length,B
Cervical and lumbar enlargements are features of which structure?,Brainstem,Cerebellum,Spinal cord,Cerebrum,C
The conus medullaris is the:,Beginning of spinal cord,Enlargement in cervical region,Enlargement in lumbar region,Tapered end of spinal cord,D
Which spinal cord segments have lateral horns for autonomic function?,All segments,Cervical only,Thoracic and upper lumbar,Sacral only,C
Posterior root ganglia contain:,Motor neuron cell bodies,Sensory neuron cell bodies,Autonomic neuron cell bodies,Interneuron cell bodies,B
The somatic nervous system is concerned with:,Cardiac muscle control,Skeletal muscle innervation,Gland control,Smooth muscle control,B
Which cranial nerve number is the trigeminal nerve?,III,IV,V,VI,C
The oculomotor nerve is cranial nerve number:,I,II,III,IV,C
Which cranial nerve is responsible for facial sensation?,Trigeminal nerve,Facial nerve,Glossopharyngeal nerve,Vagus nerve,A
Equilibrium is part of the function of which cranial nerve?,Vestibulocchlear,Glossopharyngeal,Vagus,Accessory,A
The vagus nerve is cranial nerve number:,VIII,IX,X,XI,C
Which cranial nerve has both sensory and motor functions to the face?,Optic nerve,Oculomotor nerve,Trigeminal nerve,Abducens nerve,C
Spinal nerves from T1 to L2 contain autonomic fibers in their:,Posterior root only,Anterior root only,Both roots,Neither root,B
The posterior rami of spinal nerves supply:,Front of body,Back of trunk,Limbs only,Head and neck,B
Anterior rami in the cervical lumbar and sacral regions form:,Spinal ganglia,Nerve plexuses,Autonomic ganglia,Spinal tracts,B
The autonomic nervous system is divided into:,Somatic and visceral,Sympathetic and parasympathetic,Cranial and spinal,Central and peripheral,B
Sympathetic fibers arise from which spinal segments?,C1-C8,T1-L2,L3-S1,S2-S4,B
Parasympathetic fibers arise from which cranial nerves?,I II III,III VII IX X,V VII IX,X XI XII,B
Which sacral segments contribute to the parasympathetic division?,S1 only,S2 S3 S4,S1 S2 S3,All sacral segments,B
The point of functional contact between neurons is called:,Ganglion,Nucleus,Synapse,Neuron,C
Neurotransmitters are released into the:,Cell body,Dendrite,Axon terminal,Synaptic cleft,D
The central canal of the spinal cord contains:,Blood,CSF,Air,Neural tissue,B
The H-shaped grey matter in spinal cord has:,Two horns,Three horns,Four horns,Five horns,B
Sensory information enters the spinal cord through:,Anterior root,Posterior root,Anterior ramus,Posterior ramus,B
Motor information leaves the spinal cord through:,Anterior root,Posterior root,Anterior ramus,Posterior ramus,A
The largest bundle of nerve fibers connecting cerebral hemispheres is:,Cerebral aqueduct,Corpus callosum,Fourth ventricle,Brainstem,B
Which brain structure is separated from the cerebellum by the fourth ventricle?,Midbrain,Pons,Medulla oblongata,Cerebrum,B
The foramen magnum is related to the transition between:,Cerebrum and diencephalon,Brainstem and spinal cord,Cerebellum and cerebrum,Spinal cord and cauda equina,B
How many cervical spinal nerves are there?,7,8,12,5,B
How many thoracic spinal nerves are there?,7,8,12,5,C
How many lumbar spinal nerves are there?,5,6,7,8,A
How many sacral spinal nerves are there?,3,4,5,6,C
The cauda equina begins below which vertebral level?,C7,T12,L1,L5,C
Which cranial nerve is purely sensory?,Olfactory,Oculomotor,Trochlear,Abducens,A
