Question,Option1,Option2,Option3,Option4,Correct Answer
The heart is a hollow muscular pump responsible for...,Air circulation,Blood circulation,Food digestion,Nerve impulse transmission,Blood circulation
The chamber that receives blood from the lungs is the...,Right atrium,Left atrium,Right ventricle,Left ventricle,Left atrium
The chamber that receives blood from the rest of the body is the...,Right atrium,Left atrium,Right ventricle,Left ventricle,Right atrium
The chamber that propels blood to the lungs is the...,Right atrium,Left atrium,Right ventricle,Left ventricle,Right ventricle
The chamber that propels blood to the systemic circulation is the...,Right atrium,Left atrium,Right ventricle,Left ventricle,Left ventricle
The muscular wall of the heart is the...,Epicardium,Myocardium,Endocardium,Pericardium,Myocardium
The heart is located in the...,Abdominal cavity,Cranial cavity,Thoracic cavity,Pelvic cavity,Thoracic cavity
The serous membrane that surrounds the heart is the...,Peritoneum,Pleura,Pericardium,Meninges,Pericardium
The outer fibrous layer of the pericardium is the...,Serous pericardium,Fibrous pericardium,Visceral pericardium,Parietal pericardium,Fibrous pericardium
The visceral layer of the serous pericardium is also called the...,Myocardium,Endocardium,Epicardium,Fibrous pericardium,Epicardium
The heart surface facing the inner surface of the sternum and ribs is the...,Diaphragmatic surface,Sternocostal surface,Cardiac base,Cardiac apex,Sternocostal surface
The heart surface facing the diaphragm is the...,Diaphragmatic surface,Sternocostal surface,Cardiac base,Cardiac apex,Diaphragmatic surface
The cardiac apex is formed by the...,Right atrium,Left atrium,Right ventricle,Left ventricle,Left ventricle
The cardiac base is formed mainly by the...,Right atrium,Left atrium,Right ventricle,Left ventricle,Left atrium
The right atrium has a rough anterior part formed of...,Trabeculae carneae,Pectinate muscles,Papillary muscles,Chordae tendineae,Pectinate muscles
The vertical ridge separating the rough and smooth parts of the right atrium is the...,Crista terminalis,Interatrial septum,Fossa ovalis,Coronary sinus,Crista terminalis
The oval depression in the lower part of the interatrial septum is the...,Coronary sinus,Crista terminalis,Fossa ovalis,Opening of SVC,Fossa ovalis
The left atrium receives openings of the...,Superior and inferior vena cava,Four pulmonary veins,Coronary sinus,Tricuspid valve,Four pulmonary veins
The rough inflowing part of the right ventricle has irregular muscular ridges called...,Pectinate muscles,Trabeculae carneae,Papillary muscles,Chordae tendineae,Trabeculae carneae
The papillary muscles in the right ventricle are attached to the...,Bicuspid valve,Tricuspid valve,Aortic valve,Pulmonary valve,Tricuspid valve
The smooth outflowing part of the right ventricle is the...,Aortic vestibule,Infundibulum,Coronary sinus,Left atrium,Infundibulum
The right ventricle pumps blood to the...,Aorta,Pulmonary artery,Left atrium,Coronary sinus,Pulmonary artery
The left ventricle is thicker than the right ventricle by about...,2 times,3 times,4 times,The same thickness,3 times
The left atrioventricular orifice is guarded by the...,Tricuspid valve,Bicuspid mitral valve,Aortic valve,Pulmonary valve,Bicuspid mitral valve
The smooth outflowing part of the left ventricle is the...,Infundibulum,Aortic vestibule,Coronary sinus,Right atrium,Aortic vestibule
The left ventricle pumps blood to the...,Pulmonary artery,Aorta,Right atrium,Coronary sinus,Aorta
Pulmonary circulation starts by pumping blood from the __________ to the lungs.,Right atrium,Left atrium,Right ventricle,Left ventricle,Right ventricle
Oxygenated blood returns to the heart via the...,Superior vena cava,Inferior vena cava,Coronary sinus,Pulmonary veins,Pulmonary veins
Systemic circulation starts by pumping oxygenated blood from the...,Right ventricle,Left ventricle,Right atrium,Left atrium,Left ventricle
Deoxygenated blood returns to the right atrium via the...,Pulmonary veins,Aorta,Superior and inferior vena cava,Coronary arteries,Superior and inferior vena cava
The main arteries supplying the heart itself are the...,Pulmonary arteries,Coronary arteries,Aorta and subclavian,Carotid arteries,Coronary arteries
The main venous channel of the heart that ends in the right atrium is the...,Superior vena cava,Inferior vena cava,Coronary sinus,Pulmonary vein,Coronary sinus
Arteries conduct blood...,From the heart to capillaries,From capillaries to the heart,Within the heart,To the lungs only,From the heart to capillaries
Arteries are characterized as being...,Thin-walled and collapsible,Thick-walled and elastic,Low-pressure vessels,Valved,Thick-walled and elastic
Communication between arterial branches is called...,Plexus,Anastomosis,Sinusoid,Shunt,Anastomosis
Veins collect blood...,From the heart to tissues,From capillaries towards the heart,Only from the lungs,Only to the brain,From capillaries towards the heart
Veins are characterized as being...,Thick-walled and pulsating,Thin-walled and valved,Elastic and red,Non-collapsible,Thin-walled and valved
Connections between veins form a...,Anastomosis,Plexus,Sinusoid,Shunt,Plexus
The smallest vessels whose walls consist only of endothelial cells are...,Arterioles,Venules,Capillaries,Sinusoids,Capillaries
Wide capillaries with a fenestrated endothelium found in the liver and spleen are...,Arterioles,Venules,Capillaries,Sinusoids,Sinusoids
Direct short channels between terminal arterioles and primary venules are...,Anastomoses,Plexuses,Sinusoids,Arteriovenous shunts,Arteriovenous shunts
Lymph is a clear fluid present in most tissues except the...,Skin,Muscles,CNS and cornea,Liver,CNS and cornea
Lymph is similar to blood plasma but lacks...,Water,Proteins,Electrolytes,Erythrocytes and platelets,Erythrocytes and platelets
Lymph capillaries collect...,Blood,Interstitial fluid,CSF,Synovial fluid,Interstitial fluid
Lymph vessels have a beaded appearance due to the presence of...,Valves,Plexuses,Anastomoses,Sinusoids,Valves
Vessels that carry lymph to lymph nodes are...,Afferent lymph vessels,Efferent lymph vessels,Lymph trunks,Lymph ducts,Afferent lymph vessels
The longest lymphatic channel that drains most of the body is the...,Right lymphatic duct,Thoracic duct,Cisterna chyli,Left subclavian duct,Thoracic duct
Primary lymphoid organs are concerned with...,Filtering antigens,Trapping pathogens,Production and maturation of lymphocytes,Circulating lymph,Production and maturation of lymphocytes
An example of a primary lymphoid organ is the...,Spleen,Lymph nodes,Thymus,Palatine tonsils,Thymus
The largest lymphoid organ that filters blood is the...,Thymus,Spleen,Lymph nodes,Tonsils,Spleen
Waldeyer's ring includes the...,Spleen and thymus,Palatine lingual nasopharyngeal and tubal tonsils,Peyer's patches,Lymph nodes,Palatine lingual nasopharyngeal and tubal tonsils
Lymphoid tissue in the ileum is called...,Tonsils,Peyer's patches,Appendix,Thymus,Peyer's patches
A patient has lymphedema in their right arm. Which lymphatic duct is likely obstructed?,Thoracic duct,Right lymphatic duct,Cisterna chyli,Left lymphatic duct,Right lymphatic duct
A patient has their spleen removed splenectomy. They would be most at risk for...,Impaired lymph circulation,Issues with blood filtration and immune response,Problems with T-cell maturation,Decreased red blood cell production,Issues with blood filtration and immune response
The right lymphatic duct drains lymph into the...,Left innominate vein,Right innominate vein,Aorta,Superior vena cava,Right innominate vein
The thoracic duct drains lymph into the...,Right innominate vein,Left innominate vein,Aorta,Pulmonary vein,Left innominate vein
Lymph nodes function to...,Produce new red blood cells,Filter lymph and trap antigens,Produce digestive enzymes,Pump lymph to the heart,Filter lymph and trap antigens
After passing through a lymph node lymph is carried away by...,Afferent vessels,Efferent vessels,Lymph trunks,Lymph ducts,Efferent vessels
