Question,Option1,Option2,Option3,Option4,Correct Answer
The urinary system consists of all of the following EXCEPT...,Kidneys,Ureters,Urinary bladder,Urethra,Urethra
The main function of the urinary system is...,Gas exchange,Digestion of food,Elimination of waste products and electrolyte balance,Pumping blood,Elimination of waste products and electrolyte balance
The kidneys are located on each side of the vertebral column between which vertebrae?,C1-C7,T1-T12,T12 to L3,L4-L5,T12 to L3
Which kidney is typically higher than the other?,Right kidney,Left kidney,They are at the same level,It varies,Left kidney
The kidneys are fixed to the posterior abdominal wall making them...,Intraperitoneal,Retroperitoneal,Within the pelvic cavity,Anterior to the stomach,Retroperitoneal
The outer region of the kidney containing about a million nephrons is the...,Renal medulla,Renal cortex,Renal pelvis,Renal hilum,Renal cortex
The inner region of the kidney containing collecting tubules and pyramids is the...,Renal cortex,Renal medulla,Renal hilum,Renal capsule,Renal medulla
Urine drains from the renal pyramids into the...,Ureter,Major calyces,Minor calyces,Renal pelvis,Minor calyces
The flattened funnel-shaped structure that collects urine before the ureter is the...,Renal cortex,Renal medulla,Renal pelvis,Renal pyramid,Renal pelvis
The site of entrance of the renal artery and exit of the renal vein and ureter is the...,Renal cortex,Renal medulla,Renal hilum,Renal pole,Renal hilum
The anterior relation of the right kidney is the...,Spleen and pancreas,Liver and duodenum,Stomach and spleen,Colon and jejunum,Liver and duodenum
The anterior relation of the left kidney is the...,Liver and duodenum,Spleen pancreas and stomach,Appendix and cecum,Urinary bladder,Spleen pancreas and stomach
The posterior relations of both kidneys include the...,Diaphragm and back muscles,Liver and spleen,Stomach and pancreas,Small intestine,Diaphragm and back muscles
The tough fibrous capsule of the kidney is covered by...,Pararenal fat only,Peri-renal fat and renal fascia,Muscle tissue only,The peritoneum only,Peri-renal fat and renal fascia
The ureters are narrow muscular tubes about how long?,10 cm,25 cm,40 cm,1 meter,25 cm
The ureter arises from the...,Urinary bladder,Urethra,Pelvis of the kidney,Renal cortex,Pelvis of the kidney
The anatomical course of the ureter is divided into how many parts?,Two,Three,Four,Five,Three
The part of the ureter that ends in the wall of the urinary bladder is the...,Abdominal part,Pelvic part,Intramural part,Thoracic part,Intramural part
The oblique course of the intramural ureter helps to...,Speed up urine flow,Prevent urine regurgitation back to the kidney,Connect to the urethra,Increase urine production,Prevent urine regurgitation back to the kidney
The ureter has how many constrictions in its course?,One,Two,Three,Four,Three
The urinary bladder is located in the...,Thoracic cavity,Abdominal cavity,Pelvic cavity,Cranial cavity,Pelvic cavity
The shape of an empty urinary bladder is a...,Sphere,Cube,Flattened three-sided pyramid,Cylinder,Flattened three-sided pyramid
The apex of the urinary bladder points...,Backwards,Upwards,Downwards,Forwards to the pubic symphysis,Forwards to the pubic symphysis
The most fixed part of the urinary bladder is the...,Apex,Body,Neck,Superior surface,Neck
How many orifices open into the urinary bladder?,One,Two,Three,Four,Three
The female urethra is about how long?,1 cm,4 cm,20 cm,25 cm,4 cm
The female urethra begins at the...,External urethral meatus,Internal urethral orifice,Vagina,Urinary bladder neck,Internal urethral orifice
The male urethra is about how long?,4 cm,10 cm,15 cm,20 cm,20 cm
The male urethra transmits...,Urine only,Semen only,Both urine and semen,Neither urine nor semen,Both urine and semen
How many parts does the male urethra have?,One,Two,Three,Four,Three
The widest and most dilatable part of the male urethra is the...,Prostatic urethra,Membranous urethra,Penile urethra,Spongy urethra,Prostatic urethra
The shortest and narrowest part of the male urethra is the...,Prostatic urethra,Membranous urethra,Penile urethra,Spongy urethra,Membranous urethra
The part of the male urethra that passes through the penis is the...,Prostatic urethra,Membranous urethra,Penile spongy urethra,All of the above,Penile spongy urethra
The internal urethral sphincter is composed of __________ muscle.,Skeletal,Smooth,Cardiac,Striated,Smooth
The internal urethral sphincter is supplied by __________ nerves.,Somatic,Sympathetic,Parasympathetic,Spinal,Sympathetic
The external urethral sphincter is composed of __________ muscle.,Skeletal,Smooth,Cardiac,Involuntary,Skeletal
A patient with a kidney stone obstructing the ureter at the pelvic brim. This is at which constriction?,At the ureter's beginning,At the pelvic junction,At its middle when crossing the pelvic brim,At its end within the bladder wall,At its middle when crossing the pelvic brim
A patient with benign prostatic hyperplasia BPH. Which part of the male urethra is most likely compressed?,Membranous urethra,Penile urethra,Prostatic urethra,External urethral meatus,Prostatic urethra
Incontinence after prostatectomy surgery could result from damage to the...,Internal urethral sphincter,External urethral sphincter,Prostatic urethra,Bladder detrusor muscle,Internal urethral sphincter
A female patient with recurrent urinary tract infections. The relatively short length of which structure is a predisposing factor?,Ureter,Urinary bladder,Female urethra,Kidney pelvis,Female urethra
The renal corpuscle is part of the...,Renal pelvis,Ureter,Nephron,Calyx,Nephron
The glomerulus is a network of...,Arteries,Veins,Capillaries,Lymphatics,Capillaries
The function of the loop of Henle is primarily...,Filtration,Reabsorption of water and salts,Secretion of hormones,Storage of urine,Reabsorption of water and salts
Antidiuretic hormone ADH acts on the...,Proximal convoluted tubule,Loop of Henle,Distal convoluted tubule and collecting duct,Glomerulus,Distal convoluted tubule and collecting duct
Aldosterone primarily affects reabsorption in the...,Glomerulus,Proximal tubule,Loop of Henle,Distal tubule,Distal tubule
The trigone of the urinary bladder is a triangular area between the...,Apex and neck,Two ureteric orifices and the internal urethral orifice,Superior and inferior surfaces,Anterior and posterior walls,Two ureteric orifices and the internal urethral orifice
