Question, Option1, Option2, Option3, Option4, Correct Answer
The female external genital organs include the vulva and the, Ovaries, Fallopian tubes, Breasts, Uterus, C
The female internal genital organs include ovaries fallopian tubes and, Vagina only, Uterus and vagina, Breasts, Vulva, B
The ovary is a primary sex organ located in the, Uterine cavity, Ovarian fossa on pelvic side wall, Abdominal cavity, Vaginal canal, B
The ovary is shaped like a, Sphere, Cube, Almond, Pear, C
The average length of an ovary is, 1 cm, 3 cm, 5 cm, 7 cm, B
The ovary functions as a mixed gland producing, Estrogen progesterone and ova, Testosterone and sperms, Insulin and glucagon, Thyroxine and calcitonin, A
The fallopian tube is the site of, Ovulation, Fertilization, Implantation, Menstruation, B
The fallopian tube transports the zygote to the, Ovary, Uterine cavity, Vagina, Cervix, B
The medial opening of the fallopian tube is into the, Peritoneal cavity, Uterine cavity, Ovary, Vagina, B
The lateral opening of the fallopian tube is into the, Uterine cavity, Peritoneal cavity, Ovary, Vagina, B
The funnel-shaped expansion of the uterine tube is the, Ampulla, Isthmus, Infundibulum, Intramural part, C
The infundibulum is characterized by, Its narrow lumen, Its muscular walls, Fimbriae that capture the ovum, Its location in the myometrium, C
The most dilated and longest part of the fallopian tube is the, Infundibulum, Ampulla, Isthmus, Intramural part, B
The site of fertilization is typically the, Infundibulum, Ampulla, Isthmus, Intramural part, B
The rounded muscular part of the fallopian tube is the, Infundibulum, Ampulla, Isthmus, Intramural part, C
The narrowest part of the fallopian tube is the, Infundibulum, Ampulla, Isthmus, Intramural part, D
The intramural part runs within the, Ovary, Myometrium of the uterus, Vaginal wall, Peritoneal cavity, B
The uterus provides a nidus for the, Developing fetus, Ovum production, Sperm maturation, Hormone production, A
The virgin uterus is shaped like a, Sphere, Flattened pear, Almond, Cube, B
The average size of the uterus is, 5x3x2 cm, 8x5x3 cm, 10x6x4 cm, 12x7x5 cm, B
The uterus possesses a fundus body and, Cervix, Ovary, Tube, Vagina, A
The uterus receives the, Ovaries, Fallopian tubes, Vagina only, Bladder, B
The cervix protrudes into the vault of the, Bladder, Rectum, Vagina, Urethra, C
The normal position of the uterus is, Retroverted retroflexed, Anteverted anteflexed, Laterally flexed, Superiorly displaced, B
Anteversion is the angle between the, Body and cervix, Uterus and vagina, Uterus and bladder, Uterus and rectum, B
Anteflexion is the angle between the, Uterus and vagina, Body and cervix, Fundus and body, Cervix and vagina, B
The uppermost convex part of the uterus is the, Body, Cervix, Fundus, Isthmus, C
The main part of the uterus is the, Fundus, Body, Cervix, Cornu, B
The cervix is how long, 1 inch, 2 inches, 3 inches, 4 inches, A
The cervix has a supra-vaginal part and a, Vaginal part, Uterine part, Cervical part, Fundal part, A
The supra-vaginal part opens into the uterine cavity by the, External os, Internal os, Cervical canal, Vaginal fornix, B
The vaginal part opens into the vagina by the, Internal os, External os, Cervical os, Uterine os, B
The outer peritoneal covering of the uterus is the, Myometrium, Endometrium, Epimetrium, Perimetrium, C
The middle main muscular layer of the uterus is the, Epimetrium, Myometrium, Endometrium, Perimetrium, B
The innermost layer of the uterus is the, Myometrium, Endometrium, Epimetrium, Perimetrium, B
The endometrium has a basal layer and a, Functional layer, Muscular layer, Serous layer, Connective layer, A
The functional layer of the endometrium is shed during, Ovulation, Fertilization, Menstruation, Implantation, C
Implantation occurs into the, Myometrium, Functional layer of endometrium, Basal layer of endometrium, Cervix, B
The vagina is a fibromuscular canal extending from the, Uterus to bladder, Vaginal orifice to cervix, Cervix to vulva, Bladder to urethra, B
The vaginal orifice is partially closed in virgins by the, Hymen, Fimbriae, Fornix, Cervix, A
The long axis of the vagina makes an angle of anteversion with the, Cervix, Uterus, Bladder, Rectum, B
The upper part of the vagina surrounds the cervix forming the, Hymen, Vaginal orifice, Vaginal fornices, Vestibule, C
The anterior wall of the vagina is how long, 5.5 cm, 7.5 cm, 9.5 cm, 11.5 cm, B
The posterior wall of the vagina is how long, 7.5 cm, 9 cm, 10.5 cm, 12 cm, B
The vagina passes through the, Pelvic diaphragm, Urogenital diaphragm, Thoracic diaphragm, Abdominal wall, B
The vagina ends in the vestibule of the vagina in the, Abdomen, Pelvis, Perineum, Thorax, C
The vagina is related anteriorly to the, Rectum, Urethra and bladder base, Uterus, Sacrum, B
The vagina is related posteriorly to the, Bladder, Urethra, Douglas pouch and rectum, Uterus, C
The male external genital organs include the penis and the, Testes, Scrotum, Prostate, Seminal vesicles, B
The penis is the copulatory organ containing the, Urethra, Vas deferens, Ejaculatory duct, Prostate, A
The scrotum is a pouch of skin containing the, Penis only, Testes and spermatic cords, Prostate and seminal vesicles, Bladder and urethra, B
The scrotal subcutaneous tissue contains, Fat only, Dartos muscle, Skeletal muscle, No special tissue, B
