Question,Option1,Option2,Option3,Option4,Correct Answer
Karyotyping is a laboratory procedure to examine human...,Blood cells,Chromosomes,Proteins,Enzymes,Chromosomes
A normal chromosome is formed of two __________ attached at the centromere.,Genes,Chromatids,Nuclei,Cells,Chromatids
In a metacentric chromosome the centromere is...,At the end,Near the end,Central,Near the center,Central
In a submetacentric chromosome the centromere is...,Central,Near the center,Near the end,At the end,Near the center
In an acrocentric chromosome the centromere is...,Central,Near the center,Near the end,At the end,Near the end
Telocentric chromosomes where the centromere is at the end...,Are common in humans,Are not found in humans,Are the only type in humans,Are found only in gametes,Are not found in humans
The short arm of a chromosome is designated the...,p arm,q arm,r arm,s arm,p arm
The long arm of a chromosome is designated the...,p arm,q arm,r arm,s arm,q arm
The diploid number of chromosomes in a human somatic cell is...,23,46,69,92,46
A human somatic cell contains how many pairs of autosomes?,1,22,23,46,22
A human somatic cell contains how many pairs of sex chromosomes?,1,22,23,46,1
The haploid number of chromosomes in a human gamete is...,23,46,69,92,23
Group A chromosomes pairs 1-3 are characterized as being...,Large metacentric,Large submetacentric,Medium-sized,Small acrocentric,Large metacentric
Group B chromosomes pairs 4-5 are...,Large submetacentric,Medium-sized,Small acrocentric,Very small,Large submetacentric
Group C chromosomes pairs 6-12 and the X chromosome are...,Large metacentric,Large submetacentric,Medium-sized,Small acrocentric,Medium-sized
Group D chromosomes pairs 13-15 are...,Medium-sized,Small acrocentric,Very small,Metacentric,Small acrocentric
Group E chromosomes pairs 16-18 are...,Medium-sized,Small acrocentric,Very small,Metacentric,Small acrocentric
Group F chromosomes pairs 19-20 are...,Small acrocentric,Very small metacentric,Very small acrocentric,Large,Very small metacentric
Group G chromosomes pairs 21-22 and the Y chromosome are...,Large metacentric,Small acrocentric,Very small acrocentric,Medium-sized,Very small acrocentric
A structural chromosomal anomaly involving the loss of a piece of chromatid is...,Deletion,Translocation,Inversion,Duplication,Deletion
A structural anomaly involving the addition of an extra piece of chromatid is...,Deletion,Translocation,Inversion,Ring chromosome,Translocation
A structural anomaly involving the reciprocal reattachment of a piece of chromatid is...,Deletion,Translocation,Inversion,Isochromosome,Inversion
A structural anomaly where the tips of a chromosome fuse forming a ring is a...,Deletion,Translocation,Inversion,Ring chromosome,Ring chromosome
A structural anomaly from transverse separation of the centromere is a(n),Deletion,Translocation,Inversion,Isochromosome,Isochromosome
A numerical anomaly involving three copies of a chromosome is...,Monosomy,Trisomy,Triploidy,Tetraploidy,Trisomy
A numerical anomaly involving one copy of a chromosome is...,Monosomy,Trisomy,Triploidy,Tetraploidy,Monosomy
A numerical anomaly where the chromosomal number is duplicated e.g. 69 is...,Monosomy,Trisomy,Triploidy,Polyploidy,Triploidy
Nondisjunction is the failed separation of...,Genes,Chromatids during Anaphase,Centromeres,Chromosome arms,Chromatids during Anaphase
Nondisjunction during cell division can result in one daughter cell having __________ copies of a chromosome.,1,2,3,4,3
Down syndrome is a clinical example of...,Monosomy 21,Trisomy 21,Triploidy,Translocation,Trisomy 21
The genetic structure for Down syndrome is typically...,45 + XX,45 + XY,47 + XX or XY 3 copies of chromosome 21,46 XX,47 + XX or XY 3 copies of chromosome 21
Features of Down syndrome include all of the following EXCEPT...,Mental retardation,Upward slanting eyes,Tall stature,Abnormal hand creases,Tall stature
Klinefelter syndrome is found only in...,Females,Males,Both sexes,Neither sex,Males
The cells in Klinefelter syndrome have 47 chromosomes with a sex complement of...,XXY,XXX,XYY,XY,XXY
A common clinical feature of Klinefelter syndrome is...,Short stature,Webbed neck,Sterility and testicular atrophy,Coarse facial features,Sterility and testicular atrophy
Turner syndrome has a karyotype of...,45 X,47 XXY,47 XXX,46 XY,45 X
Turner syndrome is the only __________ compatible with life.,Trisomy,Monosomy,Triploidy,Tetraploidy,Monosomy
Features of Turner syndrome include...,Sterility in males,Short stature and webbed neck in females,Tall stature,Mental retardation,Short stature and webbed neck in females
A patient is short has a webbed neck and is infertile. Karyotyping would most likely show...,46 XX,46 XY,45 X,47 XXY,45 X
A patient is male tall with gynecomastia and small testes. Karyotyping would most likely show...,46 XY,47 XXY,45 X,47 XYY,47 XXY
The most common causative event for Klinefelter syndrome is...,Nondisjunction of the XX homologues,Deletion of the Y chromosome,Translocation,Inversion,Nondisjunction of the XX homologues
Cri-du-chat syndrome is caused by a __________ on chromosome 5.,Translocation,Deletion,Inversion,Isochromosome,Deletion
A balanced translocation carrier is an individual who...,Has a normal phenotype,Has severe anomalies,Has trisomy,Has monosomy,Has a normal phenotype
The risk of having a child with a chromosomal anomaly increases with...,Paternal age,Maternal age,Blood type,Environmental factors only,Maternal age
Amniocentesis is a prenatal diagnostic technique used to obtain fetal cells for...,Blood tests,Karyotyping,Urine analysis,Heart monitoring,Karyotyping
Chorionic villus sampling CVS is used for prenatal diagnosis of...,Neural tube defects only,Chromosomal anomalies only,Both chromosomal and metabolic defects,Heart defects only,Both chromosomal and metabolic defects
A karyotype is a photographic representation of a set of...,Genes,Chromosomes,Proteins,Enzymes,Chromosomes
The Philadelphia chromosome is an example of a...,Deletion,Translocation,Inversion,Ring chromosome,Translocation
Mosaicism refers to the presence of two or more cell lines with...,Different genetic origins,The same chromosomes,Different chromosomal complements,The same genes,Different chromosomal complements
The most common autosomal trisomy in live births is...,Trisomy 13,Trisomy 18,Trisomy 21,Trisomy 16,Trisomy 21
The Y chromosome carries the gene for...,Female development,Male development,Blood clotting,Immune response,Male development
The Barr body is an inactivated...,X chromosome,Y chromosome,Autosome,Centromere,X chromosome
A normal female has how many Barr bodies?,0,1,2,3,1
A normal male has how many Barr bodies?,0,1,2,3,0
A female with Turner syndrome 45 X has how many Barr bodies?,0,1,2,3,0
A male with Klinefelter syndrome 47 XXY has how many Barr bodies?,0,1,2,3,1
