Question,Option1,Option2,Option3,Option4,Correct Answer
Spermatogenesis is the transformation of __________ into mature sperms.,Spermatids,Spermatogonia,Primary spermatocytes,Sertoli cells,Spermatogonia
The site of spermatogenesis is the...,Epididymis,Seminiferous tubules of the testis,Rete testis,Vas deferens,Seminiferous tubules of the testis
Spermatogenesis begins at...,Birth,Puberty,Adulthood,In old age,Puberty
The duration of spermatogenesis from spermatogonia to sperm is about...,7 days,30 days,60 days,90 days,60 days
Sperms are stored and become functionally mature in the...,Testis,Seminiferous tubules,Epididymis,Vas deferens,Epididymis
A key significance of spermatogenesis is the reduction of chromosomal material by...,Mitosis,Meiosis,Fertilization,Cleavage,Meiosis
The first stage of spermatogenesis involving an increase in number of spermatogonia is...,Growth,Proliferation,Maturation,Spermiogenesis,Proliferation
Spermatogonia divide by __________ to form daughter spermatogonia.,Meiosis,Mitosis,Binary fission,Fertilization,Mitosis
The stage where daughter spermatogonia enlarge to form primary spermatocytes is...,Proliferation,Growth,Maturation,Spermiogenesis,Growth
Primary spermatocytes are the __________ germ cell in the seminiferous tubules.,Smallest,Most mature,Largest,Only,Largest
The maturation stage involves __________ successive maturation divisions.,One,Two,Three,Four,Two
The first maturation division Meiosis I divides a primary spermatocyte into...,Four spermatids,Two secondary spermatocytes,Two spermatogonia,Spermatozoa,Two secondary spermatocytes
Secondary spermatocytes contain a __________ number of chromosomes.,Diploid,Haploid,Triploid,Tetraploid,Haploid
The second maturation division Meiosis II divides a secondary spermatocyte into...,Two primary spermatocytes,Two spermatids,Four spermatogonia,Spermatozoa,Two spermatids
Meiosis II reduces the quantity of __________ in the chromosomes.,Cytoplasm,Cell organelles,DNA strands,RNA,DNA strands
The change in shape through which spermatids are transformed into mature sperms is called...,Spermatogenesis,Spermiogenesis,Meiosis,Mitosis,Spermiogenesis
During spermiogenesis the nucleus condenses to form most of the...,Tail,Neck,Head,Middle piece,Head
During spermiogenesis the Golgi apparatus forms the...,Axial filament,Mitochondrial sheath,Acrosome,Centriole,Acrosome
During spermiogenesis the mitochondria form a...,Spiral sheath,Acrosomal cap,Axial filament,Nucleus,Spiral sheath
During spermiogenesis the centriole elongates to form the...,Acrosome,Head,Neck,Axial filament,Axial filament
The mature sperm consists of how many main parts?,Two,Three,Four,Five,Four
The part of the sperm that contains the nucleus with haploid chromosomes is the...,Head,Neck,Middle piece,Tail,Head
The acrosomal cap on the sperm head contains...,Mitochondria,Genetic material,Proteolytic enzymes for fertilization,The axial filament,Proteolytic enzymes for fertilization
The neck of the sperm is formed of...,Mitochondria,Centrioles,The nucleus,The acrosome,Centrioles
The middle piece of the sperm is made by...,The nucleus,Spiral mitochondria,The acrosome,The tail,Spiral mitochondria
The motile flagellum of the sperm is the...,Head,Neck,Middle piece,Tail,Tail
An abnormal sperm with two heads and one tail is called...,Giant sperm,Dwarf sperm,Double head,Double tail,Double head
An abnormal sperm with two tails and one head is called...,Giant sperm,Dwarf sperm,Double head,Double tail,Double tail
The volume of seminal fluid is typically...,1-2 ml,3-5 ml,10-15 ml,20-25 ml,3-5 ml
The normal sperm count is...,10-20 million/ml,60-120 million/ml,200-300 million/ml,500-600 million/ml,60-120 million/ml
What percentage of seminal fluid is from the seminal vesicles?,10%,40%,60%,90%,60%
What percentage of seminal fluid is from the prostate?,10%,40%,60%,90%,40%
The sperm constituent makes up __________ of the seminal fluid.,Less than 1%,About 10%,About 40%,About 60%,Less than 1%
A condition where semen contains no sperms is called...,Oligospermia,Azoospermia,Necrospermia,Polyspermia,Azoospermia
A low sperm count less than 10 million/ml is called...,Oligospermia,Azoospermia,Necrospermia,Polyspermia,Oligospermia
A condition where semen contains dead sperms is called...,Oligospermia,Azoospermia,Necrospermia,Polyspermia,Necrospermia
The supporting cells inside the seminiferous tubules are the...,Spermatogonia,Leydig cells,Sertoli cells,Spermatids,Sertoli cells
The cells between the seminiferous tubules that secrete testosterone are the...,Spermatogonia,Leydig cells,Sertoli cells,Spermatids,Leydig cells
The process of producing spermatozoa from spermatogonia is called...,Spermiogenesis,Spermatogenesis,Oogenesis,Fertilization,Spermatogenesis
The outermost layer of cells in the seminiferous tubules consists of...,Primary spermatocytes,Secondary spermatocytes,Spermatids,Spermatogonia,Spermatogonia
Primary spermatocytes divide by __________ to form secondary spermatocytes.,Mitosis,Meiosis I,Meiosis II,Spermiogenesis,Meiosis I
Secondary spermatocytes divide by __________ to form spermatids.,Mitosis,Meiosis I,Meiosis II,Spermiogenesis,Meiosis II
Spermatids __________ divide but undergo metamorphosis.,Do,Do not,Sometimes,Always,Do not
The final product of spermatogenesis from one primary spermatocyte is __________ mature sperm.,One,Two,Three,Four,Four
The function of the acrosomal enzymes is to...,Provide energy for motility,Penetrate the egg's coverings during fertilization,Form the tail,Condense the nucleus,Penetrate the egg's coverings during fertilization
The energy for sperm motility is produced in the...,Head,Neck,Middle piece,Tail,Middle piece
Spermatogenesis is a __________ process.,Continuous,Discontinuous,Occurring only once a month,Occurring only before birth,Continuous
The release of sperm from the Sertoli cells into the lumen is called...,Spermiation,Spermiogenesis,Meiosis,Ejaculation,Spermiation
The blood-testis barrier is formed by...,Leydig cells,Sertoli cell tight junctions,Spermatogonia,The epididymis,Sertoli cell tight junctions
The hormone that primarily stimulates spermatogenesis is...,Estrogen,Progesterone,Testosterone,Follicle-stimulating hormone FSH,Follicle-stimulating hormone FSH
The conversion of spermatids to spermatozoa depends on...,High levels of estrogen,High levels of testosterone,Low body temperature,High levels of progesterone,High levels of testosterone
