Question, Option1, Option2, Option3, Option4, Correct Answer
The ovarian cycle involves monthly changes in the ovary from, Menarche to menopause, Birth to death, Puberty to menopause, Fertilization to birth, C
The ovarian cycle is controlled by GnRH from the, Anterior pituitary, Hypothalamus, Ovary, Uterus, B
GnRH acts on the anterior pituitary to secrete, Estrogen and progesterone, FSH and LH, HCG and relaxin, Oxytocin and prolactin, B
The results of the ovarian cycle are production of an ovum and, Uterine lining, Hormones estrogen and progesterone, Sperm, Zygote, B
The follicular phase is under the control of, LH, FSH, Estrogen, Progesterone, B
The follicular phase takes about how many days, 7, 14, 21, 28, B
The follicular phase starts with stimulation of how many primary follicles, 1-5, 5-10, 15-20, 20-25, C
Only one follicle becomes the, Primary follicle, Secondary follicle, Mature Graafian follicle, Atretic follicle, C
The Graafian follicle contains a large cavity called the, Cumulus oophorus, Antrum, Zona pellucida, Corona radiata, B
The antrum is filled with, Blood, Fluid and estrogen, Progesterone, Water, B
The follicular cells in the Graafian follicle are called the, Theca cells, Granulosa cells, Cumulus oophorus, Stromal cells, C
The compressed ovarian cells surrounding the follicle are the, Granulosa cells, Theca cells, Cumulus oophorus, Oocyte, B
Follicular cells secrete, Progesterone, Estrogen, LH, FSH, B
Ovulation is caused by a sharp rise in which hormone, FSH, LH, Estrogen, Progesterone, B
The LH surge occurs before ovulation by about, 12 hours, 24 hours, 36 hours, 48 hours, C
Ovulation occurs about the 14th day of a cycle lasting, 21 days, 28 days, 35 days, 40 days, B
Ovulation involves rupture of the, Primary follicle, Graafian follicle, Corpus luteum, Corpus albicans, B
The structure released at ovulation is the, Primary oocyte, Secondary oocyte, Ovum, Zygote, B
The secondary oocyte is surrounded by the, Theca cells, Zona pellucida and corona radiata, Granulosa cells only, Antrum, B
The corona radiata are remnants of the, Theca cells, Follicular cells, Oocyte, Stromal cells, B
The fimbriae of the fallopian tube, Produce the oocyte, Capture the ovum, Secrete fluid, Cause ovulation, B
A sign of ovulation is a positive result on an, Pregnancy test, Ovulation predictor kit, Blood sugar test, Blood pressure monitor, B
Cervical mucus increases near, Menstruation, Ovulation, Implantation, Menopause, B
Body temperature rises slightly after, Menstruation, Ovulation, Fertilization, Implantation, B
The cervix moves higher just before, Menstruation, Ovulation, Fertilization, Implantation, B
Breast tenderness can occur near, Menarche, Ovulation, Menopause, Birth, B
Some women experience lower abdominal pain during, Menstruation, Ovulation, Implantation, Labor, B
The corpus luteum phase is under the control of, FSH, LH, Estrogen, Progesterone, B
The corpus luteum phase takes about how many days, 7, 14, 21, 28, B
Follicular cells and theca cells acquire yellow pigments to become, Granulosa cells, Luteal cells, Theca lutein cells, Stromal cells, B
Luteal cells secrete, Estrogen only, Progesterone only, Both estrogen and progesterone, FSH and LH, C
If pregnancy does not occur the corpus luteum lives for about, 5 days, 9 days, 14 days, 20 days, B
The regressed corpus luteum forms the, Corpus albicans, New follicle, Graafian follicle, Oocyte, A
If pregnancy occurs the corpus luteum persists until the, 1st month, 2nd month, 3rd month, 4th month, D
The uterine menstrual cycle is controlled by, FSH and LH, Estrogen and progesterone, GnRH only, HCG, B
The menstrual phase lasts, 1-2 days, 3-7 days, 8-12 days, 13-14 days, B
