Question, Option1, Option2, Option3, Option4, Correct Answer
Fertilization is the union of sperm and oocyte to form a, Morula, Blastocyst, Zygote, Embryo, C
The zygote is a totipotent cell meaning it can, Differentiate into any cell type, Only form placenta, Only form one tissue, Not divide, A
Fertilization lasts about, 12 hours, 24 hours, 36 hours, 48 hours, B
The usual site of fertilization is the, Uterine cavity, Ampulla of the uterine tube, Isthmus of the tube, Ovary, B
Fertilization does NOT occur in the, Uterine tube, Uterine cavity, Ampulla, Isthmus, B
Chemical signals from the oocyte attract sperms in a process called, Chemotaxis, Chemokinesis, Diffusion, Osmosis, A
The mature Graafian follicle releases the secondary oocyte with how many coverings, 1, 2, 3, 4, C
The three coverings are the vitelline membrane zona pellucida and, Corona radiata, Cumulus oophorus, Theca cells, Granulosa cells, A
The vitelline membrane is the membrane of the, Zona pellucida, Secondary oocyte, Corona radiata, Follicle, B
The zona pellucida is a coat of, Proteins, Glycoprotein, Lipids, Carbohydrates, B
The corona radiata is the inner layer of the, Theca cells, Cumulus oophorus, Granulosa cells, Stromal cells, B
Sperm maturation and storage occur in the, Testis, Epididymis, Vas deferens, Seminal vesicle, B
Capacitation is a period of conditioning in the, Male reproductive tract, Female reproductive tract, Testis, Ovary, B
Capacitation in humans lasts approximately, 1-2 hours, 3-4 hours, 5-6 hours, 7 hours, D
During capacitation glycoprotein coat and seminal proteins are removed from the, Sperm tail, Sperm head plasma membrane, Sperm mitochondria, Sperm nucleus, B
Only capacitated sperm can pass through the, Zona pellucida, Corona radiata, Vitelline membrane, Uterine wall, B
The acrosome reaction occurs after binding to the, Corona radiata, Zona pellucida, Vitelline membrane, Oocyte membrane, B
The acrosome reaction is induced by, Sperm enzymes, Zona proteins, Oocyte cytoplasm, Follicular fluid, B
The acrosome reaction releases enzymes including, Trypsin and acrosin, Pepsin and rennin, Amylase and lipase, DNAase and RNAase, A
Multiple openings develop in the acrosomal cap to release, Hormones, Enzymes, DNA, Nutrients, B
