Question, Option1, Option2, Option3, Option4, Correct Answer
Implantation is the process of attachment and invasion of the, Myometrium, Endometrium by the blastocyst, Perimetrium, Cervix, B
Implantation begins at the end of the, First week, Second week, Third week, Fourth week, A
Implantation is completed by the day of development, 5th to 7th, 8th to 9th, 10th to 12th, 13th to 15th, C
The normal site of implantation is the, Lower uterine segment, Upper part of posterior uterine wall, Cervical canal, Fallopian tube, B
The zona pellucida must for implantation to occur, Thicken, Degenerate, Form, Harden, B
By the 6th day the blastocyst adheres to the endometrium by its, Abembryonic pole, Embryonic pole, Lateral side, Entire surface, B
By the 7th day the trophoblast differentiates into how many layers, 1, 2, 3, 4, B
The two layers of the trophoblast are, Syncytiotrophoblast and cytotrophoblast, Epiblast and hypoblast, Ectoderm and endoderm, Mesoderm and ectoderm, A
The cytotrophoblast is the inner layer of, Mononucleated cells, Multinucleated cells, Fibroblasts, Glandular cells, A
The syncytiotrophoblast is the outer layer of, Mononucleated cells, Multinucleated mass, Cuboidal cells, Columnar cells, B
The syncytiotrophoblast has finger-like processes that invade the, Blastocyst, Endometrial epithelium and connective tissue, Myometrium, Blood vessels, B
By the end of the first week the blastocyst is embedded in the, Myometrium, Compact layer of the endometrium, Basal layer, Cervix, B
The decidual reaction of the endometrium becomes more marked after, Fertilization, Embedding of the blastocyst, Ovulation, Menstruation, B
After implantation the entry site is closed by a, Blood clot, Fibrin clot, Mucus plug, Cell mass, B
Endometrial healing and epithelial regeneration after implantation, Occur, Do not occur, Are delayed, Cause bleeding, A
The basal layer of the endometrium regenerates the other layers during the, Next cycle, Pregnancy, Implantation, Ovulation, A
Implantation can be detected by ultrasonography and measurement of, Progesterone, Estrogen, HCG, FSH, C
HCG is secreted by the, Cytotrophoblast, Syncytiotrophoblast, Embryoblast, Endometrium, B
Abnormal implantation in the lower uterine segment is called, Ectopic pregnancy, Placenta previa, Abruptio placentae, Placenta accreta, B
Placenta previa centralis means the placenta, Is beside the internal os, Completely covers the internal os, Is near the internal os, Is away from the os, B
Placenta previa marginalis means the placental margin, Is near the internal os, Covers the internal os, Is away from the os, Is on the side, B
Placenta previa lateralis means the placental margin is, Beside the internal os, Covering the os, Near the os, Away from the os, C
Extra-uterine implantation is called, Placenta previa, Ectopic pregnancy, Abortion, Molar pregnancy, B
Tubal pregnancy accounts for what percentage of ectopic pregnancies, 50%, 75%, 85%, 95%, D
Most tubal pregnancies occur in the, Isthmus, Ampulla, Intramural part, Fimbriae, B
The incidence of tubal pregnancy is, 1-5/1000, 10-20/1000, 25-30/1000, 35-40/1000, B
The uterine tube cannot withstand distension and may rupture during the, First month, Second month, Third month, Fourth month, B
Rupture of a tubal pregnancy can cause, Hemorrhage, Infection, Infertility, All of the above, D
Ovarian pregnancy is implantation on the, Fallopian tube, Surface of the ovary, Uterus, Cervix, B
Intestinal pregnancy is implantation on the, Liver, Surface of the intestine, Bladder, Diaphragm, B
The decidua is the endometrium after, Ovulation, Fertilization, Implantation, Menstruation, C
Decidua cells are stroma cells filled with, Glycogen and lipids, Protein and water, DNA and RNA, Hormones, A
The decidua is shed completely at, Ovulation, Fertilization, Childbirth, Implantation, C
The cervix does not form a decidua and is closed by a, Fibrin clot, Mucus plug, Blood clot, Cell layer, B
The decidua basalis is the layer, Over the embryonic pole, Over the abembryonic pole, Lining the uterine cavity, In the cervix, A
The decidua capsularis is the layer, Deep to the blastocyst, Over the abembryonic pole, Between blastocyst and myometrium, Away from the blastocyst, B
The decidua parietalis lines the, Blastocyst, Remaining uterine cavity, Cervical canal, Fallopian tube, B
The decidua basalis lies between the blastocyst and the, Uterine cavity, Myometrium, Cervix, Tube, B
The decidua capsularis lies between the blastocyst and the, Myometrium, Uterine cavity, Cervix, Ovary, B
The decidua is highly vascular and secretory to, Protect the embryo, Nourish the embryo, Expel the embryo, Digest the embryo, B
The decidual reaction involves changes in the, Myometrium, Endometrial stroma, Cervix, Vagina, B
Implantation involves both attachment and, Rejection, Invasion, Expulsion, Digestion, B
The syncytiotrophoblast secretes enzymes to, Nourish the embryo, Invade the endometrium, Form the amnion, Create the yolk sac, B
The cytotrophoblast is mitotically active and forms the, Syncytiotrophoblast, Embryoblast, Decidua, Myometrium, A
The fibrin clot at the implantation site is later, Replaced by epithelium, Shed, Absorbed, Converted to muscle, A
Implantation is a process between the blastocyst and the, Mother, Father, Placenta, Umbilical cord, A
The normal implantation site is near the, Cervix, Fundus, Isthmus, Tube, B
Abnormal implantation can lead to, Normal pregnancy, Complications, Multiple births, Early delivery, B
Detection of HCG is a sign of, Ovulation, Implantation, Menstruation, Fertilization, B
Ultrasonography can visualize the gestational sac after, Fertilization, Implantation, Ovulation, Menstruation, B
The timing of implantation is critical for, Successful pregnancy, Menstruation, Ovulation, Fertilization, A
The blastocyst must hatch from the zona pellucida to, Implant, Divide, Travel, Degenerate, A
The syncytiotrophoblast is involved in, Forming the embryo, Establishing the maternal-fetal interface, Creating the amnion, Forming the yolk sac, B
The cytotrophoblast provides cells for the, Syncytiotrophoblast, Embryo, Decidua, Myometrium, A
The decidua provides a nourishing environment for the, Sperm, Oocyte, Embryo, Ovary, C
The closure of the implantation site prevents, Infection, Bleeding, Both A and B, Neither, C
The regeneration of the endometrium is important for, Future pregnancies, The current pregnancy, Ovulation, Menstruation, A
Implantation marks the beginning of the, Embryonic period, Fetal period, Pre-implantation period, Postnatal period, A
