Question, Option1, Option2, Option3, Option4, Correct Answer
During the third week small cavities appear in the, Trophoblast, Extraembryonic mesoderm, Embryoblast, Decidua, B
These cavities coalesce to form the, Amniotic cavity, Extraembryonic coelom, Yolk sac, Chorionic cavity, B
The extraembryonic coelom splits the extraembryonic mesoderm into, Two layers, Three layers, Four layers, Five layers, A
The outer layer lining the trophoblast is the, Visceral layer, Somatic or parietal layer, Splanc layer, Intermediate layer, B
The inner layer covering the yolk sac is the, Somatic layer, Visceral or splanc layer, Parietal layer, Outer layer, B
The trophoblast and somatic extraembryonic mesoderm form the, Chorionic plate, Amniotic membrane, Yolk sac wall, Embryonic disc, A
The blastocyst is now called the, Morula, Zygote, Chorionic vesicle, Gastrula, C
The wall of the chorionic vesicle is called the, Amnion, Chorion, Yolk sac, Allantois, B
The chorion is composed of how many layers, 1, 2, 3, 4, C
The three layers of the chorion are, Syncytiotrophoblast cytotrophoblast somatic mesoderm, Epiblast hypoblast mesoderm, Ectoderm mesoderm endoderm, Amnion yolk sac allantois, A
Chorionic villi are proliferations of the towards the syncytiotrophoblast, Cytotrophoblast, Embryoblast, Extraembryonic mesoderm, Decidua, A
The villi lying opposite the decidua basalis are called, Chorion laeve, Chorion frondosum, Decidua capsularis, Decidua parietalis, B
The villi in contact with the decidua capsularis are called, Chorion frondosum, Chorion laeve, Decidua basalis, Decidua parietalis, B
Chorion frondosum villi are, Well-developed and branched, Less developed and atrophic, Absent, Solid, A
Chorion laeve villi are, Branched, Atrophic, Highly vascular, Invasive, B
Primary chorionic villi consist of, Cytotrophoblast core covered by syncytium, Mesoderm core covered by trophoblast, Capillaries only, Decidual tissue, A
Primary villi are separated by, Maternal blood, Fetal blood, Amniotic fluid, Yolk, A
Secondary chorionic villi have a core of, Cytotrophoblast, Extraembryonic mesoderm, Syncytiotrophoblast, Embryoblast, B
Secondary villi are covered by, Cytotrophoblast and syncytiotrophoblast, Mesoderm only, Endoderm, Ectoderm, A
Tertiary chorionic villi have in their core, Blood cells and vessels, Nerves, Muscle, Bone, A
Capillaries in tertiary villi connect with the, Maternal circulation, Embryonic circulatory system, Umbilical vein only, Placental arteries only, B
Cytotrophoblast cells penetrate the syncytiotrophoblast to reach the, Embryoblast, Maternal endometrium, Amnion, Yolk sac, B
Cytotrophoblast cells form a thin outer, Cytotrophoblast shell, Syncytial layer, Mesodermal layer, Decidual layer, A
The cytotrophoblast shell attaches the chorionic sac to the, Embryo, Maternal endometrial tissue, Amnion, Yolk sac, B
Stem or anchoring villi extend from the chorionic plate to the, Decidual plate, Embryonic disc, Amnion, Yolk sac, A
Free terminal villi branch from the villi, Stem, Anchoring, Primary, Secondary, A
Exchange of nutrients occurs through the, Stem villi, Free villi, Cytotrophoblast shell, Decidua, B
The chorionic cavity becomes by the 19th or 20th day, Smaller, Larger, Obliterated, Solid, B
The embryo is attached to the trophoblastic shell by the, Amnion, Connecting stalk, Yolk sac, Allantois, B
The connecting stalk later forms the, Placenta, Umbilical cord, Yolk sac, Amnion, B
The extraembryonic coelom is also known as the, Amniotic cavity, Chorionic cavity, Yolk sac cavity, Allantoic cavity, B
The somatic layer of extraembryonic mesoderm covers the, Yolk sac, Amniotic cavity, Trophoblast, Embryo, B
The visceral layer of extraembryonic mesoderm covers the, Amniotic cavity, Yolk sac, Trophoblast, Decidua, B
The chorionic plate is formed by the trophoblast and, Somatic mesoderm, Visceral mesoderm, Embryoblast, Hypoblast, A
The chorionic vesicle is surrounded by, Decidua, The chorion, Amnion, Yolk sac, B
The development of chorionic villi increases the for exchange, Surface area, Volume, Weight, Density, A
The lacunae are the precursors of the, Amniotic cavity, Intervillous spaces, Yolk sac, Allantois, B
Maternal blood flows into the, Villi, Intervillous spaces, Amniotic cavity, Yolk sac, B
The fetal blood is separated from maternal blood by the, Placental barrier, Umbilical cord, Amnion, Yolk sac, A
The placental barrier initially has how many layers, 1, 2, 3, 4, D
The layers are syncytiotrophoblast cytotrophoblast mesoderm and, Decidua, Fetal capillary endothelium, Maternal epithelium, Amnion, B
After the 4th month the barrier has only layers, 1, 2, 3, 4, B
The two layers after the 4th month are syncytiotrophoblast and, Cytotrophoblast, Fetal capillary endothelium, Mesoderm, Decidua, B
The chorionic villi are essential for, Fetal nutrition and gas exchange, Fetal movement, Maternal hormone production, Umbilical cord development, A
The cytotrophoblast shell prevents, Excessive invasion, Villi formation, Embryo development, Amnion expansion, A
The anchoring villi provide, Fixation of the placenta, Nutrient exchange, Blood production, Hormone secretion, A
The free villi are the main site of, Attachment, Metabolic exchange, Neural development, Heart formation, B
The tertiary villi contain fetal, Blood vessels, Nerves, Muscle cells, Bone cells, A
The connection between fetal and maternal circulations is, Direct, Indirect via the placenta, Through the amnion, Through the yolk sac, B
The chorion develops from the, Embryoblast, Trophoblast, Hypoblast, Epiblast, B
The amnion and yolk sac are by the extraembryonic coelom, Separated, Fused, Attached, Invaded, A
The extraembryonic coelom eventually is, Enlarged, Obliterated, Filled with blood, Converted to bone, B
The chorionic villi development is a key event in, Placentation, Gastrulation, Neurulation, Fertilization, A
The type of placenta in humans is, Hemochorial, Epitheliochorial, Endotheliochorial, Syndesmochorial, A
In a hemochorial placenta the chorionic villi are bathed in, Maternal blood, Fetal blood, Amniotic fluid, Yolk, A
The chorion is the fetal part of the, Placenta, Umbilical cord, Amnion, Yolk sac, A
The decidua basalis is the maternal part of the, Placenta, Umbilical cord, Amnion, Chorion, A
The interaction between chorion and decidua forms the, Functional placenta, Embryo, Yolk sac, Allantois, A
