Question,Option1,Option2,Option3,Option4,Correct Answer
The ectoderm is the __________ germ layer.,Outermost,Innermost,Middle,None of the above,Outermost
Structures that react with the external environment are primarily derived from...,Mesoderm,Endoderm,Ectoderm,All germ layers,Ectoderm
The epidermis of the skin is derived from __________ ectoderm.,Surface,Neuroectoderm,Neural crest,All of the above,Surface
Skin appendages such as hair and nails are derived from...,Mesoderm,Endoderm,Surface ectoderm,Neural crest,Surface ectoderm
Sweat and sebaceous glands are derived from...,Mesoderm,Endoderm,Surface ectoderm,Neural crest,Surface ectoderm
The lower half of the anal canal is derived from...,Endoderm,Surface ectoderm,Mesoderm,Neural crest,Surface ectoderm
The mouth vestibule and parotid gland are derived from...,Endoderm,Surface ectoderm,Mesoderm,Neural crest,Surface ectoderm
The external and internal ears are derived from...,Endoderm,Surface ectoderm,Mesoderm,Neural crest,Surface ectoderm
The cornea and conjunctiva of the eye are derived from...,Endoderm,Surface ectoderm,Mesoderm,Neural crest,Surface ectoderm
The lens of the eye is derived from...,Endoderm,Surface ectoderm,Mesoderm,Neural crest,Surface ectoderm
The muscles of the iris are derived from...,Endoderm,Surface ectoderm,Mesoderm,Neural crest,Surface ectoderm
The retina is derived from...,Endoderm,Surface ectoderm,Neuroectoderm,Neural crest,Neuroectoderm
The neuroectoderm gives rise to the...,Epidermis,Neural tube and neural crest,Lining of the gut,Muscles,Neural tube and neural crest
The neural tube gives rise to the...,Brain and spinal cord,Peripheral nerves,Skin,Gut lining,Brain and spinal cord
The neural crest gives rise to...,The central nervous system,The epidermis,Connective tissue and bones of the face and skull,The liver,Connective tissue and bones of the face and skull
Cranial nerve ganglia are derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
C-cells of the thyroid gland are derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
The conotruncal septum in the heart is derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
Odontoblasts cells that form dentin are derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
Dermis in the face and neck is derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
Spinal dorsal root ganglia are derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
The sympathetic chain and preaortic ganglia are derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
Parasympathetic ganglia of the gastrointestinal tract are derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
The adrenal medulla is derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
Schwann cells are derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
Glial cells are derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
The arachnoid and pia mater leptomeninges are derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
Melanocytes are derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
The central nervous system brain and spinal cord is derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural tube
The peripheral nervous system neurons are derived from the...,Neural tube only,Neural crest only,Both neural tube and crest,Surface ectoderm,Both neural tube and crest
The sensory neurons of the PNS are derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
The autonomic neurons of the PNS are derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
The enteric nervous system of the gut is derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural crest
Which structure is NOT derived from surface ectoderm?,Epidermis,Sweat glands,Lens of the eye,Adrenal medulla,Adrenal medulla
Which structure is NOT derived from neuroectoderm neural tube?,Brain,Spinal cord,Retina,Sympathetic ganglia,Sympathetic ganglia
Which structure is NOT derived from neural crest?,Cranial nerve ganglia,Schwann cells,Arachnoid mater,Cerebral cortex,Cerebral cortex
The enamel of teeth is derived from...,Surface ectoderm,Neural crest,Mesoderm,Endoderm,Surface ectoderm
The dentin of teeth is derived from...,Surface ectoderm,Neural crest,Mesoderm,Endoderm,Neural crest
The pulp of teeth is derived from...,Surface ectoderm,Neural crest,Mesoderm,Endoderm,Mesoderm
The anterior lobe of the pituitary gland is derived from...,Surface ectoderm Rathke's pouch,Neuroectoderm,Neural crest,Mesoderm,Surface ectoderm Rathke's pouch
The posterior lobe of the pituitary gland is derived from...,Surface ectoderm,Neuroectoderm,Neural crest,Mesoderm,Neuroectoderm
The entire nervous system is derived from...,Surface ectoderm,Neuroectoderm,Neural crest,Mesoderm,Neuroectoderm
Neural crest cells are unique because they...,Remain in the neural tube,Form only the brain,Migrate extensively and form diverse structures,Form only connective tissue,Migrate extensively and form diverse structures
A defect in neural crest cell migration could affect...,Bone formation in the face,Heart septation,Pigmentation,All of the above,All of the above
Microcephaly could result from a problem with the...,Surface ectoderm,Neural tube,Neural crest,Mesoderm,Neural tube
Hirschsprung's disease is associated with defective __________ crest development.,Cranial,Cardiac,Truncal,Vagal neural,Vagal neural
Neurofibromatosis is a disorder affecting tissues derived from the...,Surface ectoderm,Neural tube,Neural crest,Mesoderm,Neural crest
The autonomic nervous system is derived from the...,Neural tube,Neural crest,Surface ectoderm,Both A and B,Both A and B
The somatic motor neurons are derived from the...,Neural tube,Neural crest,Surface ectoderm,Mesoderm,Neural tube
The lining of the anterior part of the oral cavity is from __________ ectoderm.,Surface,Neural,Neural crest,Mesoderm,Surface
The lining of the posterior part of the oral cavity is from __________.,Surface ectoderm,Endoderm,Neural crest,Mesoderm,Endoderm
