Question,Option1,Option2,Option3,Option4,Correct Answer
The intraembryonic mesoderm IEM is derived from the...,Hypoblast,Epiblast via the primitive streak,Trophoblast,Amnioblast,Epiblast via the primitive streak
The IEM is absent at the site of the...,Neural tube,Heart,Oropharyngeal membrane,Somites,Oropharyngeal membrane
The IEM is absent in the midline occupied by the...,Somites,Notochord primitive node and streak,Heart,Lungs,Notochord primitive node and streak
The IEM is absent at the site of the...,Neural tube,Cloacal membrane,Amnion,Yolk sac,Cloacal membrane
The IEM migrates between the...,Ectoderm and endoderm,Epiblast and hypoblast,Amnion and yolk sac,Trophoblast and embryoblast,Ectoderm and endoderm
The IEM forms an inverted __________-shaped structure.,U,V,T,L,U
Some IEM cells migrate cranial to the prechordal plate to form the...,Liver,Lungs,Heart cardiogenic area,Brain,Heart cardiogenic area
Some IEM cells migrate anterior to the cardiogenic area to form the...,Limbs,Septum transversum future diaphragm,Kidneys,Gonads,Septum transversum future diaphragm
The paraxial mesoderm is located...,Lateral to the intermediate mesoderm,Medial to the intermediate mesoderm,Medial to the notochord,Lateral to the lateral plate,Medial to the intermediate mesoderm
The paraxial mesoderm becomes segmented into...,Somites,Neural tube,Notochord,Heart,Somites
The first pair of somites appears around day...,14,18,20,25,20
By the end of the 5th week there are __________ pairs of somites.,20-25,30-35,42-44,50-55,42-44
How many occipital somites are there?,2,4,6,8,4
How many cervical somites are there?,5,7,8,12,8
How many thoracic somites are there?,5,7,12,13,12
How many lumbar somites are there?,3,5,6,7,5
How many sacral somites are there?,3,5,6,8,5
How many coccygeal somites are there?,1-2,3-4,5-6,8-10,8-10
The 1st occipital somite...,Forms the tongue muscles,Forms the occipital bone,Disappears,Forms the vertebrae,Disappears
The 2nd 3rd and 4th occipital somites form most of the...,Face,Occipital bone of the skull,Thoracic vertebrae,Limbs,Occipital bone of the skull
The 2nd 3rd and 4th occipital myotomes form muscles of the...,Face,Neck,Tongue,Back,Tongue
Each somite differentiates into a...,Sclerotome and myotome,Sclerotome myotome and dermatome,Myotome and dermatome only,Sclerotome only,Sclerotome myotome and dermatome
The sclerotome gives rise to...,Skin,Skeletal muscle,Vertebrae and ribs,The dermis,Vertebrae and ribs
The myotome gives rise to...,Skin,Skeletal muscle,Vertebrae,The dermis,Skeletal muscle
The dermatome gives rise to the...,Epidermis,Dermis of the skin,Muscles,Bones,Dermis of the skin
The intermediate cell mass mesoderm is also called the...,Paraxial mesoderm,Lateral plate mesoderm,Nephrogenic cord,Cardiogenic area,Nephrogenic cord
The intermediate mesoderm gives rise to most of the...,Nervous system,Genitourinary system,Digestive system,Respiratory system,Genitourinary system
The lateral plate mesoderm splits into two layers by the formation of the...,Amniotic cavity,Yolk sac,Intraembryonic coelom,Chorionic cavity,Intraembryonic coelom
The intraembryonic coelom has a __________ shape.,Round,Square,Inverted horseshoe,Linear,Inverted horseshoe
The intraembryonic coelom gives rise to the...,Cranial cavity,Spinal canal,Pericardial pleural and peritoneal cavities,All body cavities,Pericardial pleural and peritoneal cavities
The somatic parietal layer of lateral plate mesoderm is called...,Splanchnopleure,Somatopleure,Myotome,Dermatome,Somatopleure
The somatopleure forms the...,Lining of the gut,Dermis of the ventrolateral trunk and limbs,Connective tissue of viscera,Smooth muscle,Dermis of the ventrolateral trunk and limbs
The somatopleure forms the entire __________ skeleton.,Axial,Appendicular,Cranial,Facial,Appendibular
The splanchnic visceral layer of lateral plate mesoderm is called...,Somatopleure,Splanchnopleure,Myotome,Sclerotome,Splanchnopleure
The splanchnopleure forms...,The dermis of the limbs,Connective tissue smooth muscle and vessels of viscera,Skeletal muscle,Bones,Connective tissue smooth muscle and vessels of viscera
The heart is derived from...,Neuroectoderm,Splanchnic mesoderm,Surface ectoderm,Endoderm,Splanchnic mesoderm
The kidneys are derived from the...,Paraxial mesoderm,Intermediate mesoderm,Lateral plate mesoderm,Surface ectoderm,Intermediate mesoderm
The adrenal cortex is derived from...,Ectoderm,Mesoderm,Endoderm,Neural crest,Mesoderm
The spleen is derived from...,Ectoderm,Mesoderm,Endoderm,Neural crest,Mesoderm
The cardiovascular system heart and blood vessels is derived from...,Ectoderm,Mesoderm,Endoderm,Neural crest,Mesoderm
The lymphatic system is derived from...,Ectoderm,Mesoderm,Endoderm,Neural crest,Mesoderm
The serous membranes of body cavities are derived from...,Ectoderm,Mesoderm,Endoderm,Neural crest,Mesoderm
The connective tissue cartilage and bone are derived from...,Ectoderm,Mesoderm,Endoderm,Neural crest,Mesoderm
The extraembryonic mesoderm arises from the...,Epiblast,Hypoblast,Trophoblast,Amnioblast,Hypoblast
The extraembryonic mesoderm surrounds the...,Embryo only,Amnion and yolk sac,Trophoblast only,Placenta only,Amnion and yolk sac
The diaphragm is derived from the...,Septum transversum,Neural crest,Somites,Intermediate mesoderm,Septum transversum
The dermis of the back is derived from the...,Surface ectoderm,Dermatomes of somites,Splanchnic mesoderm,Neural crest,Dermatomes of somites
The limb bones are derived from the...,Somatopleure,Splanchnopleure,Intermediate mesoderm,Paraxial mesoderm,Somatopleure
The smooth muscle of the gut is derived from the...,Somatopleure,Splanchnople
