Question, Option1, Option2, Option3, Option4, Correct Answer
At the end of the 4th week the embryo has approximately how many somites, 10, 20, 30, 40, C
The main external features in the 4th week are the somites and, Limb buds, Pharyngeal arches, Eyes, Ears, B
The age of the embryo is often expressed in, Weight, Somites, Length, Volume, B
During the second month counting somites becomes difficult so is used instead, Weight, Crown-rump length, Head circumference, Foot length, B
Crown-rump length is measured from the vertex of the skull to the, Top of the head, Midpoint between the apices of the buttocks, Tip of the toes, End of the spine, B
By the end of the 2nd month all vital organs are, Fully functional, Formed, Degenerated, Absent, B
The head is large and forms about half of the, Body weight, Body length, Body volume, Body surface, B
The eyes ears and nose are developing during the, First month, Second month, Third month, Fourth month, B
The neck region is established during the, First month, Second month, Third month, Fourth month, B
Physiological hernia is present in the proximal part of the, Head, Umbilical cord, Limb buds, Tail, B
Physiological hernia occurs due to rapid growth of the, Heart, Intestine, Liver, Lungs, B
Physiological hernia bulges through the umbilical ring by the, 4th week, 6th week, 8th week, 10th week, B
The physiological hernia is reduced by the, 8th week, 10th week, 12th week, 14th week, B
The heart is formed with its septa and valves and is, Beating rhythmically, Still developing, Not functioning, Absent, A
External genitalia are present but sex is not distinguishable by, Naked eye, Ultrasound, MRI, X-ray, B
The primitive tail is, Growing, Regressing, Absent, Functional, B
The placenta is fully developed by the, First month, Second month, Third month, Fourth month, B
The length of the embryo at the end of the 2nd month is about, 10 mm, 25 mm, 50 mm, 75 mm, B
The weight of the embryo at the end of the 2nd month is less than, 1 gm, 5 gm, 10 gm, 20 gm, C
The upper limb has segments: shoulder elbow and, Wrist, Ankle, Knee, Hip, A
The lower limb has segments: hip knee and, Elbow, Wrist, Ankle, Shoulder, C
Five digital rays form for the, Ears, Eyes, Fingers, Toes, C
Primary ossification centers for limbs appear by the, Sixth week, Seventh week, Eighth week, Ninth week, C
The face becomes more human-looking during the, First month, Second month, Third month, Fourth month, B
The eyes initially directed laterally move to the aspect, Dorsal, Ventral, Lateral, Caudal, B
The ears come to lie close to their definitive position at the side of the, Neck, Head, Chest, Abdomen, B
Primary ossification centers are present in the long bones and skull by the, 8th week, 10th week, 12th week, 14th week, C
External genitalia are developed and could be determined by ultrasound during the, First month, Second month, Third month, Fourth month, C
The midgut loops withdraw into the abdominal cavity by the, 8th week, 10th week, 12th week, 14th week, B
The crown-rump length during the fetal period is used to estimate, Weight, Age, Sex, Health, B
At 3 months the CRL is about, 5 cm, 10 cm, 15 cm, 20 cm, A
At 4 months the CRL is about, 5 cm, 10 cm, 15 cm, 20 cm, B
At 5 months the CRL is about, 10 cm, 15 cm, 20 cm, 25 cm, B
At 6 months the CRL is about, 15 cm, 20 cm, 25 cm, 30 cm, B
At 7 months the CRL is about, 20 cm, 25 cm, 30 cm, 35 cm, B
At 8 months the CRL is about, 25 cm, 30 cm, 33 cm, 36 cm, B
At 9 months the CRL is about, 30 cm, 33 cm, 36 cm, 39 cm, B
At full term the CRL is about, 33 cm, 36 cm, 39 cm, 42 cm, B
The weight at 3 months is about, 50 gm, 100 gm, 150 gm, 200 gm, A
The weight at 4 months is about, 50 gm, 100 gm, 150 gm, 200 gm, B
The weight at 5 months is about, 150 gm, 250 gm, 350 gm, 450 gm, B
The weight at 6 months is about, 250 gm, 500 gm, 750 gm, 1000 gm, B
The weight at 7 months is about, 500 gm, 1000 gm, 1500 gm, 2000 gm, B
The weight at 8 months is about, 1000 gm, 1500 gm, 2000 gm, 2500 gm, B
The weight at 9 months is about, 1500 gm, 2000 gm, 2500 gm, 3000 gm, C
The weight at full term is about, 2500-3000 gm, 3000-3500 gm, 3500-4000 gm, 4000-4500 gm, B
Lanugo hairs are fine soft unpigmented hairs covering the skin between, 3-5 months, 5-7 months, 7-9 months, 9-10 months, B
Vernix caseosa is a fatty secretion that protects the fetus from, Infection, Amniotic fluid maceration, UV radiation, Dehydration, B
Vernix caseosa is described as, Watery, Whitish like toothpaste, Greenish, Bloody, B
At birth the crown-heel length is about, 36 cm, 40 cm, 45 cm, 50 cm, D
At birth the testes should be in the, Abdomen, Inguinal canal, Scrotum, Bladder, C
Sexual characteristics are pronounced at, Birth, 2 months, 6 months, 1 year, A
The embryonic period ends at the, 4th week, 8th week, 12th week, 16th week, B
The fetal period begins at the, 8th week, 12th week, 16th week, 20th week, A
The second month is crucial for, Implantation, Organogenesis, Fertilization, Cleavage, B
The embryo is most vulnerable to teratogens during the, First month, Second month, Third month, Fourth month, B
The head size is large due to rapid development of the, Heart, Brain, Liver, Kidneys, B
The limb buds appear as paddles by the, 4th week, 5th week, 6th week, 7th week, B
The fingers and toes are separated by the, 6th week, 7th week, 8th week, 9th week, C
The face becomes recognizably human by the, End of the first month, End of the second month, End of the third month, End of the fourth month, B
The external ear is formed by the, 4th week, 6th week, 8th week, 10th week, C
The eyes are closed until the, 6th month, 7th month, 8th month, 9th month, B
The neck is clearly defined by the, 4th week, 6th week, 8th week, 10th week, C
The body becomes more proportional during the, Fetal period, Embryonic period, Pre-implantation period, Postnatal period, A
