Question, Option1, Option2, Option3, Option4, Correct Answer
The fetal period is from the 3rd month till, Implantation, Birth, Fertilization, Puberty, B
The fetal period is characterized by maturation of organs and, Rapid growth, Organ formation, Cleavage, Gastrulation, A
Growth in length is more rapid during the 3rd 4th and, 5th months, 6th months, 7th months, 8th months, A
Increase in fetal weight occurs mainly during the, First two months, Last two months, Middle months, Entire period, B
During the third month the face becomes more, Animal-like, Human-looking, Distorted, Asymmetrical, B
The eyes move to the ventral aspect of the, Head, Face, Chest, Abdomen, B
The ears come to lie at the side of the, Neck, Head, Shoulders, Chest, B
Primary ossification centers are present in the long bones and skull by the, 8th week, 10th week, 12th week, 14th week, C
External genitalia can be determined by ultrasound during the, First month, Second month, Third month, Fourth month, C
The midgut loops withdraw into the abdominal cavity by the, 10th week, 12th week, 14th week, 16th week, B
During the 4th and 5th months the CRL is about, 5 cm, 10 cm, 15 cm, 20 cm, C
The weight at the end of the 5th month is less than, 250 gm, 500 gm, 750 gm, 1000 gm, B
Fetal movements can be felt by the mother during the, 3rd month, 4th-5th months, 6th month, 7th month, B
The CRL at 6 months is about, 15 cm, 20 cm, 25 cm, 30 cm, B
The weight at 6 months is about, 500 gm, 1000 gm, 1500 gm, 2000 gm, A
The CRL at 7 months is about, 20 cm, 25 cm, 30 cm, 35 cm, B
The weight at 7 months is about, 500 gm, 1000 gm, 1500 gm, 2000 gm, B
The CRL at 8 months is about, 25 cm, 30 cm, 33 cm, 36 cm, B
The weight at 8 months is about, 1000 gm, 1500 gm, 2000 gm, 2500 gm, B
The CRL at 9 months is about, 30 cm, 33 cm, 36 cm, 39 cm, B
The weight at 9 months is about, 1500 gm, 2000 gm, 2500 gm, 3000 gm, C
The CRL at full term is about, 33 cm, 36 cm, 39 cm, 42 cm, B
The weight at full term is, 2500-3000 gm, 3000-3500 gm, 3500-4000 gm, 4000-4500 gm, B
Weight increase in the last two months is due to deposition of, Muscle, Bone, Subcutaneous fat, Water, C
Lanugo hairs are fine soft unpigmented hairs covering the skin between, 3-5 months, 5-7 months, 7-9 months, 9-10 months, B
Lanugo hairs sometimes persist until, Implantation, Birth, Puberty, Adulthood, B
Vernix caseosa is a fatty secretion from sebaceous glands and, Sweat glands, Desquamated epidermis, Amniotic fluid, Blood, B
Vernix caseosa protects the fetus from, Infection, Macerating effect of amniotic fluid, UV light, Cold, B
At birth the crown-heel length is about, 36 cm, 40 cm, 45 cm, 50 cm, D
At birth the testes should be in the, Abdomen, Inguinal canal, Scrotum, Bladder, C
Sexual characteristics are pronounced at, Birth, 1 month, 6 months, 1 year, A
The fetal period is a time of, Organ formation, Growth and maturation, Cleavage, Gastrulation, B
The brain undergoes rapid growth during the, Fetal period, Embryonic period, Pre-implantation period, Postnatal period, A
The lungs mature during the, Early fetal period, Late fetal period, Embryonic period, Pre-implantation period, B
Surfactant production in the lungs begins around, 20 weeks, 24 weeks, 28 weeks, 32 weeks, B
A fetus born before 28 weeks has a, High chance of survival, Low chance of survival, Normal development, No lung function, B
The fetal kidneys produce urine starting around, 8 weeks, 12 weeks, 16 weeks, 20 weeks, B
The fetal urine contributes to the, Blood, Amniotic fluid, Vernix, Lanugo, B
The fetal liver is active in, Digestion, Hematopoiesis, Respiration, Neural function, B
The fetal heart beats at a rate of, 60-80 bpm, 100-120 bpm, 120-160 bpm, 160-200 bpm, C
Fetal breathing movements occur during, Wakefulness only, Sleep only, Both wakefulness and sleep, Never, C
The fetal period is less vulnerable to teratogens except for, The brain, The heart, The limbs, The skin, A
Alcohol exposure during the fetal period can cause, Limb defects, Brain damage, Heart defects, Kidney defects, B
Smoking during pregnancy can lead to, Low birth weight, High birth weight, No effect, Improved lung function, A
The average duration of human pregnancy is, 36 weeks, 38 weeks, 40 weeks, 42 weeks, C
Preterm birth is defined as birth before, 32 weeks, 34 weeks, 36 weeks, 38 weeks, C
Post-term pregnancy is after, 38 weeks, 40 weeks, 42 weeks, 44 weeks, C
The fetal position at birth is usually, Breech, Transverse, Cephalic, Oblique, C
The fetal membranes rupture during, Implantation, Labor, Fertilization, Cleavage, B
The umbilical cord is clamped after, Fertilization, Birth, Implantation, Gastrulation, B
The first breath is taken after, Birth, Fertilization, Implantation, Gastrulation, A
The fetal circulation changes after birth to, Adult circulation, Embryonic circulation, Placental circulation, Pulmonary circulation, A
The foramen ovale closes after, Fertilization, Birth, Implantation, Gastrulation, B
The ductus arteriosus closes after, Implantation, Birth, Fertilization, Gastrulation, B
The umbilical vessels constrict after, Fertilization, Birth, Implantation, Gastrulation, B
The fetal period ends with, Implantation, Birth, Fertilization, Gastrulation, B
