Question,Option1,Option2,Option3,Option4,Correct Answer
The fetal period extends from the __________ week until birth.,4th,8th,12th,16th,8th
The fetal period is characterized by __________ of organs.,Formation,Maturation and growth,Regression,Disappearance,Maturation and growth
Rapid growth in length is most prominent during the __________ months.,3rd 4th 5th,6th 7th,8th 9th,Last two,3rd 4th 5th
Rapid increase in weight occurs primarily during the __________ months.,First two,Last two,Middle two,3rd 4th 5th,Last two
During the third month the face becomes more...,Animal-like,Human-looking,Distorted,Asymmetrical,Human-looking
The eyes initially directed laterally move to the __________ aspect of the face.,Dorsal,Ventral,Lateral,Posterior,Ventral
The ears come to lie close to their definitive position at the __________ of the head.,Top,Side,Front,Back,Side
Primary ossification centers are present in the long bones and skull by the __________ week.,8th,12th,16th,20th,12th
External genitalia are developed and the sex can be determined by ultrasound by the __________ week.,8th,12th,16th,20th,12th
The midgut loops withdraw into the abdominal cavity reducing the physiological hernia by the __________ week.,6th,8th,10th,12th,12th
During the 4th and 5th months the Crown-Rump Length CRL is about...,5 cm,10 cm,15 cm,20 cm,15 cm
The weight of the fetus by the end of the 5th month is less than...,100 gm,250 gm,500 gm,1000 gm,500 gm
Fetal movements can first be felt by the mother quickening around the __________ month.,3rd,4th-5th,6th,7th,4th-5th
Lanugo hairs are...,Coarse pigmented hairs,Fine soft unpigmented downy hairs,Only on the head,Not present in fetuses,Fine soft unpigmented downy hairs
Lanugo hairs cover the fetal skin between __________ months.,1-3,3-5,5-7,7-9,5-7
Vernix caseosa is a...,Fatty secretion from sebaceous glands,Product of the liver,A waste product from the kidneys,Type of lanugo hair,Fatty secretion from sebaceous glands
Vernix caseosa protects the fetal skin from...,Dehydration,The macerating effect of amniotic fluid,Infection,UV radiation,The macerating effect of amniotic fluid
At full term the average fetal weight is...,1-1.5 kg,2-2.5 kg,3-3.5 kg,4-4.5 kg,3-3.5 kg
The Crown-Rump Length CRL at birth is about...,25 cm,36 cm,50 cm,60 cm,36 cm
The Crown-Heel Length CHL at birth is about...,36 cm,50 cm,60 cm,70 cm,50 cm
At birth the testes should be in the...,Abdominal cavity,Inguinal canal,Scrotum,Bladder,Scrotum
By the 6th month the fetus has a...,Wrinkled red skin,Smooth pink skin,Thick layer of fat,Full head of hair,Wrinkled red skin
Subcutaneous fat deposition is most significant during the __________ months.,First two,Middle two,Last two,3rd and 4th,Last two
The fetal heartbeat can be detected by Doppler ultrasound around the __________ week.,8th,12th,16th,20th,12th
The lungs begin to produce surfactant around the __________ week.,20th,24th,28th,32nd,24th
A fetus born at 24 weeks has a __________ chance of survival with intensive care.,Low but possible,Very high,No,Guaranteed,Low but possible
By the 7th month the fetus can...,See and hear,Breathe air effectively,Regulate its body temperature,Survive without medical intervention,See and hear
A fetus born at 28 weeks has a __________ chance of survival compared to 24 weeks.,Lower,Higher,Same,Zero,Higher
The nervous system is developed enough for the fetus to exhibit sleep-wake cycles by the __________ month.,5th,6th,7th,8th,7th
The fetal kidneys produce urine by the __________ month.,3rd,4th,5th,6th,3rd
The fetus swallows amniotic fluid and produces meconium by the __________ month.,3rd,4th,5th,6th,4th
Meconium is the...,First stool of the newborn,Substance in vernix,Type of lanugo,Part of the placenta,First stool of the newborn
The fetal period is a time of relative __________ to teratogens.,High susceptibility,Low susceptibility,No susceptibility,Variable susceptibility,Low susceptibility
The most critical period for structural defects is the __________ period.,Fetal,Embryonic,Germinal,Neonatal,Embryonic
By the end of the 9th month the average fetal weight is about...,1.5 kg,2.5 kg,3.5 kg,4.5 kg,2.5 kg
The fetal head engages in the maternal pelvis during the __________ month.,7th,8th,9th,10th,9th
The fetal circulatory system has special structures like the ductus arteriosus and foramen ovale that close...,During fetal life,At birth,During childhood,In adulthood,At birth
The fetal hemoglobin has a __________ affinity for oxygen than adult hemoglobin.,Lower,Higher,Same,Variable,Higher
By the 32nd week the fetus is usually in a __________ position.,Breech,Transverse,Cephalic vertex,Variable,Cephalic vertex
The amount of lanugo hair __________ toward the end of pregnancy.,Increases,Decreases,Stays the same,Disappears completely,Decreases
The vernix caseosa is __________ in preterm infants.,Thicker,Thinner,Absent,The same,Thinner
The eyes of the fetus are open by the __________ month.,5th,6th,7th,8th,7th
Fingernails and toenails reach the tips of the digits by the __________ month.,7th,8th,9th,10th,9th
The sucking reflex is present by the __________ month.,5th,6th,7th,8th,7th
The fetus can respond to sound by the __________ month.,5th,6th,7th,8th,6th
The average length of a full-term pregnancy is __________ weeks.,36,38,40,42,40
The fetal period is crucial for functional maturation of the...,Heart,Lungs and brain,Limbs,Digestive system,Lungs and brain
The greatest weight gain approximately 500g per week occurs during the last __________ weeks.,2,4,6,8,4
The skin becomes less wrinkled as __________ is deposited.,Muscle,Bone,Fat,Cartilage,Fat
By full term the fetal circulation is prepared for the transition to...,Placental dependency,Extrauterine life,Amniotic fluid breathing,New diet,Extrauterine life
