Question, Option1, Option2, Option3, Option4, Correct Answer
The umbilical cord is a soft tortuous cord connecting the, Mother to placenta, Fetus to placenta, Fetus to mother, Placenta to uterus, B
The function of the umbilical cord is to allow blood circulation between, Mother and uterus, Fetus and placenta, Mother and fetus, Placenta and uterus, B
The umbilical cord allows free, Fetal movement, Maternal movement, Placental movement, Uterine movement, A
The connecting stalk is a mass of extraembryonic mesoderm connecting the germ disc to the, Amnion, Trophoblast, Yolk sac, Decidua, B
The connecting stalk forms around day, 9, 13, 17, 21, B
The primitive umbilical ring forms due to, Fertilization, Folding, Implantation, Cleavage, B
The umbilical ring contains the connecting stalk allantois and, Umbilical vessels, Maternal vessels, Amniotic fluid, Yolk, A
The vitello-intestinal duct connects the midgut to the, Amnion, Definitive yolk sac, Chorion, Allantois, B
The definitive umbilical cord is formed by elongation of the primitive cord covered by, Chorion, Amnion, Yolk sac, Decidua, B
The definitive umbilical cord is formed by the, 4th week, 6th week, 8th week, 10th week, C
Mesoderm of the connecting stalk transforms into, Bone, Mucoid connective tissue, Muscle, Nerve, B
The mucoid connective tissue is called, Wharton's jelly, Vernix caseosa, Lanugo, Myometrium, A
The extra-fetal part of the allantois fibroses to form the, Umbilical vein, Median umbilical ligament, Umbilical artery, Urachus, B
The vitello-intestinal duct normally, Persists, Degenerates, Becomes the liver, Forms the stomach, B
In the umbilical cord the right umbilical vein, Persists, Degenerates, Becomes an artery, Forms the liver, B
The persistent umbilical vein is the, Right, Left, Both, Neither, B
The number of umbilical arteries is, One, Two, Three, Four, B
Herniation of the midgut loop occurs between, 4th-6th weeks, 6th-10th weeks, 10th-12th weeks, 12th-14th weeks, B
The length of the full-term umbilical cord is about, 35 cm, 45 cm, 55 cm, 65 cm, C
The diameter of the full-term umbilical cord is, 0.5-1 cm, 1-2 cm, 2-3 cm, 3-4 cm, B
The surface of the umbilical cord is covered by the, Chorion, Amniotic membrane, Yolk sac, Decidua, B
The umbilical cord contains one umbilical vein and how many arteries, One, Two, Three, Four, B
The bulges in the cord are due to highly tortuous, Nerves, Umbilical vessels, Muscles, Connective tissue, B
These bulges form, True knots, False knots, Loops, Coils, B
An abnormally long cord is greater than, 40 cm, 60 cm, 80 cm, 100 cm, D
An abnormally long cord can lead to formation of, False knots, True knots, No knots, Short cord, B
An abnormally long cord can wind around the fetal, Head, Neck, Arm, Leg, B
An abnormally short cord is less than, 20 cm, 30 cm, 40 cm, 50 cm, C
An abnormally short cord can cause premature separation of the, Fetus, Placenta, Amnion, Yolk sac, B
The umbilical cord develops from the, Body stalk, Neural tube, Heart tube, Gut tube, A
The allantois is involved in the development of the, Heart, Urinary bladder, Lungs, Liver, B
The umbilical vessels are derived from the, Mother, Fetus, Placenta, Amnion, B
The umbilical vein carries blood from the placenta to the, Fetus, Mother, Uterus, Amniotic fluid, A
The umbilical arteries carry blood from the fetus to the, Mother, Placenta, Uterus, Amniotic fluid, B
The blood in the umbilical vein is, Deoxygenated, Oxygenated, Mixed, Arterial, B
The blood in the umbilical arteries is, Oxygenated, Deoxygenated, Mixed, Venous, B
Wharton's jelly functions to, Contract the cord, Protect the vessels, Conduct nerves, Absorb fluid, B
The umbilical cord normally inserts into the of the placenta, Center, Margin, Edge, Side, A
Velamentous insertion is when the cord inserts into the, Placenta directly, Membranes away from placenta, Umbilical ring, Yolk sac, B
Battledore insertion is insertion into the, Center, Margin, Membranes, Amnion, B
A single umbilical artery is associated with, Normal development, Congenital anomalies, Twins, Maternal diabetes, B
The umbilical cord is usually attached to the fetal, Head, Abdomen, Chest, Back, B
After birth the umbilical cord is, Clamped and cut, Left attached, Absorbed, Expelled alone, A
The stump of the cord dries and falls off within, 1-2 days, 5-15 days, 20-30 days, 1 month, B
The umbilical cord contains no, Blood vessels, Nerves, Lymphatics, Connective tissue, B
The absence of nerves in the cord means cutting it is, Painful for the baby, Painless for the baby, Painful for the mother, Painless for the mother, B
The umbilical cord can form true knots which may, Always cause problems, Sometimes cause problems, Never cause problems, Improve circulation, B
Nuchal cord is when the cord is around the, Arm, Leg, Neck, Head, C
A nuchal cord occurs in about of births, 5%, 10%, 25%, 50%, C
The umbilical cord develops twists and coils that are, Always abnormal, Usually normal, Rare, Pathological, B
The number of coils in the cord is related to, Fetal sex, Fetal movement, Maternal age, Placental size, B
The umbilical cord is essential for fetal, Nutrition and oxygenation, Movement, Digestion, Respiration, A
The cord length is determined by, Genetics, Fetal activity, Both A and B, Neither, C
Short cord may be associated with, Fetal distress, Improved outcomes, No effect, Better mobility, A
Long cord may be associated with, Compression and knots, Better nutrition, Improved growth, No effect, A
The umbilical cord is part of the, Maternal circulation, Fetal circulation, Both, Neither, B
The cord contains remnants of the, Amnion, Yolk sac and allantois, Chorion, Decidua, B
The umbilical cord is a vital structure during, Pregnancy, Childhood, Adulthood, Old age, A
