Question,Option1,Option2,Option3,Option4,Correct Answer
The amniotic cavity first appears dorsal to the...,Hypoblast,Epiblast,Trophoblast,Embryoblast,Epiblast
The amniotic cavity appears around day...,5,7,9,13,9
At the chorionic vesicle stage the amniotic cavity is surrounded by...,Trophoblast,Extraembryonic mesoderm,Decidua,Syncytiotrophoblast,Extraembryonic mesoderm
After folding the amniotic cavity...,Disappears,Surrounds the entire embryo,Becomes the yolk sac,Shrinks,Surrounds the entire embryo
By the 20th week the amniotic cavity enlarges and obliterates the...,Yolk sac,Chorionic cavity,Placenta,Umbilical cord,Chorionic cavity
Amniotic fluid is a __________ fluid.,Yellow viscous,Clear watery,Cloudy white,Bloody,Clear watery
Early in pregnancy amniotic fluid is derived primarily from...,Fetal urine,Maternal blood,The yolk sac,Fetal lungs,Maternal blood
After the 5th month the main source of amniotic fluid is...,Maternal blood,Fetal urine,The placenta,Amniotic cells,Fetal urine
The volume of amniotic fluid is replaced approximately every...,30 minutes,3 hours,12 hours,24 hours,3 hours
From the 5th month the fetus swallows about __________ of amniotic fluid per day.,100 ml,400 ml,1000 ml,1500 ml,400 ml
Amniotic fluid is absorbed by the...,Fetal lungs,Fetal gut epithelium,Fetal kidneys,Placenta only,Fetal gut epithelium
Excess amniotic fluid is passed through the...,Fetal lungs,Placenta,Fetal skin,Umbilical cord,Placenta
The normal volume of amniotic fluid at term is about...,100 cc,500 cc,1000 cc,2000 cc,1000 cc
A primary function of amniotic fluid is to act as a...,Nutrient source,Hormone producer,Water cushion for protection,Waste storage,Water cushion for protection
Amniotic fluid prevents adherence of the fetus to the...,Placenta,Umbilical cord,Amniotic membrane,Yolk sac,Amniotic membrane
Amniotic fluid helps to keep fetal body temperature...,Constant,Variable,High,Low,Constant
Amniotic fluid allows for free fetal movement important for __________ development.,Neural,Cardiac,Musculo-skeletal,Digestive,Musculo-skeletal
During labor amniotic fluid helps to...,Dilate the cervix,Contract the uterus,Provide energy,Stop bleeding,Dilate the cervix
Polyhydramnios is defined as amniotic fluid volume greater than...,500 cc,1000 cc,1500 cc,2000 cc,2000 cc
Polyhydramnios can be associated with maternal...,Hypertension,Diabetes,Anemia,Asthma,Diabetes
Gastrointestinal defects like esophageal atresia can cause polyhydramnios because the fetus cannot...,Produce urine,Swallow the fluid,Move properly,Absorb nutrients,Swallow the fluid
Oligohydramnios is defined as amniotic fluid volume less than...,200 cc,400 cc,600 cc,800 cc,400 cc
Oligohydramnios may result from...,Fetal diabetes,Fetal polyuria,Renal agenesis,Gastrointestinal obstruction,Renal agenesis
Amniotic band syndrome involves abnormal bands extending from the...,Placenta,Umbilical cord,Amniotic membrane,Yolk sac,Amniotic membrane
Amniotic bands can cause...,Improved growth,Limb amputation or fetal death,Increased fluid,No effect,Limb amputation or fetal death
Premature rupture of the amnion is a common cause of...,Post-term pregnancy,Preterm labor,Increased fetal weight,Polyhydramnios,Preterm labor
Amniocentesis is the aspiration of...,Maternal blood,Fetal blood,Amniotic fluid,Placental tissue,Amniotic fluid
Amniocentesis is used for prenatal diagnosis of...,Fetal heart rate only,Birth defects and genetic disorders,Maternal health only,Placental position only,Birth defects and genetic disorders
During amniocentesis a needle is inserted...,Through the vagina,Trans-abdominally,Into the fetus's heart,Into the umbilical cord,Trans-abdominally
Amniocentesis is typically performed under __________ guidance.,X-ray,Ultrasound,MRI,CT scan,Ultrasound
The amniotic membrane is derived from the...,Hypoblast,Epiblast,Cytotrophoblast,Syncytiotrophoblast,Epiblast
The amnion and chorion fuse to form the...,Placenta,Fetal membranes,Umbilical cord,Yolk sac,Fetal membranes
The amniotic cavity is initially located between the...,Epiblast and trophoblast,Epiblast and hypoblast,Hypoblast and trophoblast,Embryo and yolk sac,Epiblast and hypoblast
Amniotic fluid contains...,Fetal cells,Fecal matter,Blood cells,Bone cells,Fetal cells
The study of amniotic fluid is called...,Amniology,Amniotics,Amnioscopy,Amniocentesis,Amniocentesis
The pH of amniotic fluid is...,Acidic,Alkaline,Neutral,Variable,Alkaline
Meconium in the amniotic fluid indicates...,Fetal distress,Fetal well-being,Polyhydramnios,Oligohydramnios,Fetal distress
Meconium is the...,First fetal stool,Amniotic fluid,Vernix caseosa,Lanugo,First fetal stool
