Question, Option1, Option2, Option3, Option4, Correct Answer
Twins are defined as delivery of more than one baby at the, Same time, Different times, Same month, Different months, A
The incidence of twin delivery is about, 1/20, 1/40, 1/80, 1/100, C
The incidence of triplets is about, 1/100, 1/400, 1/800, 1/1600, C
The incidence of quadruplets is about, 1/800, 1/8000, 1/80000, 1/800000, B
Dizygotic twins are also called, Identical, Fraternal, Monozygotic, Siamese, B
Dizygotic twins result from fertilization of, One ovum by one sperm, Two ova by two sperms, One ovum by two sperms, Two ova by one sperm, B
Dizygotic twins account for about of twin cases, 1/4, 1/3, 2/3, 3/4, C
Dizygotic twins can be of the, Same sex only, Different sexes only, Same or different sexes, No sex, C
Dizygotic twins have genetic features that are, Identical, Different, Similar, Unknown, B
Dizygotic twins have fetal membranes that are, Shared, Separate, Mixed, Absent, B
Monozygotic twins are also called, Fraternal, Identical, Dizygotic, Trizygotic, B
Monozygotic twins result from fertilization of, Two ova, One ovum by one sperm, One ovum by two sperms, Two ova by two sperms, B
Monozygotic twins account for about of twin cases, 1/4, 1/3, 2/3, 3/4, B
Monozygotic twins are always of the, Same sex, Different sexes, Opposite sexes, Unknown sex, A
Monozygotic twins have genetic features that are, Different, Identical, Similar, Variable, B
The fetal membranes in monozygotic twins depend on the of division, Time, Place, Size, Color, A
If division occurs at the two-cell stage each fetus has its own, Chorion and amnion, Placenta only, Amnion only, Yolk sac only, A
Division at the two-cell stage results in membranes like, Dizygotic twins, Monozygotic twins, Triplets, Singletons, A
If division occurs at the blastocyst stage after chorion formation they have, Separate chorions and amnions, Common chorion and separate amnions, Common amnion and separate chorions, Common chorion and amnion, B
Division at the chorionic vesicle stage after embryonic disc formation results in, Separate membranes, Common chorion placenta and amnion, Common amnion only, Common chorion only, B
Incomplete division of the embryonic disc can result in, Dizygotic twins, Conjoined twins, Fraternal twins, Triplets, B
Conjoined twins are classified by their site of such as craniopagus, Division, Fusion, Separation, Implantation, B
Craniopagus twins are joined at the, Head, Chest, Abdomen, Pelvis, A
Thoracopagus twins are joined at the, Head, Chest, Abdomen, Pelvis, B
Pygopagus twins are joined at the, Head, Chest, Abdomen, Buttocks, D
The risk of monozygotic twinning is, Genetic, Sporadic, Environmental, Dietary, B
The risk of dizygotic twinning increases with, Paternal age, Maternal age, Fetal age, Placental age, B
Fertility treatments can increase the incidence of, Monozygotic twins, Dizygotic twins, Conjoined twins, No twins, B
Monozygotic twins have the same DNA but may have different, Fingerprints, Blood type, Eye color, Hair color, A
The placenta in monozygotic twins can be depending on the timing of division, Monochorionic, Dichorionic, Both A and B, Neither, C
Monochorionic twins share the, Amnion, Chorion, Yolk sac, Allantois, B
Dichorionic twins have chorions, One, Two, Three, Four, B
Diamniotic twins have amnions, One, Two, Three, Four, B
Monoamniotic twins share the, Chorion, Amnion, Placenta, Umbilical cord, B
Monoamniotic twins are at risk for, Improved outcomes, Cord entanglement, Better nutrition, Separate placentas, B
Twin-twin transfusion syndrome can occur in twins, Dizygotic, Monochorionic, Dichorionic, Trizygotic, B
In twin-twin transfusion syndrome blood is shunted from one twin to the, Mother, Other twin, Placenta, Amniotic fluid, B
The donor twin in TTTS may become, Anemic, Polycythemic, Larger, Healthier, A
The recipient twin in TTTS may become, Anemic, Polycythemic, Smaller, Weaker, B
Zygosity testing can determine if twins are, Fraternal or identical, Male or female, Old or young, Big or small, A
Ultrasound can detect twins as early as, 4 weeks, 6 weeks, 8 weeks, 10 weeks, B
The position of twins in the uterus can be, Same, Different, Variable, Fixed, C
Twins can be delivered by, Vaginal delivery only, Cesarean only, Both A and B, Neither, C
The rate of preterm birth is higher in, Singleton pregnancies, Twin pregnancies, Triplet pregnancies, Quadruplet pregnancies, B
Twins may have lower birth weights than singletons due to, Shared nutrients, Better nutrition, Larger placenta, More space, A
Concordance for genetic diseases is higher in twins, Dizygotic, Monozygotic, Fraternal, Trizygotic, B
The study of twins is important for understanding the influence of, Genetics and environment, Placenta only, Umbilical cord, Amniotic fluid, A
Twins can be diagnosed prenatally by, Amniocentesis only, Ultrasound and other methods, Maternal blood test, Paternal blood test, B
The mortality rate is higher in twins compared to singletons, Lower, Higher, Same, Variable, B
With assisted reproductive technology the incidence of twins has, Decreased, Increased, Stayed the same, Disappeared, B
Selective reduction may be considered in higher-order multiples to, Increase number, Improve outcomes, Reduce number, No effect, B
Twins can be mirror images of each other in some cases, Dizygotic, Monozygotic, Fraternal, Trizygotic, B
The umbilical cords of twins can be, Separate, Fused, Both A and B, Neither, C
The amnionicity and chorionicity are determined by, The number of placentas, The timing of division, Maternal age, Paternal age, B
Knowing the membrane type is important for managing, Pregnancy, Childhood, Adulthood, Old age, A
