Question,Option1,Option2,Option3,Option4,Correct Answer
A boy 7 years old presented in to a clinic with skin redness with 2 patches And itching all over his body. His mother gave a history of eating strawberries about 5 hours before the appearance of these symptoms. There were elevated serum level of histamine and heparin Which cell of the following is responsible for this case,Pharma cell,Mast cell,Macrophage,Fibroblast,B
Where is mucoid connective tissue can be found,Trendons of muscles,Soleas of eye,Unbilical cord,Wall of aorta,C
Which statement is true about brown adipose connective tissue,It is found in intraesapular region,It is found in Subcutaneous tissue,It is found in Yellow Bone marrow,It is poor in blood supply,A
Which of the following is correct about the epithelial tissue,Intervaled,Highly vascularized,Has no polarity,Its cells are widely separated,A
Apocrine gland has the following character,The basal part of its epithelium is lost with the secretion,The apical part of its epithelium is lost with the secretion,The whole epithelial cell destructed with the secretion,The secretion is released by exocytosis,B
The function of the epithelium is usually adopted to their structure According to this statement gaseous exchange is occurred through......epithelium,Stratified squamous,Transitional,Simple columnar,Simple squamous,D
...... Waxy Secretion is released from glands of,External ear,Stomach,Tsetts,Overy,A
Which statement is true about plasma cells,They have metacromatic granules,They have clock free nucleus,They have strong acidophilic cytoplasm,They have multiple cytoplasmic processes,B
Male patient came to the surgical clinic with sever pain in the ankle after playing football with his colleague by examination there were injury in the Tendon of calf muscle Which of the following cells are responsible for repairing this Tendon,Macrophages,Plasma cells,Fibroblasts,Mast cells,C
How many ribs articulate posteriorly with the vertebral column,7 pairs,9 pairs,10 pairs,12 pairs,D
The tarsal bones are arranged into two rows,True,False,,,A
An elongated tubular structure proximal to urinary bladder,Kidney,Lureter,Prostatic urethra,Penile urethra,B
The uppermost part of sternum,Xiproid process,Body,Tubercle,Manutrium stern,D
This nerve is motor to pharynx larynx & parasympathetic to heart,glossopharyngeal nerve,Accessory nerve,Vagua nerve,Hypoglossal nerve,C
Peripheral nervous system is composed of 31 pairs of cranial 12 19 pairs of spinal nerves and their associated ganglia When the fist is clenched the ______ become obvious as the knuckles,Carpals,heads of metacarpals,bases of metacarpals,phalanges,B
apex of the heart formed by,RT &LT atria,RT &LT ventricles,RT ventricle only,LT ventricle only,D
its function is regulation of muscle tone and equilibrium,Spinal cord,Cerebrum,Cerebellum,Autonomic nervous system,C
Right lung is larger & shorter due to elevated right copula of diaphragm by,right lobe of liver,Left lobe of the liver,stomach,colon,A
kidneys are present on each side of the vertebral column at level between,T10 to L1 vertebrae,T11 to L2 vertebrae,T12 to L3 vertebrae,L1 to L4 vertebrae,C
the exocrine function of the ovaries is,secretion of estrogen,secretion of progesterone,production of ova,secretion of LH & FSH,C
Which of the following fibers can be stained with oreein stain,Collegen fibers,Elastic fibers,Reticular fibers,Cardiac ms fibers,B
Where is mucoid connective tissue can be found,Tendons of muscles,Sclera of eye,Unbilical cord,Wall of aorta,C
Trachea is lined by,Pseudo-stratified columnar ciliated epithelium with goblet cells,Pseudo-stratified columnar ciliated,Stratified columnar non ciliated,Simple columnar epithelium,A
Holocrine secretion,No change or loss of any part of cell during secretion.,Apical part removed with secretion.,Whole cell destructed with secretion.,Not found in human,C
Which statement is true about mast cells,They have numerous lysosomes,They are characterized by presence of negative Golgi Image in their cytoplasm,They have numerous metachromatic granules,They can be demonstrated by vital stain,C
According to the structural anomalies of the chromosomes transverse separation of centromere is called,ring chromosome,translocation,inversion,isochromosome,D
reciprocal reattachments of piece of chromatid,Deletion,Isochromosome,Translocation,Inversion,C
In gamete cell the human chromosomes are,Haploid number,Triploid number,Tetraploid number,Diploid number,A
In submetacentric chromosome the centromere is,at the end,near to the center,central,,B
Sperms are stored and become functionally mature in the,Seminiferous tubules,Epididymis,Ductus deferens,Seminal vesicles,B
Necrozospermia semen contains,dead sperms,low sperm count,no sperms,malformed sperms,A
Filaments of newly formed rRNA are located within......of nucleolus,Nucleolar organizer region,Pars fibrosa,Pars granulosa,Light area,A
Which of the following is true about heterochromatin,prominent in active cells,lightly stained,less compact,prominent in inactive cells,D
The attachment points for spindle fibers is in chromosomes,Kinetochores,centromere,q arm,p arm,A
Which type of stem cells that only produce closely related cells,Multipotent,Totipotent,Pluripotent,oligopotent,D
Which one of the following is a morphological feature of apoptosis,Chromatin aggregation,Euchromatic nucleus,Swollen cell membrane,Inflammatory cells infiltration,A
In human somatic cells the cell cycle lasts about 18 hours and the phase takes up about 1/3 of that time,G1,G2,S,M,C
Regarding stable tissue,Never enter G0 stage of the cell cycle,These cells are capable of dividing in response to injury or loss of tissue mass.,These cells are not capable of dividing in response to injury or loss of tissue mass.,These cells are terminally differentiated and non-proliferative in postnatal life.,B
Which of the following cell membrane modifications is made of microtubules,Microvilli,Stereocilia,Cilia,Desmosome,C
Intestinal epithelial cells play an important role in the absorption of different nutrients. They have an effective absorptive surface area. Which One of the following cell membrane modifications can provide this large surface area,Microvilli,Stereocilia,cilia,flagella,A
Which of the following is not considered as a part of the junctional complex,Tight junction,Zonula adherens,Desmosome,Gap junction,D
According to the position of centromere if the centromere is central. The chromosomes are,Metacentric,Submetacentric,Acrocentric,Telocentric,A
According to the structural anomalies of the chromosomes loss of piece of chromatid is called,Deletion,translocation,inversion,isochromosome,A
The process of sperms formation in male is called,gametogenesis,oogenesis,Spermatogenesis,spermiogenesis,C
It starts from early fetal period & stops temporary till puberty it is,gametogenesis,oogenesis,Spermatogenesis,spermiogenesis,B
Ovarian cycle is under control of ...... hormone,estrogen,progesterone,oxytocin,LH & FSH,D
If pregnancy doesn't occur the corpus luteum lives 9 days then it shrinks gradually forming,the zygote,the corpus callosum,the corpus albicans,theca cells,C
Is a process of repeated mitotic cell divisions of the fertilized ovum to produce cell cluster of the same size of the original zygote,implantation,folding,cleavage,gastrulation,C
A mass of blastomeres with a cavity inside called,Blastocyst,morula,zona pellucida,zygote,A
Which of the following fibers can be stained with orcein stain,Collegen fibers,Elastic fibers,Reticular fibers,,B
Where is mucoid connective tissue can be found,Tendons of muscles,Solera of eye,Umbilical cord,Wall of aorta,C
Trachea is lined by,Pseudo-stratified columnar ciliated epithelium with goblet cells,Pseudo-stratified columnar ciliated,Stratified columnar non ciliated,Simple columnar epithelium,A
Holocrine secretion,No change or loss of any part of cell during secretion.,Apical part removed with secretion.,Whole cell destructed with secretion.,Not found in human,C
Follicular phase of ovarian cycle is under control of......hormone,FSH,LH,estrogen,progesterone,A
sperms last ......before reaching the ampulla of the fallopian tube,8 days,15 days,2-3 days,10 days,C
