A 45-year-old patient presents with muscle weakness and gastrointestinal disorders. Mitochondrial dysfunction is suspected. Which organelle is primarily affected?,Mitochondria,Endoplasmic reticulum,Golgi apparatus,Lysosomes,A
During tissue processing for light microscopy which step prevents autolysis by stabilizing lysosomes?,Fixation,Dehydration,Clearing,Sectioning,A
A biopsy sample needs rapid intra-operative analysis. Which technique would be most appropriate?,Freezing technique,Paraffin technique,Immunohistochemistry,Enzyme histochemistry,A
All of the following are characteristics of the cell membrane EXCEPT:,Trilaminar appearance under EM,Contains cholesterol for stability,Composed mainly of carbohydrates,Has integral and peripheral proteins,C
Which of the following statements correctly distinguishes rough and smooth endoplasmic reticulum?,RER has ribosomes; SER lacks ribosomes,RER is for lipid synthesis; SER is for protein synthesis,RER appears acidophilic; SER appears basophilic,RER is continuous with nuclear outer membrane; SER is not,A
A patient with jaundice is found to have underdeveloped SER in liver cells. What is the primary function compromised?,Drug detoxification,Calcium storage,Protein synthesis,Glycogen metabolism,A
Which cellular component is responsible for packaging and sorting macromolecules?,Golgi apparatus,Mitochondria,Endoplasmic reticulum,Lysosomes,A
A 60-year-old patient presents with accumulated lipofuscin in cardiac muscle cells. This pigment represents:,Residual bodies from lysosomal digestion,Newly synthesized proteins,Stored glycogen,Active mitochondria,A
Which of the following is NOT a function of lysosomes?,ATP generation,Digestion of foreign material,Autophagy of old organelles,Release of enzymes outside cell,A
Which organelle contains catalase to break down hydrogen peroxide?,Peroxisomes,Lysosomes,Mitochondria,Golgi apparatus,A
A cell culture is being observed for cellular behavior. Which microscope type is most suitable?,Phase-contrast microscope,Bright-field microscope,Electron microscope,Fluorescence microscope,A
Which of the following is NOT a difference between light and electron microscopes?,Light microscope uses light; EM uses electrons,Light microscope shows color; EM shows black and white,Light microscope can view living specimens; EM cannot,Light microscope has higher resolution; EM has lower resolution,D
During paraffin technique which step makes tissue transparent?,Clearing,Fixation,Dehydration,Impregnation,A
A patient with a lysosomal storage disorder cannot degrade glycogen. Which organelle is dysfunctional?,Lysosomes,Peroxisomes,Mitochondria,Smooth ER,A
Which statement about hematoxylin and eosin staining is correct?,Hematoxylin stains nuclei blue; eosin stains cytoplasm pink,Hematoxylin stains cytoplasm blue; eosin stains nuclei pink,Both are acidic dyes,Both stain basophilic structures,A
All of the following are membranous organelles EXCEPT:,Mitochondria,Endoplasmic reticulum,Ribosomes,Lysosomes,C
A 50-year-old smoker presents with carbon particles in lung macrophages. These particles represent which type of inclusion?,Exogenous pigment,Endogenous pigment,Stored food,Crystals,A
Which organelle is known as the powerhouse of the cell?,Mitochondria,Golgi apparatus,Endoplasmic reticulum,Nucleus,A
