Question,Option A,Option B,Option C,Option D,Correct Answer
A 55-year-old chronic alcoholic presents with jaundice and impaired drug metabolism. Which organelle in hepatocytes is most likely affected?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
During tissue processing which step follows dehydration and precedes embedding?,Clearing,Fixation,Sectioning,Staining,A
A researcher needs to examine specific protein localization using fluorescent tags. Which microscope is essential?,Fluorescence microscope,Phase-contrast microscope,Bright-field microscope,Electron microscope,A
All of the following are characteristics of the Golgi apparatus EXCEPT:,Composed of flattened sacs called cisternae,Has cis and trans faces,Contains respiratory enzymes,Forms secretory vesicles,C
A patient with Tay-Sachs disease has accumulation of undigested lipids in neurons. Which organelle is dysfunctional?,Lysosomes,Peroxisomes,Mitochondria,Golgi apparatus,A
Which cellular structure appears as two electron-dense layers separated by a light zone under EM?,Cell membrane,Mitochondria,Nucleus,Ribosomes,A
An elderly patient shows abundant age pigment in cardiac muscle cells. This pigment is identified as:,Lipofuscin,Melanin,Hemoglobin,Bilirubin,A
What is the magnification power of electron microscopes compared to light microscopes?,Approximately 500000,Approximately 2000,Approximately 10000,Approximately 100000,A
In paraffin technique what is the purpose of washing after fixation?,Remove excess fixative,Dehydrate tissue,Clear tissue,Embed tissue,A
A cell from the zona fasciculata of adrenal cortex would show abundant SER for:,Steroid hormone synthesis,Protein synthesis,ATP production,Digestive enzyme production,A
A karyotype reveals 47 XXY chromosome pattern. This is characteristic of:,Klinefelter syndrome,Turner syndrome,Down syndrome,Patau syndrome,A
Which of the following is NOT a function of the glycocalyx?,Energy production,Cell protection,Cell adhesion,Antigen presentation,A
A patient with cholelithiasis has bilirubin crystal formation. These represent which type of inclusion?,Crystals,Stored food,Endogenous pigment,Exogenous pigment,A
Which organelle synthesizes proteins for secretion?,Rough endoplasmic reticulum,Smooth endoplasmic reticulum,Golgi apparatus,Mitochondria,A
All of the following are true about mitochondria EXCEPT:,Contain circular DNA,Have double membrane,Divide by binary fission,Synthesize secretory proteins,D
A biopsy sample shows cells with strong cytoplasmic acidophilia. This suggests abundance of:,Smooth ER or mitochondria,Rough ER or free ribosomes,Lysosomes,Peroxisomes,A
Which RNA type contains anticodons and carries amino acids?,tRNA,mRNA,rRNA,snRNA,A
A lymphocyte with condensed heterochromatin and dark nucleus is typically:,Inactive,Actively synthesizing proteins,Undergoing division,Secreting antibodies,A
Which chromosomal region contains repetitive DNA sequences and shortens with aging?,Telomeres,Centromeres,Kinetochores,Satellite regions,A
A pancreatic beta cell shows cytoplasmic basophilia due to abundant:,Rough endoplasmic reticulum,Smooth endoplasmic reticulum,Lipid droplets,Secretory granules,A
Which organelle contains enzymes for beta-oxidation of fatty acids?,Peroxisomes,Lysosomes,Mitochondria,Golgi apparatus,A
A patient with Crigler-Najjar syndrome has impaired bilirubin conjugation due to SER dysfunction in:,Liver cells,Pancreatic cells,Muscle cells,Neuronal cells,A
In H&E staining, which cellular component stains blue with hematoxylin?,Nucleus,Cytoplasm,Mitochondria,Golgi apparatus,A
During tissue processing, which chemical is commonly used as a fixative?,Formaldehyde,Xylene,Alcohol,Paraffin,A
Which of the following is a primary lysosome?,Homogeneous electron-dense vesicle,Heterogeneous vesicle with debris,Vesicle fused with phagosome,Vesicle containing lipofuscin,A
A plasma cell shows a prominent negative Golgi image indicating active:,Antibody secretion,Lipid storage,Glycogen synthesis,Detoxification,A
Which organelle forms the axoneme of cilia and flagella?,Microtubules,Intermediate filaments,Microfilaments,All of the above,A
All of the following are Golgi apparatus functions EXCEPT:,Protein glycosylation,Lipid synthesis,Lysosome formation,Secretory vesicle formation,B
A patient with Gaucher disease has glucocerebroside accumulation in macrophages due to:,Lysosomal enzyme deficiency,Peroxisomal enzyme deficiency,Mitochondrial disorder,Golgi dysfunction,A
Which nuclear component contains the nucleolar organizer region?,Nucleolus,Nuclear envelope,Nuclear pore,Nucleoplasm,A
A hepatocyte with prominent nucleolus and extensive RER is actively:,Synthesizing plasma proteins,Storing glycogen,Detoxifying drugs,Producing bile,A
Which transport mechanism moves substances down concentration gradient without energy?,Passive transport,Active transport,Bulk transport,All of the above,A
A patient with malignant hyperthermia may have defective calcium regulation in:,Sarcoplasmic reticulum,Rough ER,Golgi apparatus,Peroxisomes,A
Which chromatin type is transcriptionally inactive and condensed?,Heterochromatin,Euchromatin,Both neither,A
In tissue processing what is the purpose of using increasing alcohol concentrations?,Gradual dehydration to prevent shrinkage,Rapid water removal,Tissue clearing,Protein fixation,A
Which organelle contains acid hydrolases for intracellular digestion?,Lysosomes,Peroxisomes,Mitochondria,Golgi apparatus,A
A Leydig cell from testes synthesizing testosterone would show abundant:,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Free ribosomes,Lysosomes,A
Which statement about ribosomal structure is correct?,Composed of RNA and protein,Surrounded by lipid membrane,Found only in nucleus,Synthesize carbohydrates,A
A patient with Niemann-Pick disease has sphingomyelin accumulation due to:,Lysosomal enzyme deficiency,Peroxisomal enzyme deficiency,Mitochondrial disorder,Golgi dysfunction,A
Which process describes water movement across semipermeable membranes?,Osmosis,Simple diffusion,Facilitated diffusion,Active transport,A
All of the following are RNA types involved in protein synthesis EXCEPT:,mRNA,tRNA,rRNA,DNA,D
An adipocyte with signet ring appearance contains a large central:,Lipid droplet,Glycogen granule,Protein aggregate,Pigment granule,A
Which organelle is responsible for phospholipid and cholesterol synthesis?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
A study requires localization of specific enzymatic activity in tissue sections. Which technique is used?,Enzyme histochemistry,Immunohistochemistry,H&E staining,Electron microscopy,A
Which of the following is NOT a function of peroxisomes?,Protein synthesis,H2O2 metabolism,Lipid metabolism,Drug detoxification,A
What is the typical section thickness for electron microscopy?,50-100 nm,5-7 µm,1-2 µm,0.5-1 mm,A
A patient with vitiligo has loss of which pigment from skin?,Melanin,Hemoglobin,Lipofuscin,Bilirubin,A
Which cellular structure contains blood group antigens?,Glycocalyx,Nuclear envelope,Mitochondrial membrane,Golgi apparatus,A
All of the following are membranous organelles EXCEPT:,Lysosomes,Peroxisomes,Mitochondria,Centrioles,D
A kidney cell with numerous peroxisomes is actively engaged in:,Detoxification and lipid metabolism,Protein synthesis,Energy production,Calcium storage,A
Which statement about nuclear pores is correct?,Regulate nucleocytoplasmic transport,Allow free passage of all molecules,Are present only in dividing cells,Are visible with light microscopy,A
A patient with neuronal ceroid lipofuscinosis shows autofluorescent material in neurons representing:,Accumulated residual bodies,Active primary lysosomes,New mitochondria,Secretory granules,A
Which organelle adds phosphate groups to proteins?,Golgi apparatus,Mitochondria,Nucleus,Peroxisomes,A
Why are frozen sections used in enzyme histochemistry?,Preserve labile enzyme activity,Provide better resolution,Allow thicker sections,Reduce cost,A
Which term describes the complex of DNA and histone proteins?,Chromatin,Nucleoplasm,Nuclear matrix,Cytoskeleton,A
A cell with numerous attached ribosomes on RER is synthesizing proteins for:,Secretion or lysosomes,Intracellular use,Energy production,Detoxification,A
All of the following are lysosomal functions EXCEPT:,Digestion of endocytosed material,Autophagy of damaged organelles,ATP synthesis,Bone resorption,C
Which mitochondrial space contains enzymes for Krebs cycle?,Matrix,Cristae,Intermembrane space,Outer membrane,A
A patient with Kearns-Sayre syndrome has progressive external ophthalmoplegia due to:,Mitochondrial DNA mutations,Lysosomal storage,Peroxisomal deficiency,Golgi dysfunction,A
What is the resolution limit of electron microscopes?,0.2 nm,0.2 µm,2.0 nm,20 nm,A
In staining procedures, what follows dehydration before mounting?,Xylene,Rehydration,Clearing,Fixation,A
Which nucleolar region contains newly formed ribosomal subunits?,Pars granulosa,Pars fibrosa,Nucleolar organizer,Nuclear matrix,A
A neutrophil with numerous secondary lysosomes is actively:,Digesting phagocytosed bacteria,Synthesizing enzymes,Producing energy,Storing glycogen,A
All of the following are components of the cytoskeleton EXCEPT:,Microtubules,Intermediate filaments,Actin filaments,Peroxisomes,D
Which process involves engulfment of large solid particles?,Phagocytosis,Pinocytosis,Receptor-mediated endocytosis,Exocytosis,A
A patient with cardiomyopathy may have defects in which intermediate filament?,Desmin,Keratin,Vimentin,Neurofilaments,A
Which organelle's membrane contains ribosomes and is continuous with nuclear envelope?,Rough endoplasmic reticulum,Smooth endoplasmic reticulum,Golgi apparatus,Mitochondria,A
What is the main advantage of phase-contrast microscopy?,Viewing living unstained cells,High resolution,Color imaging,Viewing fluorescent labels,A
Which chromatin type is decondensed and genetically active?,Euchromatin,Heterochromatin,Both neither,A
A goblet cell with extensive Golgi apparatus is actively:,Secreting mucin,Storing energy,Detoxifying,Synthesizing DNA,A
All of the following are membrane transport processes EXCEPT:,Osmosis,Active transport,Vesicular transport,Transcription,D
Which organelle stores calcium ions in muscle cells?,Sarcoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
A karyotype showing 47 XY +21 indicates:,Down syndrome in male,Turner syndrome,Klinefelter syndrome,Edward syndrome,A
Which cellular structure duplicates before cell division and forms spindle poles?,Centrioles,Mitochondria,Golgi apparatus,Endoplasmic reticulum,A
During tissue embedding what is the final step before sectioning?,Paraffin infiltration and blocking,Dehydration,Clearing,Fixation,A
Which organelle is responsible for glycogen metabolism in liver cells?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
A cell storing abundant glycogen particles would stain positively with:,PAS stain,Sudan black,Osmium tetroxide,Hematoxylin,A
All of the following are cytoplasmic inclusions EXCEPT:,Glycogen,Lipids,Pigments,Ribosomes,D
Which cytoskeletal element is responsible for amoeboid movement?,Microfilaments,Intermediate filaments,Microtubules,All of the above,A
A patient with epidermolytic hyperkeratosis has defects in:,Keratin filaments,Vimentin filaments,Desmin filaments,Neurofilaments,A
Which organelle fuses with phagosomes to form heterophagosomes?,Lysosomes,Peroxisomes,Mitochondria,Golgi apparatus,A
In immunohistochemistry what binds to the specific protein antigen?,Primary antibody,Secondary antibody,Enzyme substrate,Fluorescent dye,A
Which statement about RNA is correct?,Contains ribose sugar and uracil,Contains deoxyribose and thymine,Double-stranded helix,Found only in nucleus,A
A rapidly dividing cancer cell would show prominent nucleolus indicating active:,Ribosome production,Energy production,Detoxification,Storage functions,A
All of the following are functions of chromatin EXCEPT:,Genetic information storage,Direct protein synthesis,Formation of RNA types,Energy production,D
Which organelle uses molecular oxygen for oxidation reactions?,Peroxisomes,Lysosomes,Mitochondria,Golgi apparatus,A
A patient with Dubin-Johnson syndrome has impaired bilirubin excretion due to dysfunction in:,Hepatocyte organelles,Pancreatic acini,Renal tubules,Alveolar cells,A
What describes the most highly organized level of chromatin packaging?,Chromosomes,Euchromatin,Nucleosomes,Histones,A
Why is mild fixation used in enzyme histochemistry?,Preserve enzyme activity while maintaining structure,Improve staining intensity,Increase tissue transparency,Facilitate sectioning,A
Which organelle synthesizes proteins for intracellular use?,Free ribosomes,Attached ribosomes,Golgi apparatus,Rough endoplasmic reticulum,A
A skeletal muscle fiber with numerous mitochondria reflects high:,Energy demands for contraction,Storage capacity,Detoxification needs,Secretory activity,A
All of the following are medical applications of cell culture EXCEPT:,Vaccine production,Drug screening,Regenerative medicine,In vivo diagnosis,D
Which RNA type forms the catalytic component of ribosomes?,rRNA,mRNA,tRNA,snRNA,A
A patient with MERFF syndrome has myoclonic epilepsy due to:,Mitochondrial dysfunction,Lysosomal storage,Peroxisomal deficiency,Golgi dysfunction,A
