Question,Option1,Option2,Option3,Option4,Correct Answer
What is the primary aim of tissue fixation?,To stain the tissue for visualization,To prevent autolysis and preserve structure,To dehydrate the tissue completely,To embed the tissue in wax,B
Which chemical is most commonly used for fixation?,Ethyl Alcohol,Xylene,Formaldehyde,Liquid Nitrogen,C
The dehydration step involves passing the tissue through what?,Increasing concentrations of formaldehyde,Increasing concentrations of ethyl alcohol,Decreasing concentrations of xylene,Solutions of different stains,B
What is the purpose of the clearing step?,To remove all water from the tissue,To stain the cell nuclei,To make the tissue transparent using a paraffin solvent,To harden the tissue for cutting,C
Which substance is used as a clearing agent?,Formalin,Ethanol,Paraffin wax,Xylene,D
During impregnation tissue is placed in what substance?,Liquid Nitrogen,Formalin,Hot Paraffin Wax,Cold Water,C
What is the typical thickness of sections for light microscopy?,20-30 µm,1-2 µm,5-7 µm,50-100 µm,C
Why must sections be rehydrated before staining?,To make them adhere to the slide,Because staining solutions are aqueous and wax is hydrophobic,To remove any remaining formaldehyde,To activate the enzymes in the tissue,B
After staining a section is dehydrated again and placed in what before coverslipping?,Water,Formalin,Ethanol,Xylene,D
The basic dye Hematoxylin primarily stains which component?,Cell Cytoplasm,Connective Tissue Fibers,Acidic components like the nucleus,Mitochondria,C
Eosin stains which part of the cell giving a pink color?,Nucleus,Acidic components,Cell cytoplasm and basic components,The basement membrane,C
What is the final step that protects the stained sample?,Sectioning with a microtome,Dehydration with alcohol,Placing a coverslip,Clearing with xylene,C
For an intra-operative consultation which rapid technique is used?,Paraffin Technique,Freezing Technique,Plastic Embedding,Whole Mount Technique,B
In the freezing technique what is used to freeze the biopsy?,Dry Ice,Ice Water,Liquid Nitrogen,Freezing Microtome,C
What device sections frozen tissue?,Rotary Microtome,Ultramicrotome,Microtome Knife,Cryostat,D
What problem does fixation prevent by stabilizing lysosomes?,Putrefaction,Tissue Shrinkage,Autolysis,Hardening,C
Besides autolysis what is another key aim of fixation?,To make the tissue transparent,To harden the tissue for cutting,To stain the tissue,To remove all lipids,B
Gradual dehydration prevents what?,Incomplete staining,Bacterial growth,Sudden tissue shrinkage,The tissue from melting,C
Xylene is used in clearing because it is a good what?,Fixative,Dehydrating Agent,Stain,Solvent for Paraffin,D
The process where wax fills spaces between cells is called?,Fixation,Sectioning,Impregnation,Dehydration,C
A pathologist sees blue nuclei and pink cytoplasm. Which stain was used?,Special Stains,Immunohistochemistry,Hematoxylin and Eosin,Periodic Acid-Schiff,C
During surgery a rapid pathological report is needed. Which method is used?,Standard Paraffin Technique,Freezing Technique,Electron Microscopy Preparation,Cell Culture,B
After fixation and washing the next step is?,Sectioning,Staining,Dehydration,Clearing,C
Moving tissue directly from 95% alcohol to xylene may cause?,The tissue will not fix properly,The tissue may shrink or distort,The stain will not work,The wax will not infiltrate,B
A slide shows shrunken tissue with empty spaces. Which step was wrong?,Fixation was too long,Dehydration was too rapid,The wrong stain was used,Sectioning was too thick,B
What is the primary reason formalin is used?,It is a good dehydrating agent,It stabilizes proteins and prevents decay,It makes the tissue transparent,It is the best substance for clearing,B
After embedding a block in wax the next step is?,Staining,Clearing,Sectioning,Dehydration,C
In H&E staining what does basophilia refer to?,Affinity for acidic dyes,Affinity for basic dyes,The pink color of cytoplasm,The lack of color in lipids,B
What is the purpose of mounting a coverslip?,To section the tissue,To stain the tissue,To permanently preserve and protect the section,To dehydrate the section,C
