Question,Option1,Option2,Option3,Option4,Correct Answer
What is the most common microscope in histology?,Fluorescence Microscope,Phase-Contrast Microscope,Bright-Field Microscope,Electron Microscope,C
What does resolving power refer to?,Its ability to magnify an object,Its ability to distinguish two close points as separate,The number of lenses it has,The intensity of its light source,B
What is the resolving power of a light microscope?,0.2 nm,0.2 μm,2.0 μm,200 nm,B
How is total magnification calculated?,Power of condenser + power of objective,Power of ocular + power of condenser,Power of ocular x power of objective,Power of light source x power of ocular,C
Which microscope is best for living unstained cells?,Bright-Field Microscope,Electron Microscope,Phase-Contrast Microscope,Fluorescence Microscope,C
A fluorescence microscope requires tissue stained with what?,Hematoxylin and Eosin,A fluorescent dye,Osmium tetroxide,Sudan black,B
How are samples viewed with a fluorescence microscope?,In bright light,Under ultraviolet light in a dark room,Under green light only,In a vacuum chamber,B
Electron Microscopes use what instead of light?,X-rays,Sound waves,Lasers,Beams of electrons,D
What is a key advantage of an electron microscope?,It is portable and inexpensive,It can view living specimens,It has much greater resolving power,It produces colored images,C
A major disadvantage of electron microscopes is?,Specimens must be dead,Specimens can be alive and unharmed,They are very easy to prepare,They provide lower magnification,A
Electron microscope images are typically?,Full color,Black and white,Sepia tones,Blue and green,B
Which part controls light amount in a light microscope?,The eyepiece,The stage clips,The diaphragm,The arm,C
What is the magnification of an electron microscope?,1500x,2000x,500000x,100x,C
Which microscope visualizes a mitochondrion's internal structure?,Bright-Field Light Microscope,Phase-Contrast Microscope,Transmission Electron Microscope,Fluorescence Microscope,C
A Scanning Electron Microscope is best for observing what?,Internal cell organelles,The surface topography of specimens,Living bacteria,The colors of a stained tissue section,B
Electron microscopes are generally?,Small and portable,Large and non-portable,Less expensive,Easier to operate,B
The limit of resolution for a light microscope is shown with an image of what?,Skeletal muscle,A white blood cell,A nerve cell,A liver cell,B
What is the coarse adjustment knob for?,To change the objective lens,To focus the light,For precise focusing,For initial rough focusing,D
In a Phase-Contrast Microscope contrast indicates?,The presence of fluorescent dyes,Regions of different refractive indices,The electrical charge of components,The temperature of the specimen,B
Immunofluorescence is combined with which microscopy?,Bright-Field,Phase-Contrast,Fluorescence,Electron,C
To study cell division in living cells which microscope is best?,Transmission Electron Microscope,Scanning Electron Microscope,Bright-Field Microscope,Phase-Contrast Microscope,D
A budget lab needs a microscope for H&E sections. Which will they choose?,Electron Microscope,Phase-Contrast Microscope,Bright-Field Microscope,Fluorescence Microscope,C
Why cant a light microscope visualize individual viruses?,Viruses are transparent,Viruses are below the resolution limit,Viruses move too quickly,Light microscopes cannot use the required stains,B
The shorter wavelength of an electron beam allows for?,Cheaper cost,Easier sample preparation,A 1000-fold increase in resolution,The ability to view colors,C
A black and white image shows intricate organelle details. Which microscope was used?,Bright-Field Light Microscope,Phase-Contrast Microscope,Electron Microscope,Stereo Microscope,C
Which part contains the magnifying lenses?,The base,The stage,The nosepiece,The diaphragm,C
What is the purpose of the stage clips?,To magnify the image,To hold the slide in place,To adjust the light intensity,To focus the image,B
A technician trained on light microscopes can operate an electron microscope?,Yes no training is needed,No specialized training is required,Yes they are very similar,No training is required for electron microscopes,B
The image comparing skeletal muscle demonstrates the difference in?,Cost,Color,Resolution and magnification,Portability,C
Which microscope tracks a protein labeled with GFP?,Bright-Field Microscope,Phase-Contrast Microscope,Fluorescence Microscope,Electron Microscope,C
A student identifies blood cells in a stained smear. Which microscope is standard?,Electron Microscope,Phase-Contrast Microscope,Bright-Field Microscope,Fluorescence Microscope,C
Why use a Phase-Contrast Microscope over Bright-Field for live cells?,It provides higher magnification,It is cheaper,It allows visualization without killing and staining,It produces color images,C
Why are there no colors in an electron microscope image?,Electrons do not have color,The detectors are not advanced enough,Color is added later by computer,Specimens lose their color during preparation,A
The fine adjustment knob is used for?,Changing objectives,Rough focusing,Precise focusing,Adjusting light,C
Which microscope uses electrons passing through a thin specimen?,Scanning Electron Microscope,Bright-Field Microscope,Phase-Contrast Microscope,Transmission Electron Microscope,D
Which microscope scans electrons across a surface for a 3D image?,Transmission Electron Microscope,Bright-Field Microscope,Scanning Electron Microscope,Fluorescence Microscope,C
An image of the cytoskeleton revealed by fluorescent antibodies uses which technique?,H&E Staining,Immunofluorescence,Phase-Contrast,Electron Microscopy,B
The body tube connects which two parts?,The base and the stage,The ocular lens and the objective lenses,The light source and the diaphragm,The arm and the fine adjustment,B
With a 10x ocular and a 40x objective what is the total magnification?,40x,50x,400x,4000x,C
To diagnose a mitochondrial disease which microscope is necessary?,Bright-Field Light Microscope,Phase-Contrast Microscope,Transmission Electron Microscope,Fluorescence Microscope,C
Why is training for electron microscopes more extensive?,The principles and sample preparation are more complex,They are much easier to use,They are less expensive to maintain,The images are easier to interpret,A
To study ciliary movement on living cells which microscope is best?,Transmission Electron Microscope,Scanning Electron Microscope,Phase-Contrast Microscope,Bright-Field Microscope with H&E,C
The base of a light microscope functions to?,Holds the objectives,Provides stability and support,Holds the slide,Focuses the light,B
Which is NOT an advantage of a light microscope?,It is relatively inexpensive,It can show colored images,The specimen can be alive,It has greater resolving power,D
What is the primary function of the light source?,To stain the specimen,To magnify the image,To illuminate the specimen from below,To hold the slide in place,C
A fluorescently stained section shows bright green areas. This indicates?,Areas with high lipid content,Areas where the specific target is located,Areas of cell death,Areas with dense connective tissue,B
