Question,Option1,Option2,Option3,Option4,Correct Answer
Which is a membranous organelle?,Ribosome,Centriole,Mitochondria,Cytoskeleton,C
What is the primary function of mitochondria?,Protein synthesis,Lipid storage,Energy production (ATP generation),Detoxification,C
The inner mitochondrial membrane is folded into?,Cristae,Matrix,Cisternae,Lamellae,A
Which organelle is the powerhouse?,Golgi apparatus,Lysosome,Mitochondria,Endoplasmic Reticulum,C
Rough Endoplasmic Reticulum has what on its surface?,Lysosomes,Ribosomes,Peroxisomes,Mitochondria,B
What is the main function of RER?,Lipid synthesis,Protein synthesis,Calcium storage,Drug detoxification,B
Smooth Endoplasmic Reticulum is involved in all EXCEPT:,Protein synthesis,Lipid synthesis,Glycogen metabolism,Drug detoxification,A
In muscle cells the SER is called?,Sarcoplasmic Reticulum,Golgi Complex,Nuclear Envelope,Transport Vesicle,A
What is the function of the Golgi apparatus?,Energy production,Protein modification sorting and packing,Digestion of foreign material,Cell division,B
The convex face of the Golgi faces?,The cell membrane,The nucleus,The mitochondria,The lysosomes,B
Lysosomes contain what enzymes?,Oxidative enzymes,Respiratory enzymes,Hydrolytic enzymes,Photosynthetic enzymes,C
Primary lysosomes are formed by?,Mitochondria and RER,RER and Golgi apparatus,SER and Golgi apparatus,Peroxisomes and RER,B
What is the fate of indigestible material in a lysosome?,It is converted into ATP,It is released into the cytoplasm,It is extruded by exocytosis as a residual body,It becomes part of the nucleus,C
Accumulated residual bodies in neurons are called?,Glycogen,Lipofuscin,Melanin,Bilirubin,B
Peroxisomes are involved in?,Protein synthesis,Lipid metabolism and detoxification,ATP production,DNA replication,B
What damaging molecule do peroxisomes break down?,Hydrogen Peroxide (H2O2),Carbon Dioxide,Oxygen,Glucose,A
Secretory granules are derived from which organelle?,Mitochondria,RER,SER,Peroxisomes,B
Under LM secretory granules appear as?,A basophilic area near the nucleus,An apical acidophilic area,A negative Golgi image,A perinuclear clear zone,B
New mitochondria are formed by?,Binary fission of pre-existing mitochondria,Formation from the Golgi apparatus,Synthesis from free ribosomes,Budding from the nucleus,A
Which organelle synthesizes lysosomal enzymes?,Smooth Endoplasmic Reticulum,Golgi apparatus,Rough Endoplasmic Reticulum,Mitochondria,C
A cell with abundant RER shows cytoplasmic basophilia because?,The RER itself is acidic,The ribosomes on RER are basophilic,The RER contains acidic proteins,The Golgi apparatus is nearby,B
What is the function of mitochondrial cristae?,To store calcium,To increase surface area for energy production,To synthesize proteins,To digest nutrients,B
A patient has muscle weakness and liver disease. A disorder of which organelle is suspected?,Golgi apparatus,Lysosomes,Peroxisomes,Mitochondria,D
Jaundice in newborns can be caused by underdeveloped?,RER in liver cells,SER in liver cells,Peroxisomes in kidney cells,Lysosomes in skin cells,B
Which organelle plays a key role in apoptosis?,Golgi apparatus,Mitochondria,Smooth Endoplasmic Reticulum,Secretory granules,B
The Negative Golgi Image in plasma cells is an area that?,Stains intensely with H&E,Does not stain because it lacks RER,Is filled with mitochondria,Is the site of the nucleus,B
Heterophagosomes fuse with?,An autophagic vacuole,A pinocytotic vesicle,An endocytosed solid particle,Another primary lysosome,C
The multivesicular body fuses with?,Solid particles,Fluid droplets (pinocytotic vesicles),Old mitochondria,The Golgi apparatus,B
What is the role of the Golgi in maintaining the cell membrane?,It synthesizes new phospholipids,It produces energy for transport,It adds new membrane via exocytosis,It digests old membrane parts,C
Lysosomal storage disorders result from?,An overproduction of lysosomes,The absence of a specific lysosomal enzyme,The failure of the Golgi apparatus,Too many peroxisomes,B
In the liver SER is important for bilirubin metabolism. Underdeveloped SER causes?,Diabetes,Jaundice,Anemia,Gout,B
Which organelle produces hydrogen peroxide?,Lysosome,Peroxisome,Mitochondrion,Golgi apparatus,B
What is the function of catalase?,To synthesize proteins,To break down hydrogen peroxide,To digest carbohydrates,To produce ATP,B
The mitochondrial matrix contains all EXCEPT:,Circular DNA,Ribosomes,Respiratory enzymes,Chromosomes,D
Which organelle stores calcium in muscle cells?,Rough Endoplasmic Reticulum,Golgi apparatus,Sarcoplasmic Reticulum (SER),Lysosome,C
A cell synthesizing steroid hormones has prominent?,Rough Endoplasmic Reticulum,Smooth Endoplasmic Reticulum,Golgi apparatus,Mitochondria,B
Lysosomes digest old organelles by?,Heterophagy,Autophagy,Phagocytosis,Pinocytosis,B
What is the primary function of coated vesicles?,Energy production,To transport materials for secretion,To digest foreign invaders,To synthesize lipids,B
Under EM the cell membrane appears as?,A single dense line,A trilaminar structure,A homogenous gray zone,A series of dots,B
