Question,Option1,Option2,Option3,Option4,Correct Answer
Which is a non-membranous organelle?,Mitochondrion,Lysosome,Ribosome,Peroxisome,C
What is the primary function of ribosomes?,Energy production,Protein synthesis,Lipid synthesis,Detoxification,B
Ribosomes are composed of how many subunits?,One,Two,Three,Four,B
Where are ribosomes assembled?,In the cytoplasm,In the nucleolus,On the Golgi apparatus,On the mitochondrial cristae,B
Free ribosomes synthesize proteins for?,Export outside the cell,Local use within the cell,Incorporation into the cell membrane,Storage in lysosomes,B
Ribosomes on RER synthesize proteins for?,Local use within the cell,Export outside the cell or for lysosomes,Energy production,Cell division,B
Which is part of the cytoskeleton?,Ribosomes,Centrioles,Mitochondria,Lysosomes,B
Microfilaments are primarily composed of?,Tubulin,Actin,Myosin,Keratin,B
What is the diameter of microtubules?,5-10 nm,10 nm,25 nm,100 nm,C
Which organelle forms the mitotic spindle?,Ribosomes,Centrioles,Microfilaments,Intermediate filaments,B
Centrioles are composed of how many triplets?,Seven,Eight,Nine,Twelve,C
The cytoskeleton includes all EXCEPT:,Microtubules,Intermediate filaments,Microfilaments (actin),Lysosomes,D
What is the main function of microfilaments?,To form cilia and flagella,To support the cell and enable contraction,To assemble ribosomes,To synthesize proteins,B
Intermediate filaments have a diameter of?,6-7 nm,10 nm,25 nm,100 nm,B
Which intermediate filament is in skin epidermis?,Vimentin,Desmin,Keratin,Neurofilament,C
What is the function of microtubules in cilia?,Protein synthesis,Cell movement,Digestion,Energy production,B
Which organelle is found in cells that can divide?,Ribosomes,Centrioles,Microfilaments,All of the above,B
The ruffled border of an osteoclast relates to?,Microtubules,Intermediate filaments,Microfilaments (actin),Ribosomes,C
The structure at the base of a cilium is?,The axoneme,The basal body,The rootlet,The shaft,B
The shaft of a cilium contains?,9 triplets,9 doublets + 0 central,9 doublets + 2 central singlets,7 doublets,C
Which is a function of the cytoskeleton?,Maintain cell shape,Facilitate intracellular transport,Enable cell movement,All of the above,D
In a muscle fiber thick filaments are composed of?,Actin,Myosin,Tubulin,Keratin,B
What is the role of dynein arms?,To synthesize proteins,To generate movement by sliding microtubules,To anchor the cilium,To digest foreign particles,B
Polysomes are defined as?,Free ribosomes,Ribosomes attached to the RER,Several ribosomes linked by mRNA,The two subunits of a ribosome,C
Which structure forms the core of microvilli?,Microtubules,Intermediate filaments,Microfilaments (actin),Centrioles,C
The diameter of intermediate filaments is between?,Actin and myosin,Microtubules and ribosomes,Actin thin and myosin thick filaments,Microvilli and cilia,C
Which intermediate filament is in fibroblasts?,Keratin,Vimentin,Desmin,Neurofilament,B
What is the function of centrioles in cell division?,To synthesize DNA,To form the MTOC and mitotic spindle,To digest the nuclear envelope,To provide energy,B
Stereo cilia are actually very long?,Cilia,Flagella,Microvilli,Microtubules,C
Stereo cilia are found in which male structure?,Testis,Vas deferens,Epididymis,Prostate,C
Unlike true cilia stereo cilia are composed of?,Microtubules,Tonofilaments,Actin filaments,Myosin filaments,B
The cytoskeleton provides a track for vesicles using?,Dynein and kinesin,Actin and myosin,Histone and non-histone proteins,Catalase and peroxidase,A
What is the main component of thin filaments?,Myosin,Tubulin,Actin,Keratin,C
A drug disrupting microtubules would prevent?,Protein synthesis,Maintaining shape or completing division,Performing glycolysis,Detoxifying chemicals,B
The central pair in a cilium is found in?,The basal body,The shaft (axoneme),The rootlet,The centriole,B
Which statement about ribosomes is TRUE?,They are surrounded by a membrane,They are only found free,They are assembled in the nucleolus,They are visible with H&E as distinct dots,C
The rootlet of a cilium is composed of?,Microtubules,Dynamic tubulin protofilaments,Actin filaments,Intermediate filaments,B
What is the function of intermediate filaments?,To provide tensile strength,To conduct nerve impulses,To synthesize steroid hormones,To pump ions,A
In a nerve cell which element transports materials?,Microfilaments (actin),Intermediate filaments,Microtubules,Centrioles,C
Which organelle guides chromosomes during anaphase?,Ribosomes,The mitotic spindle,Microfilaments,Intermediate filaments,B
A defect in dynein arms would result in?,Impaired protein synthesis,Inability to move cilia effectively,Enhanced cell division,Increased phagocytosis,B
The structure labeled Z on page 12 refers to?,Ribosomes,Centrioles,Microtubules,Mitochondria,B
Which is NOT a function of microtubules?,Forming the cytoskeleton,Forming centrioles,Forming the Golgi apparatus,Forming the mitotic spindle,C
The cart-wheel appearance is associated with?,Ribosomes in the nucleolus,Centrioles,Microfilaments,Intermediate filaments,B
What is the primary role of free ribosomes?,To produce proteins for secretion,To produce proteins for cytoplasmic use,To synthesize lipids,To form the nuclear envelope,B
The arrangement of 9 triplets is characteristic of?,The axoneme of cilia,The basal body of cilia and centrioles,The mitotic spindle,The nuclear pore,B
A highly secretory cell has abundant?,Free ribosomes,Attached ribosomes (on RER),Centrioles,Intermediate filaments,B
Which filament is involved in desmosomes?,Microtubules,Microfilaments,Intermediate filaments,All of the above,C
