Question,Option1,Option2,Option3,Option4,Correct Answer
The cell cycle ends with producing?,One daughter cell,Two daughter cells,Four daughter cells,No daughter cells,B
Which phase involves cell growth and DNA duplication?,Mitosis (M) phase,Interphase,Cytokinesis,Prophase,B
Interphase is divided into?,G1 S and G2,Prophase Metaphase Anaphase Telophase,M phase only,G0 and M phase,A
The G1 phase is important because it?,Is when DNA is synthesized,Determines if a cell commits to division,Is when the cell splits,Is the shortest phase,B
During the S phase what is synthesized?,Only proteins,DNA and histones,Only RNA,Lipids and carbohydrates,B
The G2 phase involves?,Rapid cell growth and protein synthesis,DNA synthesis,Cell division,Chromosome condensation,A
The M phase consists of?,Interphase and cytokinesis,Mitosis and cytokinesis,Only mitosis,Only cytokinesis,B
During prophase what happens to the nuclear envelope?,It reforms,It fragments and disappears,It becomes thicker,It duplicates,B
In prophase chromosomes become visible because?,They are being synthesized,They are decondensing,DNA was duplicated in S phase,They are being degraded,C
Metaphase is characterized by chromosomes?,Condensing and becoming visible,Arranging at the cell equator,Splitting and migrating,Decondensing and reforming nuclei,B
During anaphase what happens?,Chromosomes condense,Chromatids migrate to opposite poles,The nuclear envelope reforms,The cell membrane pinches in,B
Telophase involves?,Chromosome condensation,Chromatid migration,Chromosome decondensation and nuclear envelope reformation,Spindle formation,C
The constriction ring that splits the cell is made of?,Tubulin,Actin and myosin,Keratin,Collagen,B
A cell in G0 is?,Actively dividing,Terminally differentiated or resting,In S phase,In M phase,B
Which cells are typically terminally differentiated?,Liver cells,Nerve and muscle cells,Skin epithelial cells,Intestinal lining cells,B
Apoptosis is a form of?,Accidental cell death,Programmed and targeted cell death,Cell division,Cell growth,B
Necrosis is caused by?,Internal genetic programming,Factors external to the cell,The cells own decision,Lack of nutrients,B
A key feature of apoptosis is?,It provokes a strong inflammatory response,Cell swelling and rupture,Chromatin aggregation and membrane-bound vesicles,It is always detrimental,C
A key feature of necrosis is?,No inflammatory response,Cell lysis and inflammatory response,Formation of apoptotic bodies,It is always beneficial,B
Stem cells are characterized by being?,Specialized,Blank or unspecialized,Temporary,Non-renewable,B
Stem cells are capable of?,Dividing and renewing for long periods,Only dividing once,Only renewing not dividing,None of the above,A
Totipotent stem cells can differentiate into?,Only blood cells,Only cells from the three germ layers,Any type of cell in the organism,A few related cell types,C
Pluripotent stem cells are located in?,The inner cell mass of the blastocyst,Adult bone marrow,The skin,The liver,A
Multipotent stem cells produce?,Any cell type,Only closely related cells,Only one cell type,No cells,B
Hematopoietic stem cells are an example of?,Totipotent stem cells,Pluripotent stem cells,Multipotent stem cells,Unipotent stem cells,C
Oligopotent stem cells produce?,Any cell type,A few types of cells,Only one cell type,No cells,B
Unipotent stem cells produce?,Cells of their own type along a single lineage,Any cell type,Cells from all three germ layers,Only blood cells,A
Embryonic stem cells are derived from?,Adult tissues,Embryos (4 to 5 days old),Umbilical cord blood,The brain,B
Adult stem cells are found?,Only in embryos,In various tissues of the body,Only in the blood,Only in the skin,B
Induced pluripotent stem cells (iPS) are created by?,Fusing two adult cells,Introducing embryonic genes into adult somatic cells,Destroying embryos,Using only chemicals,B
Professor Shiny Yamanaka won a Nobel Prize for?,Discovering DNA,Transforming adult skin cells to embryonic-like stem cells,Curing cancer,Inventing the microscope,B
Progenitor cells are?,Fully differentiated,The transitional stage between stem cells and differentiated cells,Identical to stem cells,Only found in embryos,B
Compared to stem cells progenitor cells have?,Unlimited self-renewal,Limited self-renewal,The same potency,No ability to differentiate,B
Labile tissues are characterized by?,Cells that cannot divide,Continuous cell loss and replacement,No regeneration capacity,Being terminally differentiated,B
Stable tissues include?,Brain and heart,Liver kidney and pancreas,Skin and intestine,All of the above,B
Permanent tissues include?,Liver cells,Neurons and cardiac muscle cells,Intestinal epithelium,Skin cells,B
A key application of stem cells is?,Building houses,Generation of experimental models and cell-based therapy,Making food,Creating new elements,B
A challenge in stem cell therapy is?,Contamination and poor differentiation,It is too easy,It requires no funding,It has no risks,A
In developing countries a challenge is?,Too much government support,Poor facilities and lack of trained researchers,An overabundance of funding,No interest in medicine,B
