Question,Option1,Option2,Option3,Option4,Correct Answer
Epithelium does NOT?,Cover body surfaces,Line hollow organs,Form glands,Form the main substance of connective tissue,D
General characters of epithelium include?,Cells tightly packed with little extracellular space,Abundant blood vessels,No basement membrane,Cells not attached to each other,A
Epithelial cells rest on a?,Basement membrane,Elastic fiber,Collagen bundle,Free surface,A
Epithelium is?,Highly vascular,Avascular,Rich in lymphatics,Full of nerves,B
Epithelium is?,Not innervated,Rich in nerves,Devoid of any nerves,Only innervated in skin,B
Classification of epithelium includes?,Covering and lining epithelium,Muscular epithelium,Nervous epithelium,All of the above,A
Simple epithelium has how many cell layers?,One,Two,Three,More than three,A
Stratified epithelium has how many cell layers?,One,Two or more,Only one,None,B
Squamous cells are?,Flat and spindle-shaped,Cubical,Tall and rectangular,Irregular,A
Cuboidal cells have what shape nuclei?,Flattened,Central rounded,Basal oval,No nuclei,B
Columnar cells have what shape nuclei?,Flattened,Central rounded,Basal oval,Central flattened,C
Simple squamous epithelium is found in?,Skin,Blood vessels (endothelium),Vagina,Sweat gland ducts,B
Simple cuboidal epithelium is found in?,Thyroid follicles,Stomach,Intestine,Fallopian tubes,A
Simple columnar epithelium is found in?,Skin,Stomach and intestine,Trachea,Urinary bladder,B
Simple columnar ciliated epithelium is found in?,Fallopian tubes,Stomach,Intestine,Skin,A
Pseudostratified epithelium appears to have ________ layers but actually has ________.,Multiple; multiple,Single; multiple,Multiple; single,Single; single,C
Pseudostratified columnar ciliated epithelium is found in?,Upper respiratory passages,Skin,Kidney tubules,Bone,A
Stratified epithelium functions mainly for?,Secretion,Absorption,Protection,Sensation,C
Stratified squamous non-keratinized epithelium is found in?,Skin,Oral cavity and esophagus,Thyroid follicles,Alveoli,B
Stratified squamous keratinized epithelium is found in?,Vagina,Esophagus,Skin,Cornea,C
Transitional epithelium is found in?,Urinary tract,Respiratory tract,Digestive tract,Female reproductive tract,A
The shape of superficial cells in transitional epithelium changes from?,Columnar to cuboidal,Dome-shape to flattened,Squamous to columnar,Cuboidal to squamous,B
Metaplasia is?,Abnormal cell proliferation,Epithelial cells changing to a different type,A malignant tumor,Cell death,B
Carcinomas are malignant tumors from?,Connective tissue,Muscle tissue,Epithelium,Nervous tissue,C
Adenocarcinomas arise from?,Connective tissue,Glandular epithelial cells,Muscle cells,Nerve cells,B
Neuroepithelium is concerned with?,Protection,Secretion,Special senses,Absorption,C
Neuroepithelium contains which cell type?,Sensory (hair) cells,Adipocytes,Fibroblasts,Chondrocytes,A
A gland is formed of?,One or more cells,Only one cell,Only multiple cells,No cells just fibers,A
Unicellular glands include?,Salivary glands,Goblet cells,Thyroid gland,Sweat glands,B
Endocrine glands?,Have ducts,Are ductless,Secrete to body surfaces,Are only in the skin,B
Exocrine glands secrete?,Into the blood,Through ducts,Into the lymph,Not at all,B
The pancreas is a __________ gland.,Endocrine only,Exocrine only,Mixed endocrine and exocrine,Neither,C
Serous secretions are?,Watery and rich in protein,Viscous,Watery and poor in protein,Waxy,A
Mucous secretions are?,Watery,Viscous,Dry,Mineral,B
Submandibular gland is a __________ gland.,Serous,Mucous,Mixed,Waxy,C
Merocrine secretion involves?,Loss of the apical cell part,Destruction of the whole cell,Exocytosis with no cell loss,Budding of the nucleus,C
Apocrine secretion involves?,Loss of the apical cell part,Destruction of the whole cell,Exocytosis with no cell loss,No secretion,A
Holocrine secretion involves?,Loss of the apical cell part,Destruction of the whole cell,Exocytosis with no cell loss,Secretion without granules,B
Sebaceous glands are an example of __________ secretion.,Merocrine,Apocrine,Holocrine,Mucous,C
Myoepithelium (basket cells) are found?,Surrounding acini and ducts of glands,In the blood,In the nervous system,In bone,A
Tight junctions function to?,Allow ion passage,Prevent intercellular diffusion,Provide strong attachment,Increase surface area,B
The junction with a 15-20 nm intercellular space is the?,Tight junction,Intermediate junction,Desmosome,Gap junction,B
Desmosomes are very strong junctions found in?,Cells under mechanical stress,Blood vessels,The thyroid,The liver,A
Gap junctions allow passage of?,Large proteins,Ions and small molecules,Only water,Nothing,B
Interdigitations function to?,Seal compartments,Increase surface area for ion transport,Provide strength,Allow movement,B
Microvilli are found in?,Intestinal lining,Fallopian tubes,Trachea,Skin,A
Microvilli appear as a __________ under LM.,Brush border,Acidophilic striation,Dome shape,Signet ring,A
Cilia are hair-like projections containing?,Tonofilaments,Microtubules,Only actin,Only myosin,B
The basal body of a cilium resembles a?,Ribosome,Centriole,Mitochondrion,Lysosome,B
Flagella form the tail of?,All cells,Sperm cells,Nerve cells,Muscle cells,B
Stereo cilia are actually?,True cilia,Flagella,Long microvilli,Short microvilli,C
The basement membrane is found?,Between epithelium and connective tissue,Between muscle cells,In the nucleus,In the blood,A
The basement membrane anchors?,Epithelial cell to underlying tissues,Muscle to bone,Nerve to muscle,Blood cells to plasma,A
