Question,Option1,Option2,Option3,Option4,Correct Answer
Connective tissue originates from?,Ectoderm,Mesoderm,Endoderm,Neuroectoderm,B
A characteristic of connective tissue is?,Cells are tightly packed,Cells are widely separated by matrix,It is avascular,It has no nerves,B
Connective tissue is usually?,Poor in blood vessels,Rich in blood vessels and nerves,Devoid of any vessels,Only has lymphatics,B
Which is NOT a function of connective tissue?,Mechanical support,Nutritional support,Immunological protection,Conduction of nerve impulses,D
Connective tissue is composed of?,Cells and extracellular matrix,Only cells,Only fibers,Only ground substance,A
The extracellular matrix consists of?,Cells and fibers,Ground substance and fibers,Only cells,Only ground substance,B
Embryonic connective tissues include?,Mesenchymal and mucous,Areolar and dense,Reticular and adipose,Cartilage and bone,A
Loose areolar connective tissue is called ordinary because?,It is rare,It is the commonest type,It is the strongest,It has no cells,B
Loose areolar tissue contains?,Few cell types and few fibers,All types of CT cells and fibers in loose arrangement,Only fat cells,Only collagen fibers,B
Loose areolar tissue functions as?,A packing material,The main conductor of impulses,A rigid support,An endocrine organ,A
Adipose tissue functions include?,Fat storage and cushioning,Conduction of impulses,Secretion of digestive enzymes,Contraction,A
White fat cells are?,Multilocular,Unilocular,Binucleated,Without a nucleus,B
Brown fat is characterized by?,Many small lipid droplets and many mitochondria,One large lipid droplet,Few mitochondria,No blood supply,A
Brown fat is important in?,Adults for energy storage,Fetuses and newborns for heat production,The brain for insulation,The heart for contraction,B
Reticular tissue forms the stroma of?,Bone,Muscle,Lymph nodes and spleen,The skin,C
Mucoid tissue is found in?,Adult liver,Whartons jelly of the umbilical cord,The spinal cord,The lungs,B
Dense regular connective tissue is found in?,Skin,Tendons,The intestine,The liver,B
Dense irregular connective tissue is found in?,Tendons,Sclera and organ capsules,Ligaments,Cartilage,B
Yellow elastic tissue is found in?,Tendons,Aorta and elastic ligaments,Bone,Skin,B
The most abundant connective tissue cell is?,Macrophage,Fibroblast,Mast cell,Plasma cell,B
Fibroblasts produce?,Only collagen fibers,All types of fibers and ground substance,Only ground substance,Only elastic fibers,B
Myofibroblasts are involved in?,Secretion of antibodies,Wound contraction,Phagocytosis,Storage of fat,B
Fibrocytes are?,Young active fibroblasts,Old inactive fibroblasts,Mature fat cells,Phagocytic cells,B
Macrophages originate from?,Fibroblasts,Monocytes of the blood,Plasma cells,Mast cells,B
Macrophages function in?,Fiber production,Phagocytosis and antigen presentation,Fat storage,Antibody production,B
Osteoclasts are formed by fusion of?,Fibroblasts,Macrophages (monocytes),Mast cells,Plasma cells,B
Reticular cells produce?,Elastic fibers,Collagen type-III (reticular fibers),Collagen type-I,Collagen type-II,B
Fat cells (adipocytes) store?,Glycogen,Proteins,Lipids (fat),Minerals,C
Endothelial cells line?,The digestive tract,Blood vessels,The respiratory tract,The skin,B
Pericytes are found?,In the center of tendons,Around blood capillaries and venules,In the epidermis,In the nucleus,B
Pericytes can differentiate into?,Fibroblasts endothelium and smooth muscle,Only nerve cells,Only fat cells,Only bone cells,A
Plasma cells originate from?,T-lymphocytes,B-lymphocytes,Monocytes,Fibroblasts,B
Plasma cells are known for their?,Phagocytic ability,Antibody (immunoglobulin) production,Fat storage,Fiber production,B
The nucleus of a plasma cell has a __________ appearance.,Signet-ring,Cart-wheel or clock-face,Irregular,Spindle-shaped,B
Mast cells contain granules with?,Antibodies,Enzymes for protein synthesis,Heparin and histamine,DNA and RNA,C
Mast cell granules stain metachromatically with?,H&E stain,Toluidine blue,PAS stain,Sudan black,B
Leukocytes in connective tissue include?,Neutrophils and lymphocytes,Only red blood cells,Only platelets,Only mast cells,A
Ground substance is secreted mainly by?,Macrophages,Fibroblasts,Mast cells,Plasma cells,B
Ground substance acts as a medium for?,Nutrient and waste transfer,Impulse conduction,Contraction,Secretion of hormones,A
Collagen fibers are composed of?,Elastin protein,Collagen protein,Keratin protein,Myosin protein,B
Collagen fibers stain __________ with H&E.,Blue,Pink (acidophilic),Black,Green,B
Reticular fibers are made of?,Collagen type I,Collagen type II,Collagen type III,Collagen type IV,C
Reticular fibers are?,Very thick,Very thin and form networks,Non-branching,Elastic,B
Reticular fibers stain with __________.,H&E,PAS,Silver (argyrophilic),Sudan black,C
Elastic fibers contain?,Collagen,Elastin and fibrillin,Keratin,Myosin,B
Elastic fibers are found in?,Tendons,Ligamentum flavum and aorta,Bone,Cartilage,B
The force resisting property of fibers is?,Compressive forces,Tensile forces,Shear forces,All forces,B
