Question,Option1,Option2,Option3,Option4,Correct Answer
Cartilage function does NOT include?,Bearing mechanical stresses,Supporting soft tissue,Conduction of nerve impulses,Shock-absorption for joints,C
A general character of cartilage is?,It is highly vascular,It is avascular,It has many lymphatics,It is richly innervated,B
Cartilage receives nutrition by?,Direct blood supply,Diffusion from surrounding capillaries or synovial fluid,Active transport through canals,Secretion from chondrocytes,B
What covers most types of cartilage?,Periosteum,Perichondrium,Endosteum,Epimysium,B
The cells of cartilage include?,Osteoblasts and osteocytes,Chondrogenic cells chondroblasts and chondrocytes,Fibroblasts and fibrocytes,Myoblasts and myocytes,B
Cartilage matrix contains?,Only fibers,Only ground substance,Fibers and ground substance,Only cells,C
Chondrogenic cells are found in?,The center of cartilage,The inner layer of perichondrium,The outer fibrous perichondrium,The bone marrow,B
Chondroblasts are located?,In the center of cartilage,At the periphery of cartilage,In the bone,In the blood,B
Chondrocytes are?,The mature cartilage cells,The stem cells,The bone-forming cells,The fiber-producing cells,A
Chondrocytes reside in spaces called?,Haversian canals,Canaliculi,Lacunae,Vacuoles,C
Cell nests are formed by?,Chondrogenic cells dividing,Chondrocytes dividing inside lacunae,Fibroblasts fusing,Mast cell degeneration,B
Hyaline cartilage is found in?,The ear pinna,The embryonic skeleton and trachea,Intervertebral discs,The pubic symphysis,B
Elastic cartilage is found in?,The trachea,The ear pinna and epiglottis,The intervertebral discs,Articular surfaces,B
Fibrocartilage is found in?,The trachea,The ear pinna,Intervertebral discs and knee meniscus,The epiglottis,C
The matrix of hyaline cartilage contains mostly?,Collagen type I,Collagen type II,Elastic fibers,Reticular fibers,B
The perichondrium is essential for?,Contraction,Nutrition and growth of cartilage,Secretion of hormones,Conduction of impulses,B
Elastic cartilage differs from hyaline by having?,More cells,Many elastic fibers in the matrix,No perichondrium,Type I collagen,B
Fibrocartilage is characterized by?,Large amount of collagen type I and no perichondrium,Large amount of collagen type II and a perichondrium,Many elastic fibers,Abundant ground substance,A
Appositional growth of cartilage involves?,Cell division in the center of cartilage,New cartilage deposition on the surface from perichondrium,Growth from the bone,Interstitial expansion,B
Interstitial growth of cartilage involves?,Growth from the perichondrium,Cell division within the existing cartilage,Conversion to bone,Secretion from fibroblasts,B
Interstitial growth occurs mainly in?,Adult articular cartilage,The early phase of hyaline cartilage formation,Elastic cartilage only,Fibrocartilage only,B
Cartilage repair is often slow and incomplete due to?,Its high vascularity,Its avascularity,Too many cells,Excessive matrix production,B
The matrix of hyaline cartilage is generally basophilic due to?,Elastic fibers,Proteoglycans,Collagen type I,Calcium salts,B
Calcification of hyaline cartilage is a process of?,Normal bone formation and aging,Always a disease,Only seen in children,Reversible,A
Chondrocytes in lacunae can form isogenous groups meaning?,They are all the same age,They are derived from division of a single chondrocyte,They are from different cells,They are dying,B
The outer layer of perichondrium contains?,Chondrogenic cells,Type I collagen and fibroblasts,Chondrocytes,Blood vessels,B
The inner layer of perichondrium contains?,Fibroblasts and type I collagen,Chondrogenic cells and chondroblasts,Chondrocytes only,Osteoclasts,B
Hyaline cartilage in respiratory passages functions for?,Flexibility and support,Contraction,Secretion of mucus,Conduction of air,A
Articular cartilage lacks a?,Matrix,Perichondrium,Blood supply,Both B and C,D
The term for cartilage cell death is?,Apoptosis,Necrosis,Chondroptosis,There is no specific term in the text.,B
Growth at the epiphyseal plate involves which process?,Intramembranous ossification,Endochondral ossification,Only appositional growth,Only interstitial growth,B
Which zone of the epiphyseal plate is next to the epiphysis?,Proliferative zone,Hypertrophic zone,Resting zone,Calcification zone,C
In which zone do chondrocytes form columns?,Resting zone,Proliferative zone,Hypertrophic zone,Ossification zone,B
In which zone do chondrocytes enlarge and accumulate glycogen?,Resting zone,Proliferative zone,Hypertrophic zone,Calcification zone,C
Calcification of the matrix prevents?,Nutrient diffusion leading to chondrocyte death,Chondrocyte division,Bone formation,Vascular invasion,A
The vitreous body of the eyeball contains?,Hyaline cartilage,Elastic cartilage,Mucoid tissue,Fibrocartilage,C
Cartilage is a type of?,Epithelial tissue,Muscle tissue,Connective tissue,Nervous tissue,C
Chondroblasts have EM features of __________ cells.,Protein synthesizing,Protein digesting,Fat storing,Pigment producing,A
The resilience of cartilage is due to its?,High cellularity,High content of proteoglycans in the ground substance,Low water content,Presence of blood vessels,B
Wealing's jelly is a type of __________ tissue.,Adipose,Mucoid,Elastic,Dense,B
