Question,Option1,Option2,Option3,Option4,Correct Answer
Bone is a special type of what tissue?,Epithelial tissue,Connective tissue,Muscle tissue,Nervous tissue,B
Which is NOT a function of bone?,Forms body skeleton and protects organs,Acts as a store of calcium,Conducts nerve impulses,Contains bone marrow for blood cell production,C
Bone matrix is characterized as being?,Soft and flexible,Hard, Liquid,Gel-like,B
Which bone cell is the bone-forming cell?,Osteocyte,Osteoblast,Osteoclast,Osteoprogenitor cell,B
Osteocytes are derived from?,Osteoclasts,Osteoblasts,Osteogenic cells,Fibroblasts,B
Osteoclasts function to?,Form bone matrix,Resorb (break down) bone,Maintain bone matrix,Divide to produce more cells,B
Osteoclasts originate from the fusion of?,Osteoblasts,Osteocytes,Monocytes from bone marrow,Fibroblasts,C
Osteocytes are located in spaces called?,Haversian canals,Canaliculi,Lacunae,Volkmann's canals,C
The organic component of bone matrix is mainly?,Calcium salts,Collagen type I,Elastic fibers,Glycogen,B
The inorganic component of bone matrix includes?,Collagen,Calcium and phosphorus,Proteoglycans,Actin and myosin,B
The connective tissue covering the external bone surface is the?,Endosteum,Periosteum,Perichondrium,Epimysium,B
The connective tissue lining internal bone cavities is the?,Endosteum,Periosteum,Perichondrium,Epimysium,A
The outer layer of the periosteum is primarily?,Cellular and osteogenic,Fibrous with collagen and fibroblasts,Cartilaginous,Adipose,B
The inner layer of the periosteum contains?,Osteogenic cells and osteoblasts,Only osteoclasts,Only fat cells,Only chondrocytes,A
Osteoprogenitor cells can differentiate into?,Only osteoblasts,Osteoblasts and at low oxygen chondrogenic cells,Only osteoclasts,Only osteocytes,B
Osteoblasts under LM show a characteristic?,Acidophilic cytoplasm,Strong basophilic cytoplasm and negative Golgi image,Pale cytoplasm with no features,Multinucleated appearance,B
Osteoblasts are responsible for?,Bone resorption,Secretion of bone matrix and its calcification,Maintaining the matrix,Phagocytosis,B
Osteoclasts occupy depressions called?,Haversian canals,Howship's lacunae,Canaliculi,Lacunae,B
Osteoclasts under LM are characterized as being?,Small and uninucleated,Large and multinucleated,Small and branched,Spindle-shaped,B
The ruffled border of an osteoclast is involved in?,Secreting matrix,Resorbing bone,Maintaining calcium levels,Producing blood cells,B
Compact bone is found?,In the interior of all bones,In the outer layer of all bones especially long bone shafts,Only in flat bones,Only in the skull,B
The structural unit of compact bone is the?,Trabecula,Haversian system (osteon),Lacuna,Canaliculus,B
A Haversian canal contains?,Only osteocytes,Loose connective tissue with blood vessels and nerves,Only cartilage,Only adipocytes,B
Concentric bone lamellae are?,Irregularly arranged between osteons,Arranged in layers around a Haversian canal,Found on the outer and inner bone surfaces,Found only in spongy bone,B
Circumferential lamellae are located?,Inside the Haversian systems,Parallel to the periosteum and endosteum,Only in the bone marrow,Only in cartilage,B
Interstitial lamellae are found?,On the bone surface,Between Haversian systems,Inside the Haversian canals,Only in spongy bone,B
Volkmann's canals connect?,Lacunae to each other,Haversian canals to the periosteum and endosteum,Osteocytes to osteoblasts,Only osteons to each other,B
Sharpey's fibers are?,Collagen fibers from tendons/ligaments that anchor into bone,Elastic fibers in the bone matrix,Nerves in the bone,Blood vessels in the Haversian canal,A
Cancellous (spongy) bone consists of?,Dense bone without cavities,A meshwork of trabeculae with marrow spaces,Solid osteons,Only circumferential lamellae,B
Cancellous bone is found?,In the shaft of long bones,In the interior of bones mainly flat bones,Only on the bone surface,Only in the vertebrae,B
Intramembranous ossification occurs in?,Long bones,Flat bones of the skull and clavicle,All bones,Only the ribs,B
Intramembranous ossification involves bone forming directly within?,A cartilaginous model,A mesenchymal membrane,Muscle tissue,Adipose tissue,B
The primary center of ossification in intramembranous ossification appears in?,The epiphysis,The center of the mesenchymal tissue,The periosteum,The bone marrow,B
In intramembranous ossification mesenchymal cells differentiate into?,Chondrocytes,Osteogenic cells then osteoblasts, Osteoclasts only,Fibroblasts only,B
Endochondral ossification occurs in?,Flat bones,Long bones,All bones,Only the skull,B
Endochondral ossification involves replacing __________ with bone.,Mesenchymal tissue,Adipose tissue,A cartilaginous model,Fibrous tissue,C
The primary center of ossification in endochondral ossification develops in the?,Epiphysis,Diaphysis,Periosteum,Articular cartilage,B
The secondary center of ossification develops in the?,Diaphysis,Epiphysis,Metaphysis,Periosteum,B
The epiphyseal plate is involved in?,Bone width growth,Bone length growth,Bone density increase,Bone resorption only,B
The zone of the epiphyseal plate next to the epiphysis is the?,Proliferative zone,Hypertrophic zone,Resting zone,Calcification zone,C
In which zone do chondrocytes rapidly divide and form columns?,Resting zone,Proliferative zone,Hypertrophic zone,Ossification zone,B
In which zone do chondrocytes enlarge and accumulate glycogen?,Resting zone,Proliferative zone,Hypertrophic zone,Ossification zone,C
Calcification of the cartilage matrix occurs in the?,Proliferative zone,Hypertrophic zone,Calcification zone,Ossification zone,C
The ossification zone is where?,Chondrocytes divide,Chondrocytes enlarge,Blood vessels invade and osteoblasts deposit bone on calcified cartilage,The matrix is unmineralized,C
Bone remodeling is a process involving?,Only bone formation,Only bone resorption,Both bone resorption and formation,Only cartilage growth,C
Bone remodeling is regulated by the activity of?,Osteoblasts and osteoclasts,Chondrocytes only,Osteocytes only,Fibroblasts only,A
During fracture repair a blood clot forms and is then removed by?,Osteoblasts,Osteocytes,Macrophages,Chondrocytes,C
The callus formed during fracture repair is initially made of?,Secondary bone,Primary bone,Cartilage only,Muscle tissue,B
The primary bone of the callus is eventually replaced by?,Cartilage,Secondary bone,Adipose tissue,Fibrous tissue,B
Normal stresses on a healing bone help to?,Prevent healing,Remodel the callus,Form a larger callus,Resorb all new bone,B
