
Question,Option A,Option B,Option C,Option D,Correct Answer
A 65-year-old patient presents with progressive muscle weakness and loss of motor control. Mitochondrial disease is suspected. Which cellular process is primarily impaired?,ATP production,Protein synthesis,Lipid metabolism,Detoxification,A
During tissue preparation which step involves passing tissue through increasing alcohol concentrations?,Dehydration,Fixation,Clearing,Embedding,A
A pathologist needs to examine unstained living cells in culture. Which microscope type is most appropriate?,Phase-contrast microscope,Bright-field microscope,Electron microscope,Fluorescence microscope,A
All of the following are functions of the rough endoplasmic reticulum EXCEPT:,Protein synthesis,Lysosomal enzyme synthesis,Lipid synthesis,Ribosome attachment,C
A patient with adrenal cortex dysfunction may have impaired synthesis of steroid hormones. Which organelle is primarily involved?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
Which cellular component appears as a trilaminar structure under electron microscopy?,Cell membrane,Mitochondria,Nucleus,Golgi apparatus,A
A 70-year-old patient shows abundant lipofuscin pigment in neuronal cells. This accumulation indicates:,Long-term lysosomal activity,Recent protein synthesis,Active mitochondria,Glycogen storage,A
Which of the following correctly describes the resolution power of electron microscopes?,0.2 nm,0.2 µm,2.0 nm,20 µm,A
During paraffin technique what is the primary purpose of fixation?,Prevent autolysis and preserve structure,Remove water,Make tissue transparent,Facilitate sectioning,A
A cell with extensive smooth endoplasmic reticulum in hepatocytes is primarily involved in:,Drug detoxification,Protein synthesis,ATP production,Ribosome formation,A
A karyotype shows 45 chromosomes with XO pattern. This is characteristic of:,Turner syndrome,Down syndrome,Klinefelter syndrome,Patau syndrome,A
Which of the following is NOT a component of the cell coat (glycocalyx)?,Glycoproteins,Glycolipids,Phospholipids,Adhesion molecules,C
A patient presents with arthritis and joint pain due to uric acid crystal deposition. This represents which type of inclusion?,Crystals,Stored food,Endogenous pigment,Exogenous pigment,A
Which organelle is responsible for the synthesis of lysosomal enzymes?,Rough endoplasmic reticulum,Smooth endoplasmic reticulum,Golgi apparatus,Mitochondria,A
All of the following are characteristics of mitochondria EXCEPT:,Contain cristae with elementary particles,Have their own DNA and ribosomes,Surrounded by single membrane,Generate ATP,C
A biopsy reveals cells with prominent cytoplasmic acidophilia. This suggests abundance of:,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Free ribosomes,Mitochondria,A
Which type of RNA forms the structural component of ribosomes?,rRNA,mRNA,tRNA,snRNA,A
A cell showing predominantly euchromatin with a pale-staining nucleus is most likely:,Genetically active,Inactive,Undergoing division,Storing lipids,A
Which cellular structure preserves chromosome ends during replication?,Telomeres,Centromeres,Kinetochores,Nuclear pores,A
A tissue sample shows basophilic staining in the cytoplasm. This indicates presence of:,Ribosomes and RER,SER and lipids,Mitochondria,Lysosomes,A
Which organelle can divide independently by binary fission?,Mitochondria,Lysosomes,Peroxisomes,Golgi apparatus,A
A patient with impaired drug metabolism likely has dysfunction in which organelle of liver cells?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Nucleus,A
In H&E staining what cellular component stains reddish-pink with eosin?,Cytoplasm,Nucleus,Nucleolus,Chromatin,A
During tissue processing which solvent replaces alcohol and makes tissue transparent?,Xylene,Formalin,Water,Paraffin,A
Which of the following is NOT a type of secondary lysosome?,Primary lysosome,Heterophagosome,Multivesicular body,Autophagosome,A
A cell shows a negative Golgi image appearing as a clear area in basophilic cytoplasm. This indicates:,Protein-secreting cell,Lipid-storing cell,Inactive cell,Undergoing cell division,A
Which organelle forms the basal bodies of cilia and flagella?,Centrioles,Mitochondria,Golgi apparatus,Endoplasmic reticulum,A
All of the following are functions of the Golgi complex EXCEPT:,Protein modification,Lysosome formation,ATP synthesis,Membrane renewal,C
A newborn with persistent jaundice may have underdeveloped SER affecting:,Bilirubin metabolism,Glycogen storage,Protein synthesis,Calcium regulation,A
Which nuclear structure is the site of ribosome assembly?,Nucleolus,Nuclear envelope,Nuclear pore,Heterochromatin,A
A plasma cell with extensive RER and prominent nucleolus is actively:,Synthesizing antibodies,Storing lipids,Detoxifying drugs,Producing energy,A
Which transport mechanism requires energy and moves substances against concentration gradient?,Active transport,Simple diffusion,Facilitated diffusion,Osmosis,A
A patient with muscle contraction abnormalities may have impaired calcium storage in:,Sarcoplasmic reticulum,Rough ER,Golgi apparatus,Peroxisomes,A
Which chromatin type is genetically inactive and darkly stained?,Heterochromatin,Euchromatin,Both neither,A
During tissue clearing what is the purpose of xylene?,Paraffin solvent and tissue transparency,Water removal,Protein fixation,Section hardening,A
Which organelle contains hydrolytic enzymes for intracellular digestion?,Lysosomes,Peroxisomes,Mitochondria,Golgi apparatus,A
A steroid-secreting cell from adrenal cortex would show abundant:,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Free ribosomes,Lysosomes,A
Which statement about ribosomes is correct?,Composed of large and small subunits,Surrounded by membrane,Found only in cytoplasm,Synthesize lipids,A
A patient with Pompe disease has glycogen accumulation due to deficiency in:,Lysosomal enzymes,Peroxisomal enzymes,Mitochondrial enzymes,Golgi enzymes,A
Which transport mechanism moves water across membranes against concentration gradient?,Osmosis,Simple diffusion,Facilitated diffusion,Active transport,A
All of the following are types of nucleic acids EXCEPT:,DNA,RNA,mDNA,tRNA,C
A fat cell with signet ring appearance contains large amounts of:,Lipids,Glycogen,Proteins,Pigments,A
Which organelle is primarily responsible for lipid synthesis in cells?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
A research study requires observation of specific proteins using labeled antibodies. Which technique is needed?,Immunohistochemistry,Enzyme histochemistry,H&E staining,Phase-contrast microscopy,A
Which of the following is NOT a function of peroxisomes?,ATP production,H2O2 degradation,Lipid metabolism,Drug detoxification,A
During paraffin embedding what is the typical thickness of sections cut by rotary microtome?,5-7 µm,15-20 µm,1-2 µm,50-100 µm,A
A patient with albinism has defects in the production of which pigment?,Melanin,Hemoglobin,Lipofuscin,Bilirubin,A
Which cellular structure contains glycoproteins and glycolipids on the external surface?,Glycocalyx,Nuclear envelope,Mitochondrial cristae,Golgi apparatus,A
All of the following are membranous organelles EXCEPT:,Endoplasmic reticulum,Golgi apparatus,Mitochondria,Microtubules,D
A cell with numerous peroxisomes is actively engaged in:,Oxidative reactions,Protein synthesis,Energy production,Calcium storage,A
Which statement about the nuclear envelope is correct?,Double membrane with nuclear pores,Single membrane with ribosomes,No membrane connection to ER,Impermeable to all molecules,A
A patient with neurological deterioration shows lipofuscin accumulation. This represents indigestible material in:,Residual bodies,Primary lysosomes,Secretory granules,Peroxisomes,A
Which organelle modifies proteins by adding carbohydrate groups?,Golgi apparatus,Mitochondria,Nucleus,Peroxisomes,A
During cryostat sectioning why is tissue rapidly frozen?,Preserve enzyme activity and structure,Improve staining,Increase transparency,Facilitate embedding,A
Which term describes the DNA-protein complex in the nucleus?,Chromatin,Nucleoplasm,Nuclear matrix,Cytoskeleton,A
A cell with abundant polysomes linked by mRNA is actively engaged in:,Protein synthesis,Lipid synthesis,Glycogen storage,Detoxification,A
All of the following are lysosomal functions EXCEPT:,Digestion of phagocytosed material,Autophagy of cellular components,ATP generation,Enzyme release outside cell,C
Which mitochondrial structure contains respiratory enzymes?,Cristae,Outer membrane,Matrix,Intermembrane space,A
A patient with Leigh syndrome has impaired energy production due to dysfunction in:,Mitochondria,Lysosomes,Peroxisomes,Golgi apparatus,A
What is the resolving power of a standard light microscope?,0.2 µm,0.2 nm,2.0 µm,20 nm,A
During staining procedures dehydration after staining prepares tissue for:,Xylene and mounting,Rehydration,Clearing,Fixation,A
Which nuclear structure directs the formation of ribosomal RNA?,Nucleolar organizer region,Pars fibrosa,Pars granulosa,Nuclear pore,A
A macrophage with numerous secondary lysosomes is actively engaged in:,Digesting engulfed material,Synthesizing proteins,Producing energy,Storing lipids,A
All of the following are cytoskeletal elements EXCEPT:,Microtubules,Intermediate filaments,Actin filaments,Ribosomes,D
Which process involves engulfment of fluid droplets by the cell?,Pinocytosis,Phagocytosis,Receptor-mediated endocytosis,Exocytosis,A
A patient with epidermolysis bullosa simplex has defects in which intermediate filament?,Keratin,Vimentin,Desmin,Neurofilaments,A
Which organelle's outer membrane is continuous with the nuclear envelope?,Rough endoplasmic reticulum,Smooth endoplasmic reticulum,Golgi apparatus,Mitochondria,A
What advantage does electron microscopy provide over light microscopy?,Higher resolution,Color images,Viewing living specimens,Ease of use,A
Which chromatin type is genetically active and lightly stained?,Euchromatin,Heterochromatin,Both neither,A
A pancreatic acinar cell with extensive Golgi apparatus is actively:,Secreting digestive enzymes,Storing energy,Detoxifying,Synthesizing DNA,A
All of the following are membrane transport mechanisms EXCEPT:,Simple diffusion,Active transport,Bulk transport,Protein synthesis,D
Which organelle contains enzymes for glycogen metabolism?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
A karyotype showing trisomy 21 indicates:,Down syndrome,Turner syndrome,Klinefelter syndrome,Edward syndrome,A
Which cellular structure organizes microtubules during cell division?,Centrioles,Mitochondria,Golgi apparatus,Endoplasmic reticulum,A
During tissue impregnation what material fills the spaces between cells?,Paraffin wax,Xylene,Alcohol,Formalin,A
Which organelle is responsible for HCL production in stomach parietal cells?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Mitochondria,A
A liver cell storing glycogen granules contains which type of inclusion?,Stored food,Pigments,Crystals,Secretory granules,A
All of the following are considered inclusions EXCEPT:,Glycogen,Lipids,Pigments,Ribosomes,D
Which cytoskeletal component guides chromosome movement during mitosis?,Microtubules,Intermediate filaments,Microfilaments,All of the above,A
A patient with desmin-related myopathy has defects in which intermediate filament?,Desmin,Keratin,Vimentin,Neurofilaments,A
Which organelle fuses with autophagic vacuoles containing cellular components?,Lysosomes,Peroxisomes,Mitochondria,Golgi apparatus,A
In enzyme histochemistry why are tissues mildly fixed or unfixed?,Preserve enzyme activity,Improve staining,Increase transparency,Facilitate sectioning,A
Which statement about DNA structure is correct?,Double helix with complementary base pairing,Single strand with ribose sugar,Contains uracil bases,Found only in cytoplasm,A
A neuron with large nucleolus indicates active:,Ribosome production,Neurotransmitter storage,Action potential conduction,Myelin formation,A
All of the following are nuclear functions EXCEPT:,Genetic information storage,DNA replication,RNA synthesis,Protein synthesis,D
